customerID,tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalCharges_MonthlyCharges_Ratio
6837-BJYDQ,3,1,19.6,61.35,0,0,0,1,1,1,1,0,3.1301020408163263
2135-RXIHG,1,1,45.65,45.65,1,0,0,0,0,0,0,0,1.0
6440-DKQGE,30,1,64.5,1929.95,0,0,1,1,0,1,1,0,29.92170542635659
3466-BYAVD,15,1,69.5,1071.4,0,0,0,1,1,0,0,0,15.415827338129498
3780-YVMFA,8,1,68.55,564.35,0,0,0,0,0,0,0,0,8.232676878191102
3874-EQOEP,7,1,95.0,655.5,1,0,0,1,1,0,0,0,6.9
1679-JRFBR,70,1,108.15,7930.55,0,0,1,1,0,1,1,0,73.3291724456773
9073-ZZIAY,62,1,86.1,5215.25,0,0,0,0,0,1,0,1,60.57200929152149
3077-RSNTJ,6,1,19.7,113.5,0,0,0,1,1,0,0,0,5.761421319796955
6551-GNYDG,14,1,80.9,1152.8,0,1,0,1,0,0,0,0,14.249690976514213
9167-APMXZ,22,1,84.15,1821.95,0,1,0,1,0,0,0,0,21.651218062982768
2749-CTKAJ,22,1,20.15,419.9,0,0,0,1,1,1,1,0,20.838709677419356
6371-NZYEG,16,1,64.25,1024.0,0,0,0,1,1,1,0,1,15.937743190661479
7554-NEWDD,10,1,25.7,251.6,0,1,0,1,0,1,0,1,9.789883268482491
8992-VONJD,13,1,56.0,764.55,0,0,0,0,0,0,0,0,13.65267857142857
0867-MKZVY,20,1,82.4,1592.35,1,0,0,0,0,0,0,0,19.324635922330096
4482-EWFMI,2,1,69.7,135.2,0,0,0,0,0,0,0,0,1.9397417503586798
4648-YPBTM,53,1,73.9,3958.25,0,1,0,1,0,1,0,1,53.56224627875507
2907-ILJBN,11,1,20.6,233.9,0,0,0,1,1,1,1,0,11.354368932038835
6345-FZOQH,69,1,19.9,1363.45,0,0,0,1,1,1,0,1,68.51507537688443
3376-BMGFE,4,1,70.9,273.0,1,1,0,1,0,0,0,0,3.85049365303244
5997-OPVFA,72,1,89.05,6254.45,0,1,0,1,0,1,0,1,70.23526108927568
3445-HXXGF,58,0,45.3,2651.2,1,0,0,0,0,0,0,0,58.52538631346578
1159-WFSGR,16,1,20.4,321.4,0,0,0,0,0,0,0,0,15.754901960784315
7654-YWJUF,43,1,84.25,3539.25,0,1,0,1,0,1,1,0,42.00890207715133
1875-QIVME,2,1,104.4,242.8,1,0,0,0,0,0,0,0,2.3256704980842913
6727-IOTLZ,14,1,81.95,1181.75,0,0,0,1,1,1,0,1,14.420378279438681
0691-JVSYA,53,1,94.85,5000.2,1,1,0,1,0,1,1,0,52.71692145492884
5918-VUKWP,32,1,20.55,654.55,0,1,0,1,0,1,1,0,31.85158150851581
1744-JHKYS,34,1,24.7,780.2,0,0,0,0,0,0,0,0,31.587044534412957
2656-FMOKZ,15,1,74.45,1145.7,1,0,0,1,1,0,0,0,15.38885157824043
2070-FNEXE,7,1,76.45,503.6,1,1,0,1,0,0,0,0,6.587311968606933
5947-SGKCL,15,1,105.35,1559.25,0,1,0,1,0,0,0,0,14.800664451827243
3712-PKXZA,61,1,20.55,1252.0,0,0,1,1,0,1,1,0,60.92457420924574
6317-YPKDH,1,0,29.95,29.95,1,1,0,1,0,0,0,0,1.0
6582-OIVSP,1,1,45.3,45.3,0,0,0,1,1,0,0,0,1.0
9367-WXLCH,8,1,84.5,662.65,1,1,0,1,0,0,0,0,7.842011834319527
5524-KHNJP,33,1,74.75,2453.3,0,0,1,1,0,1,1,0,32.82006688963211
1918-ZBFQJ,13,1,79.25,1111.65,1,0,0,0,0,0,0,0,14.027129337539433
1024-GUALD,1,0,24.8,24.8,1,0,0,0,0,0,0,0,1.0
4827-USJHP,20,1,51.8,1023.85,0,0,0,1,1,0,0,0,19.765444015444018
8167-GJLRN,3,0,30.4,82.15,0,0,0,0,0,0,0,0,2.702302631578948
0956-SYCWG,13,1,19.65,244.8,0,0,0,0,0,1,1,0,12.458015267175574
8017-UVSZU,40,1,56.6,2379.1,0,0,1,1,0,0,0,0,42.033568904593636
7100-FQPRV,43,1,71.9,3173.35,0,0,1,1,0,1,1,0,44.1356050069541
2472-OVKUP,6,1,91.0,531.0,1,0,0,0,0,0,0,0,5.835164835164835
2984-RGEYA,69,1,19.75,1375.4,0,1,0,1,0,1,0,1,69.64050632911393
9680-NIAUV,72,1,109.7,8129.3,0,0,1,1,0,1,0,1,74.10483135824977
2146-EGVDT,59,1,19.3,1192.7,0,0,1,1,0,1,0,1,61.7979274611399
2604-IJPDU,20,1,96.55,1901.65,0,0,0,0,0,0,0,0,19.696012428793374
9178-JHUVJ,24,1,24.1,587.4,0,1,0,1,0,1,0,1,24.37344398340249
6168-YBYNP,59,1,111.35,6519.75,0,0,0,0,0,0,0,0,58.551863493489
7255-SSFBC,72,1,112.25,8041.65,0,1,0,1,0,1,0,1,71.64053452115813
3645-DEYGF,1,1,20.75,20.75,0,0,0,1,1,0,0,0,1.0
9323-HGFWY,27,1,101.9,2681.15,0,0,1,1,0,1,1,0,26.311579980372915
8544-GOQSH,14,1,80.05,1112.3,0,0,1,1,0,0,0,0,13.895065584009993
3363-DTIVD,71,1,105.55,7405.5,0,0,0,0,0,1,0,1,70.1610611084794
7018-WBJNK,13,1,78.3,1033.95,0,0,1,1,0,0,0,0,13.204980842911878
9142-KZXOP,44,1,68.85,2958.95,0,0,1,1,0,0,0,0,42.976761074800294
7674-YTAFD,33,1,79.95,2684.85,0,1,0,1,0,1,1,0,33.58161350844277
6348-SNFUS,72,0,55.45,4179.2,0,0,1,1,0,1,0,1,75.36880072137059
1285-OKIPP,1,1,79.9,79.9,1,0,0,0,0,0,0,0,1.0
7825-ECJRF,19,1,106.6,1934.45,1,0,0,0,0,0,0,0,18.146810506566606
1347-KTTTA,64,1,102.45,6654.1,0,0,1,1,0,1,1,0,64.94973157637872
7841-TZDMQ,2,1,46.0,84.5,1,0,1,1,0,0,0,0,1.8369565217391304
4195-NZGTA,1,0,25.25,25.25,0,0,0,0,0,0,0,0,1.0
7157-SMCFK,61,1,19.75,1124.2,0,0,0,1,1,1,0,1,56.92151898734178
4709-LKHYG,29,1,20.0,540.05,0,0,0,0,0,1,1,0,27.002499999999998
2504-DSHIH,23,1,86.8,1975.85,0,0,0,0,0,0,0,0,22.763248847926267
0699-NDKJM,57,0,58.75,3437.45,0,1,0,1,0,0,0,0,58.50978723404255
9286-BHDQG,72,0,45.25,3139.8,0,0,1,1,0,1,0,1,69.38784530386741
0230-WEQUW,66,0,56.6,3789.2,0,1,0,1,0,1,0,1,66.94699646643109
2040-LDIWQ,65,1,84.2,5324.5,0,1,0,1,0,1,0,1,63.23634204275534
6496-JDSSB,8,1,80.0,624.6,0,1,0,1,0,0,0,0,7.8075
9408-SSNVZ,4,1,70.15,268.35,1,0,0,0,0,0,0,0,3.8253741981468283
4443-EMBNA,71,1,24.75,1836.9,0,1,0,1,0,1,0,1,74.21818181818182
6469-MRVET,1,1,20.2,20.2,0,0,0,0,0,1,1,0,1.0
0742-MOABM,4,1,50.05,179.35,1,0,0,1,1,0,0,0,3.5834165834165836
5961-VUSRV,12,1,19.35,219.35,0,1,0,1,0,1,1,0,11.335917312661497
6778-JFCMK,24,0,50.6,1288.75,0,0,0,1,1,1,1,0,25.469367588932805
6341-JVQGF,31,1,81.15,2545.75,0,0,0,1,1,1,1,0,31.37091805298829
2232-DMLXU,1,1,55.2,55.2,1,0,0,1,1,0,0,0,1.0
4811-JBUVU,30,1,89.9,2723.15,0,0,1,1,0,0,0,0,30.2908787541713
0945-TSONX,47,1,85.3,4107.25,0,0,1,1,0,1,0,1,48.15064478311841
2651-ZCBXV,54,1,108.0,5760.65,0,0,1,1,0,1,0,1,53.33935185185185
3316-UWXUY,50,1,93.5,4747.5,0,0,1,1,0,0,0,0,50.775401069518715
8937-RDTHP,1,1,84.6,84.6,1,0,0,1,1,0,0,0,1.0
7083-MIOPC,72,1,20.25,1566.9,0,0,1,1,0,1,0,1,77.37777777777778
1984-GPTEH,29,1,25.15,702.0,0,0,0,0,0,0,0,0,27.912524850894634
1251-KRREG,2,1,54.4,114.1,1,0,0,1,1,0,0,0,2.097426470588235
0621-JFHOL,10,0,29.6,299.05,0,0,0,1,1,1,0,1,10.10304054054054
9903-LYSAB,18,1,73.15,1305.95,0,0,0,0,0,0,0,0,17.853041695146956
0094-OIFMO,11,1,95.0,1120.3,1,0,0,0,0,0,0,0,11.792631578947368
9227-UAQFT,16,1,19.75,284.35,0,0,0,1,1,1,0,1,14.39746835443038
7301-ABVAD,72,1,86.6,6350.5,0,1,0,1,0,1,0,1,73.33140877598153
6614-FHDBO,72,1,109.2,7878.3,0,1,0,1,0,1,0,1,72.1456043956044
7576-ASEJU,41,1,74.7,3187.65,0,0,1,1,0,1,1,0,42.67269076305221
9058-HRZSV,65,1,94.4,6126.15,0,0,0,0,0,0,0,0,64.89565677966101
4522-AKYLR,13,1,54.8,731.3,0,0,0,0,0,0,0,0,13.344890510948906
0221-WMXNQ,4,1,75.35,273.4,0,0,0,0,0,0,0,0,3.628400796284008
0303-UNCIP,41,1,65.0,2531.8,0,0,0,1,1,1,1,0,38.95076923076923
9947-OTFQU,15,1,74.4,1074.3,1,0,0,0,0,0,0,0,14.439516129032256
0322-YINQP,1,1,48.55,48.55,1,0,0,1,1,0,0,0,1.0
0959-WHOKV,42,1,99.0,4298.45,0,0,0,0,0,1,1,0,43.41868686868687
4075-JFPGR,51,1,93.5,4619.55,0,0,0,0,0,1,1,0,49.40695187165775
4629-NRXKX,2,1,70.4,147.15,1,0,0,0,0,0,0,0,2.0901988636363638
9514-JDSKI,1,0,40.2,40.2,1,0,0,0,0,0,0,0,1.0
3282-ZISZV,32,1,83.7,2633.3,0,0,1,1,0,1,1,0,31.461170848267624
3675-YDUPJ,10,1,19.85,193.05,0,0,0,1,1,0,0,0,9.72544080604534
4111-BNXIF,67,0,59.55,4103.9,0,0,0,0,0,1,0,1,68.91519731318219
7017-VFHAY,61,1,115.1,7008.15,0,0,1,1,0,1,0,1,60.88748913987837
6655-LHBYW,50,1,114.35,5791.1,0,0,1,1,0,1,1,0,50.64363795365108
4959-JOSRX,2,1,44.6,80.55,1,0,1,1,0,0,0,0,1.8060538116591927
5046-NUHWD,29,0,45.0,1228.65,0,0,0,0,0,0,0,0,27.303333333333335
7273-TEFQD,3,0,41.15,132.2,1,0,0,0,0,0,0,0,3.212636695018226
3606-TWKGI,13,1,106.9,1364.3,1,0,0,0,0,0,0,0,12.762394761459307
7529-ZDFXI,57,1,89.85,4925.35,0,0,0,0,0,0,0,0,54.81747356705621
7605-BDWDC,31,0,49.85,1520.1,0,1,0,1,0,1,0,1,30.493480441323968
1950-KSVVJ,45,1,113.3,5032.25,0,0,0,1,1,1,1,0,44.4152691968226
0123-CRBRT,61,1,88.1,5526.75,0,0,0,1,1,1,0,1,62.73269012485812
6292-TOSSS,50,1,24.9,1195.25,0,1,0,1,0,1,0,1,48.002008032128515
3197-ARFOY,19,1,105.0,2007.25,0,0,0,1,1,0,0,0,19.116666666666667
6323-AYBRX,59,1,19.35,1099.6,1,0,0,1,1,1,0,1,56.82687338501291
7014-ZZXAW,71,1,24.25,1732.95,0,0,1,1,0,1,0,1,71.46185567010309
4385-GZQXV,16,1,94.45,1511.2,1,0,0,0,0,0,0,0,16.0
7633-MVPUY,57,1,59.75,3450.15,0,0,0,0,0,1,0,1,57.743096234309625
6366-ZGQGL,1,0,24.8,24.8,1,1,0,1,0,0,0,0,1.0
4716-HHKQH,20,1,107.05,2172.05,0,0,0,0,0,0,0,0,20.290051377860816
5940-AHUHD,1,1,70.6,70.6,1,0,0,1,1,0,0,0,1.0
6432-TWQLB,5,1,85.4,401.1,1,0,0,0,0,0,0,0,4.69672131147541
4484-GLZOU,52,1,105.05,5624.85,1,0,0,0,0,0,0,0,53.54450261780105
3179-GBRWV,21,1,64.95,1339.8,0,1,0,1,0,0,0,0,20.628175519630485
8645-KWHJO,14,0,55.0,771.95,0,0,0,0,0,0,0,0,14.035454545454547
4130-MZLCC,5,1,50.55,244.75,0,1,0,1,0,0,0,0,4.841740850642928
0314-TKOSI,6,1,55.15,322.9,0,0,0,1,1,0,0,0,5.85494106980961
8229-MYEJZ,10,1,51.2,498.25,0,0,0,0,0,0,0,0,9.7314453125
2080-SRCDE,1,1,25.4,25.4,0,0,0,1,1,0,0,0,1.0
9577-WJVCQ,68,1,54.45,3687.75,0,0,0,1,1,0,0,0,67.72727272727272
9512-UIBFX,18,1,95.15,1779.95,1,0,0,1,1,0,0,0,18.706778770362586
6202-DYYFX,22,1,76.0,1783.6,0,0,1,1,0,1,1,0,23.468421052631577
3808-HFKDE,20,1,44.35,927.15,0,0,0,0,0,0,0,0,20.90529875986471
5583-SXDAG,1,1,70.0,70.0,1,0,0,0,0,0,0,0,1.0
3488-PGMQJ,8,1,74.5,606.55,1,0,0,0,0,0,0,0,8.141610738255032
3580-REOAC,10,1,44.85,435.4,1,0,1,1,0,0,0,0,9.707915273132663
7534-BFESC,24,1,76.1,1712.7,1,0,0,0,0,0,0,0,22.505913272010513
3727-OWVYD,35,1,61.2,2021.2,0,0,0,1,1,1,1,0,33.02614379084967
2294-SALNE,23,1,86.8,1940.8,0,0,0,1,1,1,1,0,22.359447004608295
4847-TAJYI,6,1,89.35,567.8,0,0,0,0,0,0,0,0,6.354784555120314
1563-IWQEX,12,1,19.7,220.35,0,0,0,1,1,0,0,0,11.185279187817258
8203-XJZRC,1,1,20.25,20.25,0,0,0,1,1,0,0,0,1.0
6556-DBKZF,71,1,76.05,5436.45,0,0,0,0,0,1,0,1,71.48520710059172
6851-WEFYX,35,1,100.8,3437.5,0,0,0,0,0,0,0,0,34.10218253968254
2985-JUUBZ,40,1,74.55,3015.75,0,0,0,0,0,0,0,0,40.45271629778672
6390-DSAZX,1,1,73.6,73.6,1,0,0,1,1,0,0,0,1.0
0895-LMRSF,23,1,64.9,1509.8,0,1,0,1,0,1,1,0,23.26348228043143
8098-LLAZX,4,1,95.45,396.1,1,0,0,0,0,0,0,0,4.149816657936093
