customerID,tenure,PhoneService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalCharges_Tenure_Ratio,MonthlyCharges_Tenure_Ratio
6322-HRPFA,49.0,1,0,59.6,2970.3,0,0,0,0,60.61836734693878,1.2163265306122448
6865-JZNKO,30.0,1,1,55.3,1530.6,0,0,0,0,51.019999999999996,1.8433333333333333
6467-CHFZW,47.0,1,3,99.35,4749.15,1,0,0,0,101.04574468085106,2.1138297872340424
8665-UTDHZ,1.0,0,3,30.2,30.2,1,0,0,0,30.2,30.2
5248-YGIJN,72.0,1,0,90.25,6369.45,0,1,0,1,88.46458333333334,1.2534722222222223
8773-HHUOZ,17.0,1,2,64.7,1093.1,1,0,0,0,64.3,3.8058823529411767
3841-NFECX,71.0,1,0,96.35,6766.95,0,1,0,1,95.30915492957746,1.3570422535211266
4929-XIHVW,2.0,1,0,95.5,181.65,0,0,0,0,90.825,47.75
6827-IEAUQ,27.0,1,2,66.15,1874.45,0,1,1,0,69.42407407407407,2.45
7310-EGVHZ,1.0,1,1,20.2,20.2,0,0,0,0,20.2,20.2
3413-BMNZE,1.0,1,1,45.25,45.25,0,0,0,0,45.25,45.25
6234-RAAPL,72.0,1,1,99.9,7251.7,0,1,0,1,100.71805555555555,1.3875000000000002
6047-YHPVI,5.0,1,3,69.7,316.9,1,0,0,0,63.379999999999995,13.940000000000001
6572-ADKRS,46.0,1,0,74.8,3548.3,0,0,0,0,77.13695652173914,1.626086956521739
5380-WJKOV,34.0,1,3,106.35,3549.25,1,0,0,0,104.38970588235294,3.1279411764705882
8168-UQWWF,11.0,1,1,97.85,1105.4,1,0,0,0,100.4909090909091,8.895454545454545
8865-TNMNX,10.0,1,2,49.55,475.7,0,1,1,0,47.57,4.955
9489-DEDVP,70.0,1,0,69.2,4872.35,0,1,0,1,69.605,0.9885714285714287
9867-JCZSP,17.0,1,2,20.75,418.25,0,1,1,0,24.602941176470587,1.2205882352941178
4671-VJLCL,63.0,1,0,79.85,4861.45,0,1,0,1,77.16587301587302,1.2674603174603174
4080-IIARD,13.0,1,3,76.2,981.45,0,0,0,0,75.49615384615385,5.861538461538462
3714-NTNFO,49.0,1,3,84.5,3906.7,0,0,0,0,79.72857142857143,1.7244897959183674
5948-UJZLF,2.0,1,2,49.25,97.0,0,0,0,0,48.5,24.625
7760-OYPDY,2.0,1,3,80.65,144.15,1,0,0,0,72.075,40.325
7639-LIAYI,52.0,1,0,79.75,4217.8,0,1,0,1,81.11153846153846,1.5336538461538463
2954-PIBKO,69.0,1,0,64.15,4254.1,0,1,0,1,61.6536231884058,0.9297101449275363
8012-SOUDQ,43.0,1,3,90.25,3838.75,0,0,0,0,89.27325581395348,2.0988372093023258
9420-LOJKX,15.0,1,0,99.1,1426.4,1,0,0,0,95.09333333333333,6.6066666666666665
6575-SUVOI,25.0,1,0,69.5,1752.65,0,0,0,0,70.10600000000001,2.78
7495-OOKFY,8.0,1,0,80.65,633.3,1,0,0,0,79.1625,10.08125
4667-QONEA,60.0,1,0,74.85,4456.35,0,1,1,0,74.27250000000001,1.2474999999999998
1658-BYGOY,18.0,1,3,95.45,1752.55,1,0,0,0,97.36388888888888,5.302777777777778
8769-KKTPH,63.0,1,0,99.65,6311.2,0,1,1,0,100.17777777777778,1.581746031746032
5067-XJQFU,66.0,1,3,108.45,7076.35,0,1,1,0,107.21742424242424,1.6431818181818183
3957-SQXML,34.0,1,0,24.95,894.3,0,1,0,1,26.302941176470586,0.7338235294117647
5954-BDFSG,72.0,1,0,107.5,7853.7,0,1,0,1,109.07916666666667,1.4930555555555556
0434-CSFON,47.0,1,3,100.5,4707.1,0,0,0,0,100.15106382978725,2.1382978723404253
1215-FIGMP,60.0,1,1,89.9,5450.7,0,0,0,0,90.845,1.4983333333333335
0526-SXDJP,72.0,0,1,42.1,2962.0,0,1,0,1,41.138888888888886,0.5847222222222223
0557-ASKVU,18.0,1,0,54.4,957.1,0,1,1,0,53.172222222222224,3.022222222222222
5698-BQJOH,9.0,1,3,94.4,857.25,1,0,0,0,95.25,10.488888888888889
5122-CYFXA,3.0,1,3,75.3,244.1,0,0,0,0,81.36666666666666,25.099999999999998
8627-ZYGSZ,47.0,1,3,78.9,3650.35,0,1,1,0,77.66702127659575,1.6787234042553192
3410-YOQBQ,31.0,1,2,79.2,2497.2,0,1,0,1,80.55483870967741,2.5548387096774197
3170-NMYVV,50.0,1,1,20.15,930.9,0,1,0,1,18.618,0.40299999999999997
7410-OIEDU,10.0,1,2,79.85,887.35,0,0,0,0,88.735,7.984999999999999
2273-QCKXA,1.0,1,2,49.05,49.05,0,0,0,0,49.05,49.05
0731-EBJQB,52.0,1,3,20.4,1090.65,0,1,1,0,20.974038461538463,0.3923076923076923
1891-QRQSA,64.0,1,1,111.6,7099.0,0,1,0,1,110.921875,1.74375
8028-PNXHQ,62.0,1,1,24.25,1424.6,0,1,0,1,22.97741935483871,0.3911290322580645
5630-AHZIL,3.0,1,1,64.5,177.4,0,0,0,0,59.13333333333333,21.5
2673-CXQEU,56.0,1,3,110.5,6139.5,0,1,1,0,109.63392857142857,1.9732142857142858
6416-JNVRK,46.0,1,0,55.65,2688.85,0,1,1,0,58.45326086956521,1.2097826086956522
5590-ZSKRV,8.0,1,2,54.65,482.25,0,0,0,0,60.28125,6.83125
0191-ZHSKZ,30.0,1,3,74.75,2111.3,0,0,0,0,70.37666666666668,2.4916666666666667
3887-PBQAO,45.0,1,0,25.9,1216.6,0,1,1,0,27.035555555555554,0.5755555555555555
5919-TMRGD,1.0,1,3,79.35,79.35,1,0,0,0,79.35,79.35
8108-UXRQN,11.0,0,3,50.55,565.35,0,0,0,0,51.39545454545455,4.595454545454545
9191-MYQKX,7.0,1,1,75.15,496.9,1,0,0,0,70.98571428571428,10.735714285714286
9919-YLNNG,42.0,1,1,103.8,4327.5,0,0,0,0,103.03571428571429,2.4714285714285715
0318-ZOPWS,49.0,1,1,20.15,973.35,0,1,0,1,19.864285714285714,0.41122448979591836
4445-ZJNMU,9.0,1,0,99.3,918.75,0,0,0,0,102.08333333333333,11.033333333333333
4808-YNLEU,35.0,1,1,62.15,2215.45,0,1,1,0,63.29857142857142,1.7757142857142856
1862-QRWPE,48.0,1,1,20.65,1057.0,0,1,0,1,22.020833333333332,0.4302083333333333
2796-NNUFI,46.0,1,2,19.95,927.1,0,1,0,1,20.15434782608696,0.43369565217391304
3016-KSVCP,29.0,0,2,33.75,1009.25,0,0,0,0,34.80172413793103,1.1637931034482758
4767-HZZHQ,30.0,1,1,82.05,2570.2,0,0,0,0,85.67333333333333,2.735
2424-WVHPL,1.0,1,3,74.7,74.7,0,0,0,0,74.7,74.7
7233-PAHHL,66.0,1,2,84.0,5714.25,0,1,0,1,86.57954545454545,1.2727272727272727
6067-NGCEU,65.0,1,0,111.05,7107.0,0,0,0,0,109.33846153846154,1.7084615384615385
9848-JQJTX,72.0,1,1,100.9,7459.05,0,1,0,1,103.59791666666666,1.401388888888889
8637-XJIVR,12.0,1,3,78.95,927.35,1,0,0,0,77.27916666666667,6.579166666666667
9803-FTJCG,71.0,1,0,66.85,4748.7,0,1,1,0,66.8830985915493,0.9415492957746479
0278-YXOOG,5.0,1,2,21.05,113.85,1,0,0,0,22.77,4.21
3212-KXOCR,52.0,1,1,21.0,1107.2,0,1,0,1,21.292307692307695,0.40384615384615385
4598-XLKNJ,25.0,1,3,98.5,2514.5,1,0,0,0,100.58,3.94
6380-ARCEH,1.0,1,2,20.2,20.2,0,0,0,0,20.2,20.2
3679-XASPY,1.0,1,3,19.45,19.45,0,0,0,0,19.45,19.45
7123-WQUHX,38.0,1,1,95.0,3605.6,0,1,1,0,94.88421052631578,2.5
5386-THSLQ,66.0,0,1,45.55,3027.25,0,1,1,0,45.86742424242424,0.6901515151515151
3192-NQECA,68.0,1,1,110.0,7611.85,1,1,0,1,111.93897058823529,1.6176470588235294
6180-YBIQI,5.0,0,2,24.3,100.2,0,0,0,0,20.04,4.86
6728-DKUCO,72.0,1,3,104.15,7303.05,0,1,1,0,101.43125,1.4465277777777779
9750-BOOHV,32.0,0,2,30.15,927.65,0,1,1,0,28.9890625,0.9421875
8597-CWYHH,43.0,1,2,94.35,3921.3,0,1,1,0,91.19302325581396,2.1941860465116276
2848-YXSMW,72.0,1,0,19.4,1363.25,0,1,0,1,18.93402777777778,0.26944444444444443
0486-HECZI,55.0,1,3,96.75,5238.9,1,0,0,0,95.25272727272727,1.759090909090909
4549-ZDQYY,52.0,1,0,57.95,3042.25,0,1,1,0,58.50480769230769,1.114423076923077
5712-AHQNN,43.0,1,3,91.65,3954.1,0,0,0,0,91.95581395348837,2.1313953488372093
4846-WHAFZ,37.0,1,3,76.5,2868.15,1,0,0,0,77.51756756756757,2.0675675675675675
5256-SKJGO,64.0,0,3,54.6,3423.5,0,1,0,1,53.4921875,0.853125
3071-VBYPO,3.0,1,3,89.85,248.4,0,0,0,0,82.8,29.95
9560-BBZXK,36.0,0,1,31.05,1126.35,0,1,0,1,31.287499999999998,0.8625
5299-RULOA,10.0,1,3,100.25,1064.65,1,0,0,0,106.465,10.025
8402-OOOHJ,41.0,1,2,20.65,835.15,0,1,0,1,20.36951219512195,0.5036585365853659
9445-ZUEQE,27.0,1,0,85.2,2151.6,0,0,0,0,79.68888888888888,3.1555555555555554
1091-SOZGA,56.0,1,0,99.8,5515.45,0,1,1,0,98.49017857142857,1.782142857142857
2928-HLDBA,6.0,1,2,20.7,112.75,0,0,0,0,18.791666666666668,3.4499999999999997
0404-SWRVG,3.0,1,3,74.4,229.55,1,0,0,0,76.51666666666667,24.8
6497-TILVL,7.0,1,2,50.7,350.35,0,0,0,0,50.050000000000004,7.242857142857143
7219-TLZHO,4.0,1,2,20.85,62.9,0,0,0,0,15.725,5.2125
4622-YNKIJ,33.0,1,3,88.95,3027.65,0,1,0,1,91.7469696969697,2.6954545454545453
4412-YLTKF,27.0,1,3,78.05,2135.5,1,0,0,0,79.0925925925926,2.890740740740741
6734-PSBAW,72.0,1,1,23.55,1723.95,0,1,0,1,23.94375,0.32708333333333334
3930-ZGWVE,1.0,1,2,19.75,19.75,0,0,0,0,19.75,19.75
2639-UGMAZ,71.0,0,3,56.45,3985.35,0,1,1,0,56.131690140845066,0.7950704225352113
2876-GZYZC,13.0,1,3,85.95,1215.65,0,0,0,0,93.51153846153846,6.611538461538462
6207-WIOLX,25.0,0,0,58.6,1502.65,1,0,0,0,60.106,2.344
8587-XYZSF,67.0,1,1,50.55,3260.1,0,1,0,1,48.65820895522388,0.7544776119402985
3091-FYHKI,1.0,0,3,35.45,35.45,1,0,0,0,35.45,35.45
2372-HWUHI,2.0,1,3,44.35,81.25,1,0,0,0,40.625,22.175
7799-LGRDP,43.0,1,0,25.7,1188.2,0,1,0,1,27.632558139534886,0.5976744186046511
7850-VWJUU,23.0,1,1,75.0,1778.5,0,0,0,0,77.32608695652173,3.260869565217391
3774-VBNXY,64.0,1,2,20.2,1277.75,0,1,0,1,19.96484375,0.315625
6217-KDYWC,57.0,1,2,19.6,1170.55,0,1,0,1,20.5359649122807,0.34385964912280703
0390-DCFDQ,1.0,1,2,70.45,70.45,1,0,0,0,70.45,70.45
3146-MSEGF,72.0,1,0,88.05,6425.65,0,1,0,1,89.24513888888889,1.2229166666666667
4080-OGPJL,8.0,1,3,71.15,563.65,1,0,0,0,70.45625,8.89375
1095-WGNGG,61.0,1,1,101.05,5971.25,0,1,0,1,97.88934426229508,1.6565573770491804
2636-SJDOU,64.0,1,0,84.3,5289.05,0,1,1,0,82.64140625,1.3171875
1131-QQZEB,71.0,1,1,23.95,1756.2,0,1,0,1,24.735211267605635,0.3373239436619718
5716-EZXZN,65.0,1,0,99.05,6416.7,0,1,0,1,98.71846153846154,1.5238461538461539
6837-BJYDQ,3.0,1,2,19.6,61.35,0,1,1,0,20.45,6.533333333333334
2135-RXIHG,1.0,1,3,45.65,45.65,1,0,0,0,45.65,45.65
6440-DKQGE,30.0,1,0,64.5,1929.95,0,1,1,0,64.33166666666666,2.15
3466-BYAVD,15.0,1,2,69.5,1071.4,0,0,0,0,71.42666666666668,4.633333333333334
3780-YVMFA,8.0,1,3,68.55,564.35,0,0,0,0,70.54375,8.56875
3874-EQOEP,7.0,1,2,95.0,655.5,1,0,0,0,93.64285714285714,13.571428571428571
1679-JRFBR,70.0,1,0,108.15,7930.55,0,1,1,0,113.29357142857143,1.5450000000000002
9073-ZZIAY,62.0,1,3,86.1,5215.25,0,1,0,1,84.11693548387096,1.3887096774193548
3077-RSNTJ,6.0,1,2,19.7,113.5,0,0,0,0,18.916666666666668,3.283333333333333
6551-GNYDG,14.0,1,1,80.9,1152.8,0,0,0,0,82.34285714285714,5.778571428571429
9167-APMXZ,22.0,1,1,84.15,1821.95,0,0,0,0,82.81590909090909,3.825
2749-CTKAJ,22.0,1,2,20.15,419.9,0,1,1,0,19.086363636363636,0.9159090909090909
6371-NZYEG,16.0,1,2,64.25,1024.0,0,1,0,1,64.0,4.015625
7554-NEWDD,10.0,1,1,25.7,251.6,0,1,0,1,25.16,2.57
8992-VONJD,13.0,1,3,56.0,764.55,0,0,0,0,58.81153846153846,4.3076923076923075
0867-MKZVY,20.0,1,3,82.4,1592.35,1,0,0,0,79.61749999999999,4.12
4482-EWFMI,2.0,1,3,69.7,135.2,0,0,0,0,67.6,34.85
4648-YPBTM,53.0,1,1,73.9,3958.25,0,1,0,1,74.68396226415095,1.3943396226415095
2907-ILJBN,11.0,1,2,20.6,233.9,0,1,1,0,21.263636363636365,1.8727272727272728
6345-FZOQH,69.0,1,2,19.9,1363.45,0,1,0,1,19.76014492753623,0.28840579710144926
3376-BMGFE,4.0,1,1,70.9,273.0,1,0,0,0,68.25,17.725
5997-OPVFA,72.0,1,1,89.05,6254.45,0,1,0,1,86.86736111111111,1.2368055555555555
3445-HXXGF,58.0,0,3,45.3,2651.2,1,0,0,0,45.710344827586205,0.7810344827586206
1159-WFSGR,16.0,1,3,20.4,321.4,0,0,0,0,20.0875,1.275
7654-YWJUF,43.0,1,1,84.25,3539.25,0,1,1,0,82.30813953488372,1.9593023255813953
1875-QIVME,2.0,1,3,104.4,242.8,1,0,0,0,121.4,52.2
6727-IOTLZ,14.0,1,2,81.95,1181.75,0,1,0,1,84.41071428571429,5.853571428571429
0691-JVSYA,53.0,1,1,94.85,5000.2,1,1,1,0,94.3433962264151,1.7896226415094338
5918-VUKWP,32.0,1,1,20.55,654.55,0,1,1,0,20.4546875,0.6421875
1744-JHKYS,34.0,1,3,24.7,780.2,0,0,0,0,22.947058823529414,0.7264705882352941
2656-FMOKZ,15.0,1,2,74.45,1145.7,1,0,0,0,76.38000000000001,4.963333333333334
2070-FNEXE,7.0,1,1,76.45,503.6,1,0,0,0,71.94285714285715,10.921428571428573
5947-SGKCL,15.0,1,1,105.35,1559.25,0,0,0,0,103.95,7.0233333333333325
3712-PKXZA,61.0,1,0,20.55,1252.0,0,1,1,0,20.524590163934427,0.3368852459016394
6317-YPKDH,1.0,0,1,29.95,29.95,1,0,0,0,29.95,29.95
6582-OIVSP,1.0,1,2,45.3,45.3,0,0,0,0,45.3,45.3
9367-WXLCH,8.0,1,1,84.5,662.65,1,0,0,0,82.83125,10.5625
5524-KHNJP,33.0,1,0,74.75,2453.3,0,1,1,0,74.34242424242424,2.265151515151515
1918-ZBFQJ,13.0,1,3,79.25,1111.65,1,0,0,0,85.51153846153846,6.096153846153846
1024-GUALD,1.0,0,3,24.8,24.8,1,0,0,0,24.8,24.8
4827-USJHP,20.0,1,2,51.8,1023.85,0,0,0,0,51.1925,2.59
8167-GJLRN,3.0,0,3,30.4,82.15,0,0,0,0,27.383333333333336,10.133333333333333
0956-SYCWG,13.0,1,3,19.65,244.8,0,1,1,0,18.83076923076923,1.5115384615384615
8017-UVSZU,40.0,1,0,56.6,2379.1,0,0,0,0,59.4775,1.415
7100-FQPRV,43.0,1,0,71.9,3173.35,0,1,1,0,73.79883720930232,1.672093023255814
2472-OVKUP,6.0,1,3,91.0,531.0,1,0,0,0,88.5,15.166666666666666
2984-RGEYA,69.0,1,1,19.75,1375.4,0,1,0,1,19.933333333333334,0.286231884057971
9680-NIAUV,72.0,1,0,109.7,8129.3,0,1,0,1,112.90694444444445,1.5236111111111112
2146-EGVDT,59.0,1,0,19.3,1192.7,0,1,0,1,20.215254237288136,0.3271186440677966
2604-IJPDU,20.0,1,3,96.55,1901.65,0,0,0,0,95.08250000000001,4.8275
9178-JHUVJ,24.0,1,1,24.1,587.4,0,1,0,1,24.474999999999998,1.0041666666666667
6168-YBYNP,59.0,1,3,111.35,6519.75,0,0,0,0,110.5042372881356,1.8872881355932203
7255-SSFBC,72.0,1,1,112.25,8041.65,0,1,0,1,111.68958333333333,1.5590277777777777
3645-DEYGF,1.0,1,2,20.75,20.75,0,0,0,0,20.75,20.75
9323-HGFWY,27.0,1,0,101.9,2681.15,0,1,1,0,99.30185185185185,3.774074074074074
8544-GOQSH,14.0,1,0,80.05,1112.3,0,0,0,0,79.45,5.7178571428571425
3363-DTIVD,71.0,1,3,105.55,7405.5,0,1,0,1,104.30281690140845,1.486619718309859
7018-WBJNK,13.0,1,0,78.3,1033.95,0,0,0,0,79.53461538461539,6.023076923076923
9142-KZXOP,44.0,1,0,68.85,2958.95,0,0,0,0,67.24886363636364,1.5647727272727272
7674-YTAFD,33.0,1,1,79.95,2684.85,0,1,1,0,81.35909090909091,2.422727272727273
6348-SNFUS,72.0,0,0,55.45,4179.2,0,1,0,1,58.044444444444444,0.7701388888888889
1285-OKIPP,1.0,1,3,79.9,79.9,1,0,0,0,79.9,79.9
7825-ECJRF,19.0,1,3,106.6,1934.45,1,0,0,0,101.81315789473685,5.610526315789474
1347-KTTTA,64.0,1,0,102.45,6654.1,0,1,1,0,103.9703125,1.60078125
7841-TZDMQ,2.0,1,0,46.0,84.5,1,0,0,0,42.25,23.0
4195-NZGTA,1.0,0,3,25.25,25.25,0,0,0,0,25.25,25.25
7157-SMCFK,61.0,1,2,19.75,1124.2,0,1,0,1,18.42950819672131,0.3237704918032787
4709-LKHYG,29.0,1,3,20.0,540.05,0,1,1,0,18.622413793103448,0.6896551724137931
2504-DSHIH,23.0,1,3,86.8,1975.85,0,0,0,0,85.90652173913043,3.773913043478261
0699-NDKJM,57.0,0,1,58.75,3437.45,0,0,0,0,60.30614035087719,1.030701754385965
9286-BHDQG,72.0,0,0,45.25,3139.8,0,1,0,1,43.608333333333334,0.6284722222222222
0230-WEQUW,66.0,0,1,56.6,3789.2,0,1,0,1,57.41212121212121,0.8575757575757575
2040-LDIWQ,65.0,1,1,84.2,5324.5,0,1,0,1,81.91538461538461,1.2953846153846154
6496-JDSSB,8.0,1,1,80.0,624.6,0,0,0,0,78.075,10.0
9408-SSNVZ,4.0,1,3,70.15,268.35,1,0,0,0,67.0875,17.5375
4443-EMBNA,71.0,1,1,24.75,1836.9,0,1,0,1,25.871830985915494,0.3485915492957746
6469-MRVET,1.0,1,3,20.2,20.2,0,1,1,0,20.2,20.2
0742-MOABM,4.0,1,2,50.05,179.35,1,0,0,0,44.8375,12.5125
5961-VUSRV,12.0,1,1,19.35,219.35,0,1,1,0,18.279166666666665,1.6125
6778-JFCMK,24.0,0,2,50.6,1288.75,0,1,1,0,53.697916666666664,2.1083333333333334
6341-JVQGF,31.0,1,2,81.15,2545.75,0,1,1,0,82.12096774193549,2.6177419354838714
2232-DMLXU,1.0,1,2,55.2,55.2,1,0,0,0,55.2,55.2
4811-JBUVU,30.0,1,0,89.9,2723.15,0,0,0,0,90.77166666666668,2.996666666666667
0945-TSONX,47.0,1,0,85.3,4107.25,0,1,0,1,87.38829787234043,1.8148936170212766
2651-ZCBXV,54.0,1,0,108.0,5760.65,0,1,0,1,106.6787037037037,2.0
3316-UWXUY,50.0,1,0,93.5,4747.5,0,0,0,0,94.95,1.87
8937-RDTHP,1.0,1,2,84.6,84.6,1,0,0,0,84.6,84.6
7083-MIOPC,72.0,1,0,20.25,1566.9,0,1,0,1,21.762500000000003,0.28125
1984-GPTEH,29.0,1,3,25.15,702.0,0,0,0,0,24.20689655172414,0.8672413793103447
1251-KRREG,2.0,1,2,54.4,114.1,1,0,0,0,57.05,27.2
0621-JFHOL,10.0,0,2,29.6,299.05,0,1,0,1,29.905,2.96
9903-LYSAB,18.0,1,3,73.15,1305.95,0,0,0,0,72.55277777777778,4.063888888888889
0094-OIFMO,11.0,1,3,95.0,1120.3,1,0,0,0,101.84545454545454,8.636363636363637
9227-UAQFT,16.0,1,2,19.75,284.35,0,1,0,1,17.771875,1.234375
7301-ABVAD,72.0,1,1,86.6,6350.5,0,1,0,1,88.20138888888889,1.2027777777777777
6614-FHDBO,72.0,1,1,109.2,7878.3,0,1,0,1,109.42083333333333,1.5166666666666666
7576-ASEJU,41.0,1,0,74.7,3187.65,0,1,1,0,77.74756097560976,1.8219512195121952
9058-HRZSV,65.0,1,3,94.4,6126.15,0,0,0,0,94.24846153846153,1.4523076923076923
4522-AKYLR,13.0,1,3,54.8,731.3,0,0,0,0,56.25384615384615,4.2153846153846155
0221-WMXNQ,4.0,1,3,75.35,273.4,0,0,0,0,68.35,18.8375
0303-UNCIP,41.0,1,2,65.0,2531.8,0,1,1,0,61.75121951219513,1.5853658536585367
9947-OTFQU,15.0,1,3,74.4,1074.3,1,0,0,0,71.61999999999999,4.96
0322-YINQP,1.0,1,2,48.55,48.55,1,0,0,0,48.55,48.55
0959-WHOKV,42.0,1,3,99.0,4298.45,0,1,1,0,102.34404761904761,2.357142857142857
4075-JFPGR,51.0,1,3,93.5,4619.55,0,1,1,0,90.57941176470588,1.8333333333333333
4629-NRXKX,2.0,1,3,70.4,147.15,1,0,0,0,73.575,35.2
9514-JDSKI,1.0,0,3,40.2,40.2,1,0,0,0,40.2,40.2
3282-ZISZV,32.0,1,0,83.7,2633.3,0,1,1,0,82.290625,2.615625
3675-YDUPJ,10.0,1,2,19.85,193.05,0,0,0,0,19.305,1.985
4111-BNXIF,67.0,0,3,59.55,4103.9,0,1,0,1,61.252238805970144,0.8888059701492537
7017-VFHAY,61.0,1,0,115.1,7008.15,0,1,0,1,114.88770491803278,1.8868852459016392
6655-LHBYW,50.0,1,0,114.35,5791.1,0,1,1,0,115.822,2.287
4959-JOSRX,2.0,1,0,44.6,80.55,1,0,0,0,40.275,22.3
5046-NUHWD,29.0,0,3,45.0,1228.65,0,0,0,0,42.36724137931035,1.5517241379310345
7273-TEFQD,3.0,0,3,41.15,132.2,1,0,0,0,44.06666666666666,13.716666666666667
3606-TWKGI,13.0,1,3,106.9,1364.3,1,0,0,0,104.94615384615385,8.223076923076924
7529-ZDFXI,57.0,1,3,89.85,4925.35,0,0,0,0,86.40964912280702,1.5763157894736841
7605-BDWDC,31.0,0,1,49.85,1520.1,0,1,0,1,49.03548387096774,1.6080645161290323
1950-KSVVJ,45.0,1,2,113.3,5032.25,0,1,1,0,111.82777777777778,2.517777777777778
0123-CRBRT,61.0,1,2,88.1,5526.75,0,1,0,1,90.60245901639344,1.444262295081967
6292-TOSSS,50.0,1,1,24.9,1195.25,0,1,0,1,23.905,0.498
3197-ARFOY,19.0,1,2,105.0,2007.25,0,0,0,0,105.64473684210526,5.526315789473684
6323-AYBRX,59.0,1,2,19.35,1099.6,1,1,0,1,18.63728813559322,0.3279661016949153
7014-ZZXAW,71.0,1,0,24.25,1732.95,0,1,0,1,24.40774647887324,0.3415492957746479
4385-GZQXV,16.0,1,3,94.45,1511.2,1,0,0,0,94.45,5.903125
7633-MVPUY,57.0,1,3,59.75,3450.15,0,1,0,1,60.52894736842106,1.0482456140350878
6366-ZGQGL,1.0,0,1,24.8,24.8,1,0,0,0,24.8,24.8
4716-HHKQH,20.0,1,3,107.05,2172.05,0,0,0,0,108.6025,5.3525
5940-AHUHD,1.0,1,2,70.6,70.6,1,0,0,0,70.6,70.6
6432-TWQLB,5.0,1,3,85.4,401.1,1,0,0,0,80.22,17.080000000000002
4484-GLZOU,52.0,1,3,105.05,5624.85,1,0,0,0,108.17019230769232,2.020192307692308
3179-GBRWV,21.0,1,1,64.95,1339.8,0,0,0,0,63.8,3.092857142857143
8645-KWHJO,14.0,0,3,55.0,771.95,0,0,0,0,55.13928571428572,3.9285714285714284
4130-MZLCC,5.0,1,1,50.55,244.75,0,0,0,0,48.95,10.11
0314-TKOSI,6.0,1,2,55.15,322.9,0,0,0,0,53.81666666666666,9.191666666666666
8229-MYEJZ,10.0,1,3,51.2,498.25,0,0,0,0,49.825,5.12
2080-SRCDE,1.0,1,2,25.4,25.4,0,0,0,0,25.4,25.4
9577-WJVCQ,68.0,1,2,54.45,3687.75,0,0,0,0,54.231617647058826,0.8007352941176471
9512-UIBFX,18.0,1,2,95.15,1779.95,1,0,0,0,98.88611111111112,5.286111111111111
6202-DYYFX,22.0,1,0,76.0,1783.6,0,1,1,0,81.07272727272726,3.4545454545454546
3808-HFKDE,20.0,1,3,44.35,927.15,0,0,0,0,46.3575,2.2175000000000002
5583-SXDAG,1.0,1,3,70.0,70.0,1,0,0,0,70.0,70.0
3488-PGMQJ,8.0,1,3,74.5,606.55,1,0,0,0,75.81875,9.3125
3580-REOAC,10.0,1,0,44.85,435.4,1,0,0,0,43.54,4.485
