customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_Tenure_Ratio
3712-PKXZA,61.0,1,1,0,20.55,1252.0,0,20.524590163934427
6317-YPKDH,1.0,0,0,1,29.95,29.95,1,29.95
6582-OIVSP,1.0,1,0,2,45.3,45.3,0,45.3
9367-WXLCH,8.0,1,0,1,84.5,662.65,1,82.83125
5524-KHNJP,33.0,1,1,0,74.75,2453.3,0,74.34242424242424
1918-ZBFQJ,13.0,1,0,3,79.25,1111.65,1,85.51153846153846
1024-GUALD,1.0,0,0,3,24.8,24.8,1,24.8
4827-USJHP,20.0,1,0,2,51.8,1023.85,0,51.1925
8167-GJLRN,3.0,0,0,3,30.4,82.15,0,27.383333333333336
0956-SYCWG,13.0,1,1,3,19.65,244.8,0,18.83076923076923
8017-UVSZU,40.0,1,0,0,56.6,2379.1,0,59.4775
7100-FQPRV,43.0,1,1,0,71.9,3173.35,0,73.79883720930232
2472-OVKUP,6.0,1,0,3,91.0,531.0,1,88.5
2984-RGEYA,69.0,1,2,1,19.75,1375.4,0,19.933333333333334
9680-NIAUV,72.0,1,2,0,109.7,8129.3,0,112.90694444444445
2146-EGVDT,59.0,1,2,0,19.3,1192.7,0,20.215254237288136
2604-IJPDU,20.0,1,0,3,96.55,1901.65,0,95.08250000000001
9178-JHUVJ,24.0,1,2,1,24.1,587.4,0,24.474999999999998
6168-YBYNP,59.0,1,0,3,111.35,6519.75,0,110.5042372881356
7255-SSFBC,72.0,1,2,1,112.25,8041.65,0,111.68958333333333
3645-DEYGF,1.0,1,0,2,20.75,20.75,0,20.75
9323-HGFWY,27.0,1,1,0,101.9,2681.15,0,99.30185185185185
8544-GOQSH,14.0,1,0,0,80.05,1112.3,0,79.45
3363-DTIVD,71.0,1,2,3,105.55,7405.5,0,104.30281690140845
7018-WBJNK,13.0,1,0,0,78.3,1033.95,0,79.53461538461539
9142-KZXOP,44.0,1,0,0,68.85,2958.95,0,67.24886363636364
7674-YTAFD,33.0,1,1,1,79.95,2684.85,0,81.35909090909091
6348-SNFUS,72.0,0,2,0,55.45,4179.2,0,58.044444444444444
1285-OKIPP,1.0,1,0,3,79.9,79.9,1,79.9
7825-ECJRF,19.0,1,0,3,106.6,1934.45,1,101.81315789473685
1347-KTTTA,64.0,1,1,0,102.45,6654.1,0,103.9703125
7841-TZDMQ,2.0,1,0,0,46.0,84.5,1,42.25
4195-NZGTA,1.0,0,0,3,25.25,25.25,0,25.25
7157-SMCFK,61.0,1,2,2,19.75,1124.2,0,18.42950819672131
4709-LKHYG,29.0,1,1,3,20.0,540.05,0,18.622413793103448
2504-DSHIH,23.0,1,0,3,86.8,1975.85,0,85.90652173913043
0699-NDKJM,57.0,0,0,1,58.75,3437.45,0,60.30614035087719
9286-BHDQG,72.0,0,2,0,45.25,3139.8,0,43.608333333333334
0230-WEQUW,66.0,0,2,1,56.6,3789.2,0,57.41212121212121
2040-LDIWQ,65.0,1,2,1,84.2,5324.5,0,81.91538461538461
6496-JDSSB,8.0,1,0,1,80.0,624.6,0,78.075
9408-SSNVZ,4.0,1,0,3,70.15,268.35,1,67.0875
4443-EMBNA,71.0,1,2,1,24.75,1836.9,0,25.871830985915494
6469-MRVET,1.0,1,1,3,20.2,20.2,0,20.2
0742-MOABM,4.0,1,0,2,50.05,179.35,1,44.8375
5961-VUSRV,12.0,1,1,1,19.35,219.35,0,18.279166666666665
6778-JFCMK,24.0,0,1,2,50.6,1288.75,0,53.697916666666664
6341-JVQGF,31.0,1,1,2,81.15,2545.75,0,82.12096774193549
2232-DMLXU,1.0,1,0,2,55.2,55.2,1,55.2
4811-JBUVU,30.0,1,0,0,89.9,2723.15,0,90.77166666666668
0945-TSONX,47.0,1,2,0,85.3,4107.25,0,87.38829787234043
2651-ZCBXV,54.0,1,2,0,108.0,5760.65,0,106.6787037037037
3316-UWXUY,50.0,1,0,0,93.5,4747.5,0,94.95
8937-RDTHP,1.0,1,0,2,84.6,84.6,1,84.6
7083-MIOPC,72.0,1,2,0,20.25,1566.9,0,21.762500000000003
1984-GPTEH,29.0,1,0,3,25.15,702.0,0,24.20689655172414
1251-KRREG,2.0,1,0,2,54.4,114.1,1,57.05
0621-JFHOL,10.0,0,2,2,29.6,299.05,0,29.905
9903-LYSAB,18.0,1,0,3,73.15,1305.95,0,72.55277777777778
0094-OIFMO,11.0,1,0,3,95.0,1120.3,1,101.84545454545454
9227-UAQFT,16.0,1,2,2,19.75,284.35,0,17.771875
7301-ABVAD,72.0,1,2,1,86.6,6350.5,0,88.20138888888889
6614-FHDBO,72.0,1,2,1,109.2,7878.3,0,109.42083333333333
7576-ASEJU,41.0,1,1,0,74.7,3187.65,0,77.74756097560976
9058-HRZSV,65.0,1,0,3,94.4,6126.15,0,94.24846153846153
4522-AKYLR,13.0,1,0,3,54.8,731.3,0,56.25384615384615
0221-WMXNQ,4.0,1,0,3,75.35,273.4,0,68.35
0303-UNCIP,41.0,1,1,2,65.0,2531.8,0,61.75121951219513
9947-OTFQU,15.0,1,0,3,74.4,1074.3,1,71.61999999999999
0322-YINQP,1.0,1,0,2,48.55,48.55,1,48.55
0959-WHOKV,42.0,1,1,3,99.0,4298.45,0,102.34404761904761
4075-JFPGR,51.0,1,1,3,93.5,4619.55,0,90.57941176470588
4629-NRXKX,2.0,1,0,3,70.4,147.15,1,73.575
9514-JDSKI,1.0,0,0,3,40.2,40.2,1,40.2
3282-ZISZV,32.0,1,1,0,83.7,2633.3,0,82.290625
3675-YDUPJ,10.0,1,0,2,19.85,193.05,0,19.305
4111-BNXIF,67.0,0,2,3,59.55,4103.9,0,61.252238805970144
7017-VFHAY,61.0,1,2,0,115.1,7008.15,0,114.88770491803278
6655-LHBYW,50.0,1,1,0,114.35,5791.1,0,115.822
4959-JOSRX,2.0,1,0,0,44.6,80.55,1,40.275
5046-NUHWD,29.0,0,0,3,45.0,1228.65,0,42.36724137931035
7273-TEFQD,3.0,0,0,3,41.15,132.2,1,44.06666666666666
3606-TWKGI,13.0,1,0,3,106.9,1364.3,1,104.94615384615385
7529-ZDFXI,57.0,1,0,3,89.85,4925.35,0,86.40964912280702
7605-BDWDC,31.0,0,2,1,49.85,1520.1,0,49.03548387096774
1950-KSVVJ,45.0,1,1,2,113.3,5032.25,0,111.82777777777778
0123-CRBRT,61.0,1,2,2,88.1,5526.75,0,90.60245901639344
6292-TOSSS,50.0,1,2,1,24.9,1195.25,0,23.905
3197-ARFOY,19.0,1,0,2,105.0,2007.25,0,105.64473684210526
6323-AYBRX,59.0,1,2,2,19.35,1099.6,1,18.63728813559322
7014-ZZXAW,71.0,1,2,0,24.25,1732.95,0,24.40774647887324
4385-GZQXV,16.0,1,0,3,94.45,1511.2,1,94.45
7633-MVPUY,57.0,1,2,3,59.75,3450.15,0,60.52894736842106
6366-ZGQGL,1.0,0,0,1,24.8,24.8,1,24.8
4716-HHKQH,20.0,1,0,3,107.05,2172.05,0,108.6025
5940-AHUHD,1.0,1,0,2,70.6,70.6,1,70.6
6432-TWQLB,5.0,1,0,3,85.4,401.1,1,80.22
4484-GLZOU,52.0,1,0,3,105.05,5624.85,1,108.17019230769232
3179-GBRWV,21.0,1,0,1,64.95,1339.8,0,63.8
8645-KWHJO,14.0,0,0,3,55.0,771.95,0,55.13928571428572
4130-MZLCC,5.0,1,0,1,50.55,244.75,0,48.95
0314-TKOSI,6.0,1,0,2,55.15,322.9,0,53.81666666666666
8229-MYEJZ,10.0,1,0,3,51.2,498.25,0,49.825
2080-SRCDE,1.0,1,0,2,25.4,25.4,0,25.4
9577-WJVCQ,68.0,1,0,2,54.45,3687.75,0,54.231617647058826
9512-UIBFX,18.0,1,0,2,95.15,1779.95,1,98.88611111111112
6202-DYYFX,22.0,1,1,0,76.0,1783.6,0,81.07272727272726
3808-HFKDE,20.0,1,0,3,44.35,927.15,0,46.3575
5583-SXDAG,1.0,1,0,3,70.0,70.0,1,70.0
3488-PGMQJ,8.0,1,0,3,74.5,606.55,1,75.81875
3580-REOAC,10.0,1,0,0,44.85,435.4,1,43.54
7534-BFESC,24.0,1,0,3,76.1,1712.7,1,71.3625
3727-OWVYD,35.0,1,1,2,61.2,2021.2,0,57.74857142857143
2294-SALNE,23.0,1,1,2,86.8,1940.8,0,84.38260869565217
4847-TAJYI,6.0,1,0,3,89.35,567.8,0,94.63333333333333
1563-IWQEX,12.0,1,0,2,19.7,220.35,0,18.3625
8203-XJZRC,1.0,1,0,2,20.25,20.25,0,20.25
6556-DBKZF,71.0,1,2,3,76.05,5436.45,0,76.56971830985916
6851-WEFYX,35.0,1,0,3,100.8,3437.5,0,98.21428571428571
2985-JUUBZ,40.0,1,0,3,74.55,3015.75,0,75.39375
6390-DSAZX,1.0,1,0,2,73.6,73.6,1,73.6
0895-LMRSF,23.0,1,1,1,64.9,1509.8,0,65.64347826086956
8098-LLAZX,4.0,1,0,3,95.45,396.1,1,99.025
8266-VBFQL,4.0,1,0,3,90.4,356.65,0,89.1625
8181-YHCMF,68.0,0,2,0,60.3,4109.0,0,60.4264705882353
2240-HSJQD,38.0,1,0,2,81.85,3141.7,0,82.67631578947368
1248-DYXUB,52.0,1,2,2,24.8,1229.1,0,23.63653846153846
0265-EDXBD,32.0,1,0,3,74.9,2303.35,1,71.9796875
4115-BNPJY,29.0,1,2,2,75.55,2054.4,0,70.84137931034483
3167-SNQPL,38.0,1,0,3,101.15,3741.85,0,98.46973684210526
4091-TVOCN,48.0,1,1,0,78.75,3682.45,0,76.71770833333333
1098-TDVUQ,1.0,1,0,1,19.25,19.25,0,19.25
7277-OZCGZ,22.0,1,0,3,89.05,1886.25,0,85.73863636363636
1557-EMYVT,43.0,1,2,0,115.05,4895.1,0,113.83953488372094
2799-ARNLO,5.0,1,0,3,69.35,341.6,0,68.32000000000001
7563-BIUPC,5.0,1,0,3,80.6,415.55,1,83.11
5027-YOCXN,51.0,1,1,0,110.05,5686.4,0,111.49803921568626
3973-SKMLN,71.0,1,2,0,19.9,1355.1,0,19.085915492957746
2321-OMBXY,38.0,1,1,0,80.3,3058.65,1,80.49078947368422
2840-XANRC,24.0,1,0,3,93.15,2231.05,1,92.96041666666667
6745-JEFZB,35.0,1,0,0,91.5,3236.35,0,92.46714285714286
5020-ZSTTY,54.0,1,1,1,82.45,4350.1,1,80.55740740740741
9880-TDQAC,72.0,0,2,3,60.0,4264.0,0,59.22222222222222
8705-WZCYL,1.0,1,0,3,44.8,44.8,0,44.8
7102-JJVTX,9.0,1,1,2,48.6,422.3,0,46.922222222222224
8626-PTQGE,69.0,0,2,1,60.05,4176.7,0,60.53188405797101
4983-CLMLV,52.0,1,0,0,102.7,5138.1,0,98.8096153846154
5701-YVSVF,11.0,1,0,3,82.9,880.05,0,80.00454545454545
5804-LEPIM,2.0,1,0,3,70.35,139.05,1,69.525
5697-GOMBF,28.0,0,0,3,35.9,973.65,0,34.77321428571428
2739-CACDQ,17.0,1,0,0,82.65,1470.05,0,86.4735294117647
9385-EHGDO,35.0,1,2,2,19.85,739.35,0,21.124285714285715
9498-FIMXL,8.0,1,1,2,19.2,161.95,0,20.24375
2379-GYFLQ,46.0,1,1,0,94.9,4422.95,0,96.15108695652174
0122-OAHPZ,7.0,1,0,3,73.85,511.25,1,73.03571428571429
2868-SNELZ,2.0,1,0,2,80.6,155.8,1,77.9
4322-RCYMT,68.0,1,1,1,75.8,5293.95,1,77.85220588235293
6680-NENYN,43.0,1,2,3,104.6,4759.85,1,110.69418604651163
2088-IEBAU,68.0,1,2,3,88.15,6148.45,0,90.41838235294118
7982-VCELR,36.0,1,0,0,94.8,3565.65,0,99.04583333333333
1343-EHPYB,63.0,1,0,3,103.4,6603.0,1,104.80952380952381
6035-BXTTY,32.0,1,0,1,54.65,1830.1,0,57.190625
6885-PKOAM,71.0,1,2,0,85.75,6223.8,0,87.65915492957747
7520-HQWJU,66.0,1,0,1,67.45,4508.65,0,68.31287878787879
9639-BUJXT,63.0,1,1,2,20.5,1328.15,0,21.081746031746032
5924-SNGKP,41.0,1,1,0,20.25,865.0,0,21.097560975609756
0021-IKXGC,1.0,1,0,3,72.1,72.1,0,72.1
2034-GDRCN,2.0,1,0,3,90.4,168.2,1,84.1
8966-SNIZF,70.0,1,2,1,19.45,1303.5,0,18.62142857142857
6243-OZGFH,23.0,0,0,3,44.95,996.85,0,43.34130434782609
4654-DLAMQ,64.0,1,1,1,97.0,6430.9,0,100.4828125
0513-RBGPE,37.0,1,2,0,62.8,2278.75,0,61.58783783783784
5160-UXJED,17.0,1,1,2,44.6,681.4,0,40.08235294117647
4115-NZRKS,7.0,1,0,3,89.15,574.35,0,82.05
0219-YTZUE,4.0,1,0,1,84.8,371.9,1,92.975
0623-IIHUG,21.0,0,0,3,41.9,840.1,1,40.00476190476191
4572-DVCGN,10.0,1,0,1,80.25,846.0,1,84.6
3351-NGXYI,16.0,1,0,3,54.1,889.0,0,55.5625
8984-EYLLL,64.0,1,2,3,105.25,6823.4,0,106.615625
9057-MSWCO,27.0,0,0,0,30.75,805.1,1,29.81851851851852
9833-TGFHX,42.0,1,1,3,97.1,4016.75,0,95.63690476190476
9294-TDIPC,5.0,1,0,2,20.2,83.75,0,16.75
5229-DTFYB,41.0,1,2,1,98.8,3959.15,0,96.56463414634146
0104-PPXDV,58.0,1,1,0,50.3,2878.55,0,49.630172413793105
5176-LMJXE,47.0,1,2,2,20.55,945.7,0,20.121276595744682
3583-KRKMD,18.0,1,0,1,75.9,1373.05,0,76.28055555555555
1010-DIAUQ,5.0,1,0,1,96.5,492.55,1,98.51
9069-LGEUL,23.0,1,0,1,59.95,1406.0,0,61.130434782608695
7302-ZHMHP,1.0,1,0,2,19.15,19.15,0,19.15
9571-EDEBV,71.0,1,1,0,98.65,6962.85,0,98.06830985915494
3520-FJGCV,72.0,1,2,0,112.6,8126.65,0,112.87013888888889
6563-VRERX,33.0,1,1,2,20.6,690.25,0,20.916666666666668
0259-GBZSH,2.0,1,0,3,85.65,181.5,1,90.75
6122-EFVKN,24.0,0,2,2,35.75,830.8,0,34.61666666666667
2805-EDJPQ,56.0,1,1,0,99.75,5608.4,0,100.14999999999999
6862-CQUMB,37.0,1,0,0,96.1,3646.8,0,98.56216216216217
7156-MXBJE,43.0,1,1,0,85.1,3662.25,0,85.1686046511628
6158-HDPXZ,1.0,0,0,2,25.35,25.35,0,25.35
9601-BRXPO,25.0,1,0,1,104.95,2566.5,1,102.66
2863-IMQDR,61.0,1,2,3,89.65,5308.7,0,87.02786885245901
5686-CMAWK,17.0,1,1,3,86.75,1410.25,0,82.95588235294117
5651-CRHKQ,41.0,1,1,1,86.2,3339.05,0,81.44024390243902
