tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,TotalCharges_to_MonthlyCharges_ratio,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year
48,1,20.65,1057.0,0,51.1864406779661,1,0,1,0,1,0,1
46,1,19.95,927.1,0,46.47117794486216,0,0,1,1,1,0,1
29,0,33.75,1009.25,0,29.903703703703705,0,0,1,1,0,0,0
30,1,82.05,2570.2,0,31.32480195003047,1,0,1,0,0,0,0
1,1,74.7,74.7,0,1.0,0,0,0,0,0,0,0
66,1,84.0,5714.25,0,68.02678571428571,0,0,1,1,1,0,1
65,1,111.05,7107.0,0,63.9981990094552,0,1,1,0,0,0,0
72,1,100.9,7459.05,0,73.92517343904856,1,0,1,0,1,0,1
12,1,78.95,927.35,1,11.746041798606711,0,0,0,0,0,0,0
71,1,66.85,4748.7,0,71.03515332834705,0,1,1,0,1,1,0
5,1,21.05,113.85,1,5.40855106888361,0,0,1,1,0,0,0
52,1,21.0,1107.2,0,52.72380952380953,1,0,1,0,1,0,1
25,1,98.5,2514.5,1,25.527918781725887,0,0,0,0,0,0,0
1,1,20.2,20.2,0,1.0,0,0,1,1,0,0,0
1,1,19.45,19.45,0,1.0,0,0,0,0,0,0,0
38,1,95.0,3605.6,0,37.95368421052631,1,0,1,0,1,1,0
66,0,45.55,3027.25,0,66.45993413830955,1,0,1,0,1,1,0
68,1,110.0,7611.85,1,69.19863636363637,1,0,1,0,1,0,1
5,0,24.3,100.2,0,4.1234567901234565,0,0,1,1,0,0,0
72,1,104.15,7303.05,0,70.12049927988478,0,0,0,0,1,1,0
32,0,30.15,927.65,0,30.76782752902156,0,0,1,1,1,1,0
43,1,94.35,3921.3,0,41.56120826709063,0,0,1,1,1,1,0
72,1,19.4,1363.25,0,70.27061855670104,0,1,1,0,1,0,1
55,1,96.75,5238.9,1,54.14883720930232,0,0,0,0,0,0,0
52,1,57.95,3042.25,0,52.49784296807592,0,1,1,0,1,1,0
43,1,91.65,3954.1,0,43.14348063284233,0,0,0,0,0,0,0
37,1,76.5,2868.15,1,37.4921568627451,0,0,0,0,0,0,0
64,0,54.6,3423.5,0,62.7014652014652,0,0,0,0,1,0,1
3,1,89.85,248.4,0,2.7646076794657763,0,0,0,0,0,0,0
36,0,31.05,1126.35,0,36.27536231884058,1,0,1,0,1,0,1
10,1,100.25,1064.65,1,10.61995012468828,0,0,0,0,0,0,0
41,1,20.65,835.15,0,40.44309927360775,0,0,1,1,1,0,1
27,1,85.2,2151.6,0,25.25352112676056,0,1,1,0,0,0,0
56,1,99.8,5515.45,0,55.26503006012024,0,1,1,0,1,1,0
6,1,20.7,112.75,0,5.446859903381642,0,0,1,1,0,0,0
3,1,74.4,229.55,1,3.0853494623655915,0,0,0,0,0,0,0
7,1,50.7,350.35,0,6.910256410256411,0,0,1,1,0,0,0
4,1,20.85,62.9,0,3.016786570743405,0,0,1,1,0,0,0
33,1,88.95,3027.65,0,34.03766160764474,0,0,0,0,1,0,1
27,1,78.05,2135.5,1,27.360666239590007,0,0,0,0,0,0,0
72,1,23.55,1723.95,0,73.20382165605095,1,0,1,0,1,0,1
1,1,19.75,19.75,0,1.0,0,0,1,1,0,0,0
71,0,56.45,3985.35,0,70.59964570416297,0,0,0,0,1,1,0
13,1,85.95,1215.65,0,14.14368819080861,0,0,0,0,0,0,0
25,0,58.6,1502.65,1,25.642491467576797,0,1,1,0,0,0,0
67,1,50.55,3260.1,0,64.49258160237389,1,0,1,0,1,0,1
1,0,35.45,35.45,1,1.0,0,0,0,0,0,0,0
2,1,44.35,81.25,1,1.8320180383314544,0,0,0,0,0,0,0
43,1,25.7,1188.2,0,46.23346303501946,0,1,1,0,1,0,1
23,1,75.0,1778.5,0,23.71333333333333,1,0,1,0,0,0,0
64,1,20.2,1277.75,0,63.25495049504951,0,0,1,1,1,0,1
57,1,19.6,1170.55,0,59.7219387755102,0,0,1,1,1,0,1
1,1,70.45,70.45,1,1.0,0,0,1,1,0,0,0
72,1,88.05,6425.65,0,72.97728563316298,0,1,1,0,1,0,1
8,1,71.15,563.65,1,7.921995783555867,0,0,0,0,0,0,0
61,1,101.05,5971.25,0,59.09203364670955,1,0,1,0,1,0,1
64,1,84.3,5289.05,0,62.74080664294188,0,1,1,0,1,1,0
71,1,23.95,1756.2,0,73.32776617954072,1,0,1,0,1,0,1
65,1,99.05,6416.7,0,64.78243311458858,0,1,1,0,1,0,1
3,1,19.6,61.35,0,3.1301020408163263,0,0,1,1,1,1,0
1,1,45.65,45.65,1,1.0,0,0,0,0,0,0,0
30,1,64.5,1929.95,0,29.92170542635659,0,1,1,0,1,1,0
15,1,69.5,1071.4,0,15.415827338129498,0,0,1,1,0,0,0
8,1,68.55,564.35,0,8.232676878191102,0,0,0,0,0,0,0
7,1,95.0,655.5,1,6.9,0,0,1,1,0,0,0
70,1,108.15,7930.55,0,73.3291724456773,0,1,1,0,1,1,0
62,1,86.1,5215.25,0,60.57200929152149,0,0,0,0,1,0,1
6,1,19.7,113.5,0,5.761421319796955,0,0,1,1,0,0,0
14,1,80.9,1152.8,0,14.249690976514213,1,0,1,0,0,0,0
22,1,84.15,1821.95,0,21.651218062982768,1,0,1,0,0,0,0
22,1,20.15,419.9,0,20.83870967741936,0,0,1,1,1,1,0
16,1,64.25,1024.0,0,15.93774319066148,0,0,1,1,1,0,1
10,1,25.7,251.6,0,9.789883268482493,1,0,1,0,1,0,1
13,1,56.0,764.55,0,13.65267857142857,0,0,0,0,0,0,0
20,1,82.4,1592.35,1,19.324635922330096,0,0,0,0,0,0,0
2,1,69.7,135.2,0,1.93974175035868,0,0,0,0,0,0,0
53,1,73.9,3958.25,0,53.56224627875507,1,0,1,0,1,0,1
11,1,20.6,233.9,0,11.354368932038836,0,0,1,1,1,1,0
69,1,19.9,1363.45,0,68.51507537688443,0,0,1,1,1,0,1
4,1,70.9,273.0,1,3.85049365303244,1,0,1,0,0,0,0
72,1,89.05,6254.45,0,70.23526108927568,1,0,1,0,1,0,1
58,0,45.3,2651.2,1,58.52538631346578,0,0,0,0,0,0,0
16,1,20.4,321.4,0,15.754901960784316,0,0,0,0,0,0,0
43,1,84.25,3539.25,0,42.00890207715133,1,0,1,0,1,1,0
2,1,104.4,242.8,1,2.3256704980842917,0,0,0,0,0,0,0
14,1,81.95,1181.75,0,14.42037827943868,0,0,1,1,1,0,1
53,1,94.85,5000.2,1,52.71692145492884,1,0,1,0,1,1,0
32,1,20.55,654.55,0,31.85158150851581,1,0,1,0,1,1,0
34,1,24.7,780.2,0,31.58704453441296,0,0,0,0,0,0,0
15,1,74.45,1145.7,1,15.38885157824043,0,0,1,1,0,0,0
7,1,76.45,503.6,1,6.587311968606933,1,0,1,0,0,0,0
15,1,105.35,1559.25,0,14.800664451827243,1,0,1,0,0,0,0
61,1,20.55,1252.0,0,60.92457420924574,0,1,1,0,1,1,0
1,0,29.95,29.95,1,1.0,1,0,1,0,0,0,0
1,1,45.3,45.3,0,1.0,0,0,1,1,0,0,0
8,1,84.5,662.65,1,7.842011834319527,1,0,1,0,0,0,0
33,1,74.75,2453.3,0,32.82006688963211,0,1,1,0,1,1,0
13,1,79.25,1111.65,1,14.027129337539431,0,0,0,0,0,0,0
1,0,24.8,24.8,1,1.0,0,0,0,0,0,0,0
20,1,51.8,1023.85,0,19.765444015444015,0,0,1,1,0,0,0
3,0,30.4,82.15,0,2.702302631578948,0,0,0,0,0,0,0
13,1,19.65,244.8,0,12.458015267175574,0,0,0,0,1,1,0
40,1,56.6,2379.1,0,42.03356890459364,0,1,1,0,0,0,0
43,1,71.9,3173.35,0,44.1356050069541,0,1,1,0,1,1,0
6,1,91.0,531.0,1,5.835164835164835,0,0,0,0,0,0,0
69,1,19.75,1375.4,0,69.64050632911393,1,0,1,0,1,0,1
72,1,109.7,8129.3,0,74.10483135824977,0,1,1,0,1,0,1
59,1,19.3,1192.7,0,61.7979274611399,0,1,1,0,1,0,1
20,1,96.55,1901.65,0,19.696012428793374,0,0,0,0,0,0,0
24,1,24.1,587.4,0,24.37344398340249,1,0,1,0,1,0,1
59,1,111.35,6519.75,0,58.551863493489,0,0,0,0,0,0,0
72,1,112.25,8041.65,0,71.64053452115813,1,0,1,0,1,0,1
1,1,20.75,20.75,0,1.0,0,0,1,1,0,0,0
27,1,101.9,2681.15,0,26.311579980372915,0,1,1,0,1,1,0
14,1,80.05,1112.3,0,13.895065584009991,0,1,1,0,0,0,0
71,1,105.55,7405.5,0,70.1610611084794,0,0,0,0,1,0,1
13,1,78.3,1033.95,0,13.204980842911878,0,1,1,0,0,0,0
44,1,68.85,2958.95,0,42.97676107480029,0,1,1,0,0,0,0
33,1,79.95,2684.85,0,33.58161350844277,1,0,1,0,1,1,0
72,0,55.45,4179.2,0,75.36880072137059,0,1,1,0,1,0,1
1,1,79.9,79.9,1,1.0,0,0,0,0,0,0,0
19,1,106.6,1934.45,1,18.14681050656661,0,0,0,0,0,0,0
64,1,102.45,6654.1,0,64.94973157637872,0,1,1,0,1,1,0
2,1,46.0,84.5,1,1.8369565217391304,0,1,1,0,0,0,0
1,0,25.25,25.25,0,1.0,0,0,0,0,0,0,0
61,1,19.75,1124.2,0,56.92151898734178,0,0,1,1,1,0,1
29,1,20.0,540.05,0,27.0025,0,0,0,0,1,1,0
23,1,86.8,1975.85,0,22.763248847926267,0,0,0,0,0,0,0
57,0,58.75,3437.45,0,58.50978723404255,1,0,1,0,0,0,0
72,0,45.25,3139.8,0,69.38784530386741,0,1,1,0,1,0,1
66,0,56.6,3789.2,0,66.94699646643109,1,0,1,0,1,0,1
65,1,84.2,5324.5,0,63.23634204275534,1,0,1,0,1,0,1
8,1,80.0,624.6,0,7.8075,1,0,1,0,0,0,0
4,1,70.15,268.35,1,3.825374198146828,0,0,0,0,0,0,0
71,1,24.75,1836.9,0,74.21818181818182,1,0,1,0,1,0,1
1,1,20.2,20.2,0,1.0,0,0,0,0,1,1,0
4,1,50.05,179.35,1,3.583416583416584,0,0,1,1,0,0,0
12,1,19.35,219.35,0,11.335917312661495,1,0,1,0,1,1,0
24,0,50.6,1288.75,0,25.469367588932805,0,0,1,1,1,1,0
31,1,81.15,2545.75,0,31.37091805298829,0,0,1,1,1,1,0
1,1,55.2,55.2,1,1.0,0,0,1,1,0,0,0
30,1,89.9,2723.15,0,30.2908787541713,0,1,1,0,0,0,0
47,1,85.3,4107.25,0,48.15064478311841,0,1,1,0,1,0,1
54,1,108.0,5760.65,0,53.33935185185185,0,1,1,0,1,0,1
50,1,93.5,4747.5,0,50.77540106951872,0,1,1,0,0,0,0
1,1,84.6,84.6,1,1.0,0,0,1,1,0,0,0
72,1,20.25,1566.9,0,77.37777777777778,0,1,1,0,1,0,1
29,1,25.15,702.0,0,27.912524850894638,0,0,0,0,0,0,0
2,1,54.4,114.1,1,2.097426470588235,0,0,1,1,0,0,0
10,0,29.6,299.05,0,10.10304054054054,0,0,1,1,1,0,1
18,1,73.15,1305.95,0,17.853041695146956,0,0,0,0,0,0,0
11,1,95.0,1120.3,1,11.792631578947368,0,0,0,0,0,0,0
16,1,19.75,284.35,0,14.39746835443038,0,0,1,1,1,0,1
72,1,86.6,6350.5,0,73.33140877598153,1,0,1,0,1,0,1
72,1,109.2,7878.3,0,72.1456043956044,1,0,1,0,1,0,1
41,1,74.7,3187.65,0,42.67269076305221,0,1,1,0,1,1,0
65,1,94.4,6126.15,0,64.89565677966101,0,0,0,0,0,0,0
13,1,54.8,731.3,0,13.344890510948906,0,0,0,0,0,0,0
4,1,75.35,273.4,0,3.628400796284008,0,0,0,0,0,0,0
41,1,65.0,2531.8,0,38.95076923076923,0,0,1,1,1,1,0
15,1,74.4,1074.3,1,14.439516129032256,0,0,0,0,0,0,0
1,1,48.55,48.55,1,1.0,0,0,1,1,0,0,0
42,1,99.0,4298.45,0,43.41868686868687,0,0,0,0,1,1,0
51,1,93.5,4619.55,0,49.40695187165775,0,0,0,0,1,1,0
2,1,70.4,147.15,1,2.090198863636364,0,0,0,0,0,0,0
1,0,40.2,40.2,1,1.0,0,0,0,0,0,0,0
32,1,83.7,2633.3,0,31.461170848267624,0,1,1,0,1,1,0
10,1,19.85,193.05,0,9.72544080604534,0,0,1,1,0,0,0
67,0,59.55,4103.9,0,68.91519731318219,0,0,0,0,1,0,1
61,1,115.1,7008.15,0,60.88748913987837,0,1,1,0,1,0,1
50,1,114.35,5791.1,0,50.64363795365108,0,1,1,0,1,1,0
2,1,44.6,80.55,1,1.8060538116591929,0,1,1,0,0,0,0
29,0,45.0,1228.65,0,27.30333333333333,0,0,0,0,0,0,0
3,0,41.15,132.2,1,3.212636695018226,0,0,0,0,0,0,0
13,1,106.9,1364.3,1,12.762394761459309,0,0,0,0,0,0,0
57,1,89.85,4925.35,0,54.81747356705621,0,0,0,0,0,0,0
31,0,49.85,1520.1,0,30.493480441323968,1,0,1,0,1,0,1
45,1,113.3,5032.25,0,44.4152691968226,0,0,1,1,1,1,0
61,1,88.1,5526.75,0,62.73269012485812,0,0,1,1,1,0,1
50,1,24.9,1195.25,0,48.00200803212852,1,0,1,0,1,0,1
19,1,105.0,2007.25,0,19.116666666666667,0,0,1,1,0,0,0
59,1,19.35,1099.6,1,56.82687338501291,0,0,1,1,1,0,1
71,1,24.25,1732.95,0,71.46185567010309,0,1,1,0,1,0,1
16,1,94.45,1511.2,1,16.0,0,0,0,0,0,0,0
57,1,59.75,3450.15,0,57.743096234309625,0,0,0,0,1,0,1
1,0,24.8,24.8,1,1.0,1,0,1,0,0,0,0
20,1,107.05,2172.05,0,20.290051377860816,0,0,0,0,0,0,0
1,1,70.6,70.6,1,1.0,0,0,1,1,0,0,0
5,1,85.4,401.1,1,4.69672131147541,0,0,0,0,0,0,0
52,1,105.05,5624.85,1,53.54450261780105,0,0,0,0,0,0,0
21,1,64.95,1339.8,0,20.628175519630485,1,0,1,0,0,0,0
14,0,55.0,771.95,0,14.035454545454549,0,0,0,0,0,0,0
5,1,50.55,244.75,0,4.841740850642928,1,0,1,0,0,0,0
6,1,55.15,322.9,0,5.85494106980961,0,0,1,1,0,0,0
10,1,51.2,498.25,0,9.7314453125,0,0,0,0,0,0,0
1,1,25.4,25.4,0,1.0,0,0,1,1,0,0,0
68,1,54.45,3687.75,0,67.72727272727272,0,0,1,1,0,0,0
18,1,95.15,1779.95,1,18.706778770362583,0,0,1,1,0,0,0
22,1,76.0,1783.6,0,23.468421052631577,0,1,1,0,1,1,0
20,1,44.35,927.15,0,20.90529875986471,0,0,0,0,0,0,0
1,1,70.0,70.0,1,1.0,0,0,0,0,0,0,0
8,1,74.5,606.55,1,8.141610738255032,0,0,0,0,0,0,0
10,1,44.85,435.4,1,9.707915273132665,0,1,1,0,0,0,0
24,1,76.1,1712.7,1,22.505913272010517,0,0,0,0,0,0,0
35,1,61.2,2021.2,0,33.02614379084967,0,0,1,1,1,1,0
23,1,86.8,1940.8,0,22.359447004608292,0,0,1,1,1,1,0
6,1,89.35,567.8,0,6.354784555120314,0,0,0,0,0,0,0
12,1,19.7,220.35,0,11.185279187817258,0,0,1,1,0,0,0
1,1,20.25,20.25,0,1.0,0,0,1,1,0,0,0
71,1,76.05,5436.45,0,71.48520710059172,0,0,0,0,1,0,1
35,1,100.8,3437.5,0,34.10218253968254,0,0,0,0,0,0,0
40,1,74.55,3015.75,0,40.45271629778672,0,0,0,0,0,0,0
1,1,73.6,73.6,1,1.0,0,0,1,1,0,0,0
23,1,64.9,1509.8,0,23.26348228043143,1,0,1,0,1,1,0
4,1,95.45,396.1,1,4.149816657936093,0,0,0,0,0,0,0
4,1,90.4,356.65,0,3.945243362831858,0,0,0,0,0,0,0
68,0,60.3,4109.0,0,68.14262023217248,0,1,1,0,1,0,1
38,1,81.85,3141.7,0,38.3836285888821,0,0,1,1,0,0,0
52,1,24.8,1229.1,0,49.56048387096774,0,0,1,1,1,0,1
32,1,74.9,2303.35,1,30.75233644859813,0,0,0,0,0,0,0
29,1,75.55,2054.4,0,27.192587690271345,0,0,1,1,1,0,1
38,1,101.15,3741.85,0,36.99307958477508,0,0,0,0,0,0,0
48,1,78.75,3682.45,0,46.76126984126984,0,1,1,0,1,1,0
1,1,19.25,19.25,0,1.0,1,0,1,0,0,0,0
22,1,89.05,1886.25,0,21.18192026951151,0,0,0,0,0,0,0
43,1,115.05,4895.1,0,42.547588005215125,0,1,1,0,1,0,1
5,1,69.35,341.6,0,4.925739005046864,0,0,0,0,0,0,0
5,1,80.6,415.55,1,5.155707196029777,0,0,0,0,0,0,0
51,1,110.05,5686.4,0,51.67105860972285,0,1,1,0,1,1,0
71,1,19.9,1355.1,0,68.09547738693468,0,1,1,0,1,0,1
38,1,80.3,3058.65,1,38.09028642590287,0,1,1,0,1,1,0
24,1,93.15,2231.05,1,23.95115405260333,0,0,0,0,0,0,0
35,1,91.5,3236.35,0,35.369945355191255,0,1,1,0,0,0,0
54,1,82.45,4350.1,1,52.760460885385086,1,0,1,0,1,1,0
72,0,60.0,4264.0,0,71.06666666666666,0,0,0,0,1,0,1
1,1,44.8,44.8,0,1.0,0,0,0,0,0,0,0
9,1,48.6,422.3,0,8.689300411522634,0,0,1,1,1,1,0
69,0,60.05,4176.7,0,69.55370524562865,1,0,1,0,1,0,1
52,1,102.7,5138.1,0,50.03018500486855,0,1,1,0,0,0,0
11,1,82.9,880.05,0,10.61580217129071,0,0,0,0,0,0,0
2,1,70.35,139.05,1,1.9765458422174844,0,0,0,0,0,0,0
28,0,35.9,973.65,0,27.121169916434543,0,0,0,0,0,0,0
17,1,82.65,1470.05,0,17.786448880822746,0,1,1,0,0,0,0
35,1,19.85,739.35,0,37.24685138539043,0,0,1,1,1,0,1
8,1,19.2,161.95,0,8.434895833333334,0,0,1,1,1,1,0
46,1,94.9,4422.95,0,46.60642781875658,0,1,1,0,1,1,0
7,1,73.85,511.25,1,6.922816519972919,0,0,0,0,0,0,0
2,1,80.6,155.8,1,1.9330024813895783,0,0,1,1,0,0,0
68,1,75.8,5293.95,1,69.8410290237467,1,0,1,0,1,1,0
43,1,104.6,4759.85,1,45.50525812619504,0,0,0,0,1,0,1
68,1,88.15,6148.45,0,69.74985819625637,0,0,0,0,1,0,1
36,1,94.8,3565.65,0,37.6123417721519,0,1,1,0,0,0,0
63,1,103.4,6603.0,1,63.858800773694384,0,0,0,0,0,0,0
32,1,54.65,1830.1,0,33.48764867337603,1,0,1,0,0,0,0
71,1,85.75,6223.8,0,72.58075801749271,0,1,1,0,1,0,1
66,1,67.45,4508.65,0,66.84432913269087,1,0,1,0,0,0,0
63,1,20.5,1328.15,0,64.78780487804879,0,0,1,1,1,1,0
41,1,20.25,865.0,0,42.71604938271605,0,1,1,0,1,1,0
1,1,72.1,72.1,0,1.0,0,0,0,0,0,0,0
2,1,90.4,168.2,1,1.8606194690265483,0,0,0,0,0,0,0
70,1,19.45,1303.5,0,67.01799485861183,1,0,1,0,1,0,1
23,0,44.95,996.85,0,22.17686318131257,0,0,0,0,0,0,0
64,1,97.0,6430.9,0,66.29793814432989,1,0,1,0,1,1,0
37,1,62.8,2278.75,0,36.285828025477706,0,1,1,0,1,0,1
17,1,44.6,681.4,0,15.278026905829597,0,0,1,1,1,1,0
7,1,89.15,574.35,0,6.442512619181155,0,0,0,0,0,0,0
4,1,84.8,371.9,1,4.38561320754717,1,0,1,0,0,0,0
21,0,41.9,840.1,1,20.050119331742245,0,0,0,0,0,0,0
10,1,80.25,846.0,1,10.542056074766355,1,0,1,0,0,0,0
16,1,54.1,889.0,0,16.43253234750462,0,0,0,0,0,0,0
64,1,105.25,6823.4,0,64.83040380047505,0,0,0,0,1,0,1
27,0,30.75,805.1,1,26.182113821138213,0,1,1,0,0,0,0
42,1,97.1,4016.75,0,41.3671472708548,0,0,0,0,1,1,0
5,1,20.2,83.75,0,4.146039603960396,0,0,1,1,0,0,0
41,1,98.8,3959.15,0,40.07236842105264,1,0,1,0,1,0,1
58,1,50.3,2878.55,0,57.22763419483102,0,1,1,0,1,1,0
47,1,20.55,945.7,0,46.01946472019465,0,0,1,1,1,0,1
18,1,75.9,1373.05,0,18.09025032938076,1,0,1,0,0,0,0
5,1,96.5,492.55,1,5.104145077720207,1,0,1,0,0,0,0
23,1,59.95,1406.0,0,23.452877397831525,1,0,1,0,0,0,0
1,1,19.15,19.15,0,1.0,0,0,1,1,0,0,0
71,1,98.65,6962.85,0,70.58134820070958,0,1,1,0,1,1,0
72,1,112.6,8126.65,0,72.17273534635879,0,1,1,0,1,0,1
33,1,20.6,690.25,0,33.50728155339806,0,0,1,1,1,1,0
2,1,85.65,181.5,1,2.1190893169877407,0,0,0,0,0,0,0
24,0,35.75,830.8,0,23.23916083916084,0,0,1,1,1,0,1
56,1,99.75,5608.4,0,56.224561403508766,0,1,1,0,1,1,0
37,1,96.1,3646.8,0,37.94797086368367,0,1,1,0,0,0,0
43,1,85.1,3662.25,0,43.034665099882496,0,1,1,0,1,1,0
1,0,25.35,25.35,0,1.0,0,0,1,1,0,0,0
25,1,104.95,2566.5,1,24.45450214387804,1,0,1,0,0,0,0
