customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Tenure_Ratio,MonthlyCharges_to_TotalCharges_Ratio
31,71,1,Two year,Credit card (automatic),4.567987394860375,6766.95,0,0.06433785063183627,0.0006750437634178433
32,2,1,Month-to-month,Credit card (automatic),4.5591262474866845,181.65,0,2.2795631237433422,0.025098410390788244
33,27,1,One year,Mailed check,4.191924890560965,1874.45,0,0.15525647742818388,0.002236349270751935
34,1,1,Month-to-month,Bank transfer (automatic),3.005682604407159,20.2,0,3.005682604407159,0.14879616853500788
35,1,1,Month-to-month,Bank transfer (automatic),3.8122026701459353,45.25,0,3.8122026701459353,0.08424757282090464
36,72,1,Two year,Bank transfer (automatic),4.604169685654508,7251.7,0,0.06394680118964595,0.0006349090124597691
37,5,1,Month-to-month,Electronic check,4.244200317766478,316.9,1,0.8488400635532957,0.013392869415482735
38,46,1,Month-to-month,Credit card (automatic),4.314817884980432,3548.3,0,0.09380038880392243,0.0012160239790830628
39,34,1,Month-to-month,Electronic check,4.666735541646246,3549.25,1,0.13725692769547782,0.0013148511774730566
40,11,1,Month-to-month,Bank transfer (automatic),4.583435693842085,1105.4,1,0.41667597216746227,0.00414640464432973
41,10,1,One year,Mailed check,3.902982260775997,475.7,0,0.3902982260775997,0.008204713602640313
42,70,1,Two year,Credit card (automatic),4.237000862623624,4872.35,0,0.06052858375176606,0.0008696010883092602
43,17,1,One year,Mailed check,3.0325462466767075,418.25,0,0.17838507333392398,0.007250558868324465
44,63,1,Two year,Credit card (automatic),4.380149874661021,4861.45,0,0.06952618848668288,0.0009009965904536756
45,13,1,Month-to-month,Electronic check,4.333361462692601,981.45,0,0.33333549713020005,0.00441526462141994
46,49,1,Month-to-month,Electronic check,4.436751534363128,3906.7,0,0.09054594968088016,0.001135677562741733
47,2,1,Month-to-month,Mailed check,3.8969093676180977,97.0,0,1.9484546838090488,0.04017432337750616
48,2,1,Month-to-month,Electronic check,4.390118804571218,144.15,1,2.195059402285609,0.030455211963726796
49,52,1,Two year,Credit card (automatic),4.378896741664954,4217.8,0,0.08420955272432604,0.0010381944951550462
50,69,1,Two year,Credit card (automatic),4.161224091061645,4254.1,0,0.06030759552263254,0.0009781679065047001
51,43,1,Month-to-month,Electronic check,4.502583597212991,3838.75,0,0.10471124644681373,0.0011729296248031236
52,15,1,Month-to-month,Credit card (automatic),4.596129441335942,1426.4,1,0.30640862942239616,0.0032221883352046704
53,25,1,Month-to-month,Credit card (automatic),4.241326752570746,1752.65,0,0.16965307010282984,0.0024199507902722996
54,8,1,Month-to-month,Credit card (automatic),4.390118804571218,633.3,1,0.5487648505714022,0.006932131382553637
55,60,1,One year,Credit card (automatic),4.3154861108656375,4456.35,0,0.07192476851442729,0.0009683902994301697
56,18,1,Month-to-month,Electronic check,4.558602550171757,1752.55,1,0.2532556972317643,0.002601125531466581
57,63,1,One year,Credit card (automatic),4.6016640466588035,6311.2,0,0.07304228645490164,0.0007291266394122835
58,66,1,One year,Electronic check,4.6862892372728835,7076.35,0,0.07100438238292248,0.0006622466719810189
59,34,1,Two year,Credit card (automatic),3.2168738221975275,894.3,0,0.0946139359469861,0.003597085790224229
60,72,1,Two year,Credit card (automatic),4.677490847567717,7853.7,0,0.06496515066066273,0.0005955779884089941
61,47,1,Month-to-month,Electronic check,4.61015772749913,4707.1,0,0.09808846228721554,0.0009794050960249686
62,60,1,Month-to-month,Bank transfer (automatic),4.498697941477575,5450.7,0,0.07497829902462624,0.000825343156196007
63,72,0,Two year,Bank transfer (automatic),3.7400477406883357,2962.0,0,0.05194510750956022,0.0012626764823390735
64,18,1,One year,Credit card (automatic),3.996364153861897,957.1,0,0.22202023077010538,0.004175492794756971
65,9,1,Month-to-month,Electronic check,4.547541073151455,857.25,1,0.5052823414612728,0.00530480148515772
66,3,1,Month-to-month,Electronic check,4.321480134805848,244.1,0,1.4404933782686158,0.017703728532592576
67,47,1,One year,Electronic check,4.368181227851829,3650.35,0,0.092940026124507,0.0011966472332384098
68,31,1,Two year,Mailed check,4.37197629882038,2497.2,0,0.14103149351033484,0.001750751361052531
69,50,1,Two year,Bank transfer (automatic),3.0032042883926917,930.9,0,0.06006408576785383,0.003226129861846269
70,10,1,Month-to-month,Mailed check,4.380149874661021,887.35,0,0.4380149874661021,0.004936214430225978
71,1,1,Month-to-month,Mailed check,3.892840186011372,49.05,0,3.892840186011372,0.07936473365976295
72,52,1,One year,Electronic check,3.0155349008501706,1090.65,0,0.057991055785580205,0.002764896988814166
73,64,1,Two year,Bank transfer (automatic),4.71492104994721,7099.0,0,0.07367064140542516,0.000664166931954812
74,62,1,Two year,Bank transfer (automatic),3.188416617383492,1424.6,0,0.05142607447392729,0.002238113587942926
75,3,1,Month-to-month,Bank transfer (automatic),4.1666652238017265,177.4,0,1.3888884079339088,0.023487402614440395
76,56,1,One year,Electronic check,4.705015520957808,6139.5,0,0.084018134302818,0.0007663515792748283
77,46,1,One year,Credit card (automatic),4.019082077721554,2688.85,0,0.08737134951568595,0.0014947215641339434
78,8,1,Month-to-month,Mailed check,4.000949214622548,482.25,0,0.5001186518278185,0.008296421388538202
79,30,1,Month-to-month,Electronic check,4.314149212270796,2111.3,0,0.14380497374235987,0.0020433615366223633
80,45,1,One year,Credit card (automatic),3.254242968705492,1216.6,0,0.0723165104156776,0.002674866816295818
81,1,1,Month-to-month,Electronic check,4.373868446972418,79.35,1,4.373868446972418,0.055121215462790404
82,11,0,Month-to-month,Electronic check,3.9229629454664803,565.35,0,0.3566329950424073,0.006938998753809994
83,7,1,Month-to-month,Bank transfer (automatic),4.319486116198983,496.9,1,0.6170694451712834,0.008692868014085297
84,42,1,Month-to-month,Bank transfer (automatic),4.642465970731788,4327.5,0,0.11053490406504257,0.001072782431133862
85,49,1,Two year,Bank transfer (automatic),3.0032042883926917,973.35,0,0.06128988343658554,0.0030854310252146624
86,9,1,Month-to-month,Credit card (automatic),4.598145571051127,918.75,0,0.5109050634501252,0.005004784295021635
87,35,1,One year,Bank transfer (automatic),4.12955081795672,2215.45,0,0.11798716622733486,0.001863978342078007
88,48,1,Two year,Bank transfer (automatic),3.027715319407042,1057.0,0,0.0630774024876467,0.0028644421186443158
89,46,1,Two year,Mailed check,2.9932291433358724,927.1,0,0.06507019876817113,0.0032285936180949976
90,29,0,Month-to-month,Mailed check,3.518980417318539,1009.25,0,0.12134415232132892,0.0034867281816383837
91,30,1,Month-to-month,Bank transfer (automatic),4.4073288175361,2570.2,0,0.14691096058453665,0.001714780490831881
92,1,1,Month-to-month,Electronic check,4.3134800921387715,74.7,0,4.3134800921387715,0.0577440440714695
93,66,1,Two year,Mailed check,4.430816798843313,5714.25,0,0.06713358786126232,0.0007753977860337426
94,65,1,Month-to-month,Credit card (automatic),4.709980550340436,7107.0,0,0.07246123923600671,0.0006627241522921678
95,72,1,Two year,Bank transfer (automatic),4.6141299273595635,7459.05,0,0.06408513787999394,0.0006185948515373356
96,12,1,Month-to-month,Electronic check,4.3688147407016515,927.35,1,0.364067895058471,0.004711074287703296
97,71,1,One year,Credit card (automatic),4.202451303547952,4748.7,0,0.05918945497954862,0.0008849687922058568
98,5,1,Month-to-month,Mailed check,3.0469005601283903,113.85,1,0.6093801120256781,0.026762411595330615
99,52,1,Two year,Bank transfer (automatic),3.044522437723423,1107.2,0,0.05854850841775813,0.002749749311527658
100,25,1,Month-to-month,Electronic check,4.590056548178043,2514.5,1,0.18360226192712173,0.001825435095716064
101,1,1,Month-to-month,Mailed check,3.005682604407159,20.2,0,3.005682604407159,0.14879616853500788
102,1,1,Month-to-month,Electronic check,2.9678470700644555,19.45,0,2.9678470700644555,0.1525885383066558
103,38,1,One year,Bank transfer (automatic),4.553876891600541,3605.6,0,0.11983886556843529,0.0012630011347904762
104,66,0,One year,Bank transfer (automatic),3.8188106237059674,3027.25,0,0.05786076702584799,0.0012614784453566662
105,68,1,Two year,Bank transfer (automatic),4.700480365792417,7611.85,1,0.06912471126165319,0.0006175214127698807
106,5,0,Month-to-month,Mailed check,3.190476350346503,100.2,0,0.6380952700693006,0.03184108134078346
107,72,1,One year,Electronic check,4.645832167706981,7303.05,0,0.06452544677370807,0.0006361495769174497
108,32,0,One year,Mailed check,3.4061849231731944,927.65,0,0.10644327884916233,0.0036718427458343065
109,43,1,One year,Mailed check,4.547011271814559,3921.3,0,0.10574444818173392,0.0011595673046730826
110,72,1,Two year,Credit card (automatic),2.9652730660692823,1363.25,0,0.04118434813985114,0.0021751498742485107
111,55,1,Month-to-month,Electronic check,4.572130331909891,5238.9,1,0.08312964239836165,0.0008727271625550958
112,52,1,One year,Credit card (automatic),4.059580569785761,3042.25,0,0.07806885711126464,0.0013344007132174414
113,43,1,Month-to-month,Electronic check,4.517976974285714,3954.1,0,0.10506923196013289,0.0011426056433286246
114,37,1,Month-to-month,Electronic check,4.33729074083249,2868.15,1,0.11722407407655377,0.0015122259089770374
115,64,0,Two year,Electronic check,4.000033882750859,3423.5,0,0.06250052941798218,0.0011684048145905825
116,3,1,Month-to-month,Electronic check,4.498141613229568,248.4,0,1.4993805377431892,0.018108460600763154
117,36,0,Two year,Bank transfer (automatic),3.435598808379488,1126.35,0,0.09543330023276356,0.003050205361015216
118,10,1,Month-to-month,Electronic check,4.6076670661866785,1064.65,1,0.46076670661866787,0.0043278702542494515
119,41,1,Two year,Mailed check,3.027715319407042,835.15,0,0.07384671510748883,0.0036253551091505022
120,27,1,Month-to-month,Credit card (automatic),4.44500143383527,2151.6,0,0.16462968273463965,0.002065905109609254
121,56,1,One year,Credit card (automatic),4.603168183317418,5515.45,0,0.0821994318449539,0.0008345952158604318
122,6,1,Month-to-month,Mailed check,3.0301337002713233,112.75,0,0.5050222833785539,0.026874800002406416
123,3,1,Month-to-month,Electronic check,4.309455941839047,229.55,1,1.436485313946349,0.01877349571700739
124,7,1,Month-to-month,Mailed check,3.9259259105971376,350.35,0,0.5608465586567339,0.011205725447686991
125,4,1,Month-to-month,Mailed check,3.0373539482448106,62.9,0,0.7593384870612027,0.04828861602932926
126,33,1,Two year,Electronic check,4.4880744141118445,3027.65,0,0.13600225497308618,0.001482362364907385
127,27,1,Month-to-month,Electronic check,4.357349646961441,2135.5,1,0.16138332025783114,0.002040435329881265
128,72,1,Two year,Bank transfer (automatic),3.159125820462427,1723.95,0,0.04387674750642259,0.001832492717574423
129,1,1,Month-to-month,Mailed check,2.9831534913471307,19.75,0,2.9831534913471307,0.15104574639732307
130,71,0,One year,Electronic check,4.033355290595671,3985.35,0,0.05680782099430523,0.00101204543906951
131,13,1,Month-to-month,Electronic check,4.453765731828859,1215.65,0,0.34259736398683527,0.003663690808891423
132,25,0,Month-to-month,Credit card (automatic),4.070734696582967,1502.65,1,0.1628293878633187,0.002709037165396444
133,67,1,Two year,Bank transfer (automatic),3.9229629454664803,3260.1,0,0.058551685753231046,0.001203325954868403
134,1,0,Month-to-month,Electronic check,3.5681232529781366,35.45,1,3.5681232529781366,0.10065227794014489
135,2,1,Month-to-month,Electronic check,3.7921127087555884,81.25,1,1.8960563543777942,0.04667215641545339
136,43,1,Two year,Credit card (automatic),3.246490991901174,1188.2,0,0.07549979050932963,0.002732276545952848
137,23,1,Month-to-month,Bank transfer (automatic),4.31748811353631,1778.5,0,0.1877168745015787,0.0024276008510184482
138,64,1,Two year,Mailed check,3.005682604407159,1277.75,0,0.04696379069386186,0.002352324480068213
139,57,1,Two year,Mailed check,2.975529566236472,1170.55,0,0.05220227309186792,0.002541992709612124
140,1,1,Month-to-month,Mailed check,4.254903238344689,70.45,1,4.254903238344689,0.06039607151660311
141,72,1,Two year,Credit card (automatic),4.4779048349422155,6425.65,0,0.062193122707530774,0.0006968796674176489
142,8,1,Month-to-month,Electronic check,4.264790324535862,563.65,1,0.5330987905669827,0.007566380421424398
143,61,1,Two year,Bank transfer (automatic),4.61561544384963,5971.25,0,0.0756658269483546,0.0007729730699350437
144,64,1,One year,Credit card (automatic),4.4343818650078095,5289.05,0,0.06928721664074702,0.0008384080061651543
145,71,1,Two year,Bank transfer (automatic),3.175968323856924,1756.2,0,0.04473194822333696,0.001808432025883683
146,65,1,Two year,Credit card (automatic),4.59562477314456,6416.7,0,0.07070191958683938,0.0007161975428404881
147,3,1,One year,Mailed check,2.975529566236472,61.35,0,0.9918431887454906,0.04850088942520736
148,1,1,Month-to-month,Electronic check,3.8210036070409776,45.65,1,3.8210036070409776,0.08370216006661507
149,30,1,One year,Credit card (automatic),4.1666652238017265,1929.95,0,0.1388888407933909,0.0021589498296856013
150,15,1,Month-to-month,Mailed check,4.241326752570746,1071.4,0,0.2827551168380497,0.0039586772004580415
151,8,1,Month-to-month,Electronic check,4.227563406008323,564.35,0,0.5284454257510404,0.007491031108369492
152,7,1,Month-to-month,Mailed check,4.553876891600541,655.5,1,0.6505538416572201,0.006947180612662915
153,70,1,One year,Credit card (automatic),4.683519152399068,7930.55,0,0.06690741646284383,0.0005905667516627557
154,62,1,Two year,Electronic check,4.455509411433685,5215.25,0,0.07186305502312394,0.0008543232656984199
155,6,1,Month-to-month,Mailed check,2.9806186357439426,113.5,0,0.4967697726239904,0.026260957143118435
156,14,1,Month-to-month,Bank transfer (automatic),4.393213824064446,1152.8,0,0.31380098743317475,0.0038109072033869246
157,22,1,Month-to-month,Bank transfer (automatic),4.432600920636815,1821.95,0,0.2014818600289461,0.0024328883452547074
158,22,1,One year,Mailed check,3.0032042883926917,419.9,0,0.13650928583603145,0.007152189303150016
159,16,1,Two year,Mailed check,4.162781723775329,1024.0,0,0.2601738577359581,0.004065216527124345
160,10,1,Two year,Bank transfer (automatic),3.246490991901174,251.6,0,0.3246490991901174,0.012903382320751885
161,13,1,Month-to-month,Electronic check,4.02535169073515,764.55,0,0.3096424377488577,0.00526499469064829
162,20,1,Month-to-month,Electronic check,4.411585436915426,1592.35,1,0.2205792718457713,0.0027704872904295076
163,2,1,Month-to-month,Electronic check,4.244200317766478,135.2,0,2.122100158883239,0.0313920141846633
164,53,1,Two year,Bank transfer (automatic),4.302712827954156,3958.25,0,0.0811832609047954,0.00108702402019937
165,11,1,One year,Mailed check,3.0252910757955354,233.9,0,0.27502646143595777,0.012934121743461032
166,69,1,Two year,Mailed check,2.990719731730447,1363.45,0,0.04334376422797749,0.002193494247482817
167,4,1,Month-to-month,Bank transfer (automatic),4.2612704335380815,273.0,1,1.0653176083845204,0.0156090492070992
168,72,1,Two year,Bank transfer (automatic),4.489198009735671,6254.45,0,0.06234997235743987,0.0007177606359848862
169,58,0,Month-to-month,Electronic check,3.8133070324889884,2651.2,1,0.06574667297394808,0.0014383324654831731
170,16,1,Month-to-month,Electronic check,3.0155349008501706,321.4,0,0.18847093130313566,0.009382498135812604
171,43,1,One year,Bank transfer (automatic),4.433788569232471,3539.25,0,0.10311136207517374,0.0012527480594002884
172,2,1,Month-to-month,Electronic check,4.648229675448539,242.8,1,2.3241148377242693,0.019144273786855594
173,14,1,Two year,Mailed check,4.406109305189839,1181.75,0,0.3147220932278456,0.0037284614387051735
174,53,1,One year,Bank transfer (automatic),4.552296696381023,5000.2,1,0.08589239049775516,0.0009104229223593103
175,32,1,One year,Bank transfer (automatic),3.022860940942244,654.55,0,0.09446440440444512,0.00461822769985829
176,34,1,Month-to-month,Electronic check,3.2068032436339315,780.2,0,0.09431774245982151,0.0041102323040681
177,15,1,Month-to-month,Mailed check,4.310127759130018,1145.7,1,0.28734185060866785,0.0037620038047743894
178,7,1,Month-to-month,Bank transfer (automatic),4.336636932375072,503.6,1,0.6195195617678674,0.008611272701300778
179,15,1,Month-to-month,Bank transfer (automatic),4.6572881402501976,1559.25,0,0.3104858760166798,0.002986877114157574
180,61,1,One year,Credit card (automatic),3.022860940942244,1252.0,0,0.0495550973924958,0.0024144256716791086
181,1,0,Month-to-month,Bank transfer (automatic),3.3995293245614584,29.95,1,3.3995293245614584,0.11350682218903033
182,1,1,Month-to-month,Mailed check,3.8133070324889884,45.3,0,3.8133070324889884,0.0841789631896024
183,8,1,Month-to-month,Bank transfer (automatic),4.436751534363128,662.65,1,0.554593941795391,0.006695467493191169
184,33,1,One year,Credit card (automatic),4.314149212270796,2453.3,0,0.13073179431123624,0.0017585086260427977
185,13,1,Month-to-month,Electronic check,4.37260741275739,1111.65,1,0.3363544163659531,0.00393343895358916
186,1,0,Month-to-month,Electronic check,3.2108436531709366,24.8,1,3.2108436531709366,0.12946950214398936
187,20,1,Month-to-month,Mailed check,3.9473901492654373,1023.85,0,0.19736950746327186,0.0038554379540610803
188,3,0,Month-to-month,Electronic check,3.414442608412176,82.15,0,1.138147536137392,0.04156351318821882
189,13,1,One year,Electronic check,2.9780773383152703,244.8,0,0.22908287217809772,0.012165348604229045
190,40,1,Month-to-month,Credit card (automatic),4.036008985209137,2379.1,0,0.10090022463022844,0.0016964436069140168
191,43,1,One year,Credit card (automatic),4.275276264727001,3173.35,0,0.09942502941225584,0.0013472438478979631
192,6,1,Month-to-month,Electronic check,4.51085950651685,531.0,1,0.7518099177528083,0.008495027319240771
193,69,1,Two year,Bank transfer (automatic),2.9831534913471307,1375.4,0,0.04323410857024827,0.002168935212554261
194,72,1,Two year,Credit card (automatic),4.697749367281185,8129.3,0,0.06524651899001646,0.000577878706319263
195,59,1,Two year,Credit card (automatic),2.9601050959108397,1192.7,0,0.05017127281204813,0.0024818521806915734
196,20,1,Month-to-month,Electronic check,4.570061008874523,1901.65,0,0.22850305044372615,0.002403208271172152
197,24,1,Two year,Bank transfer (automatic),3.1822118404966093,587.4,0,0.13259216002069205,0.005417452911979247
198,59,1,Month-to-month,Electronic check,4.712678393703377,6519.75,0,0.07987590497802334,0.0007228311505354311
199,72,1,Two year,Bank transfer (automatic),4.720728526622364,8041.65,0,0.06556567398086616,0.0005870348158179433
200,1,1,Month-to-month,Mailed check,3.0325462466767075,20.75,0,3.0325462466767075,0.146146807068757
201,27,1,One year,Credit card (automatic),4.623991940228679,2681.15,0,0.17125896074921035,0.0017246300804612494
202,14,1,Month-to-month,Credit card (automatic),4.382651439442724,1112.3,0,0.313046531388766,0.00394017031326326
203,71,1,Two year,Electronic check,4.65918477429433,7405.5,0,0.06562232076470886,0.0006291519511571575
204,13,1,Month-to-month,Credit card (automatic),4.360547602996758,1033.95,0,0.3354267386920583,0.004217367960729975
205,44,1,Month-to-month,Credit card (automatic),4.231930225174664,2958.95,0,0.09618023239033327,0.0014302134964006368
206,33,1,One year,Bank transfer (automatic),4.381401439279963,2684.85,0,0.1327697405842413,0.001631898035003804
207,72,0,Two year,Credit card (automatic),4.015481713796376,4179.2,0,0.055770579358283,0.000960825448362456
208,1,1,Month-to-month,Electronic check,4.380775852772229,79.9,1,4.380775852772229,0.05482823345146719
209,19,1,Month-to-month,Electronic check,4.669083511731744,1934.45,1,0.24574123745956547,0.0024136491052918108
210,64,1,One year,Credit card (automatic),4.629374874684909,6654.1,0,0.0723339824169517,0.0006957176589899323
211,2,1,Month-to-month,Credit card (automatic),3.828641396489095,84.5,1,1.9143206982445475,0.0453093656389242
212,1,0,Month-to-month,Electronic check,3.228826155721369,25.25,0,3.228826155721369,0.1278743031968859
213,61,1,Two year,Mailed check,2.9831534913471307,1124.2,0,0.0489041555958546,0.002653578981806734
214,29,1,One year,Electronic check,2.995732273553991,540.05,0,0.1033011128811721,0.005547138734476421
215,23,1,Month-to-month,Electronic check,4.463606621666305,1975.85,0,0.19406985311592628,0.0022590817226339575
216,57,0,Month-to-month,Bank transfer (automatic),4.073291153024268,3437.45,0,0.07146124829867137,0.001184974662329421
217,72,0,Two year,Credit card (automatic),3.8122026701459353,3139.8,0,0.052947259307582435,0.0012141546181750223
218,66,0,Two year,Bank transfer (automatic),4.036008985209137,3789.2,0,0.061151651291047535,0.0010651348530584656
219,65,1,Two year,Bank transfer (automatic),4.4331949212482815,5324.5,0,0.0682029987884351,0.0008326030465298679
220,8,1,Month-to-month,Bank transfer (automatic),4.382026634673881,624.6,0,0.5477533293342352,0.007015732684396223
221,4,1,Month-to-month,Electronic check,4.25063580654847,268.35,1,1.0626589516371174,0.015839894937762136
222,71,1,Two year,Bank transfer (automatic),3.2088254890146994,1836.9,0,0.04519472519739013,0.001746869992386466
223,1,1,One year,Electronic check,3.005682604407159,20.2,0,3.005682604407159,0.14879616853500788
224,4,1,Month-to-month,Mailed check,3.9130225057612296,179.35,1,0.9782556264403074,0.02181780042242113
225,12,1,One year,Bank transfer (automatic),2.962692419475791,219.35,0,0.24689103495631592,0.013506689854004062
226,24,0,One year,Mailed check,3.92395157629342,1288.75,0,0.16349798234555915,0.0030447732890734585
227,31,1,One year,Mailed check,4.396299293960601,2545.75,0,0.14181610625679358,0.0017269171340314644
228,1,1,Month-to-month,Mailed check,4.01096295328305,55.2,1,4.01096295328305,0.07266237234208424
229,30,1,Month-to-month,Credit card (automatic),4.498697941477575,2723.15,0,0.1499565980492525,0.0016520198819299616
230,47,1,Two year,Credit card (automatic),4.446174454497633,4107.25,0,0.09459945647867304,0.0010825185840885345
231,54,1,Two year,Credit card (automatic),4.68213122712422,5760.65,0,0.0867061338356337,0.0008127782849373283
232,50,1,Month-to-month,Credit card (automatic),4.537961436294641,4747.5,0,0.09075922872589283,0.0009558633883716991
233,1,1,Month-to-month,Mailed check,4.437934266612178,84.6,1,4.437934266612178,0.05245785185120778
234,72,1,Two year,Credit card (automatic),3.0081547935525483,1566.9,0,0.041779927688229836,0.001919812874818143
235,29,1,Month-to-month,Electronic check,3.224857896545748,702.0,0,0.111201996432612,0.004593814667444085
236,2,1,Month-to-month,Mailed check,3.996364153861897,114.1,1,1.9981820769309484,0.03502510213726465
237,10,0,Two year,Mailed check,3.3877743613300146,299.05,0,0.3387774361330015,0.011328454644139825
238,18,1,Month-to-month,Electronic check,4.292512127466133,1305.95,0,0.23847289597034071,0.0032868885695977127
239,11,1,Month-to-month,Electronic check,4.553876891600541,1120.3,1,0.4139888083273219,0.004064872705168742
240,16,1,Two year,Mailed check,2.9831534913471307,284.35,0,0.18644709320919567,0.010491132376814245
241,72,1,Two year,Bank transfer (automatic),4.461299815568389,6350.5,0,0.06196249743844985,0.0007025115842167371
242,72,1,Two year,Bank transfer (automatic),4.693181063310805,7878.3,0,0.06518307032376118,0.0005957098693005858
243,41,1,One year,Credit card (automatic),4.3134800921387715,3187.65,0,0.10520683151557979,0.0013531849770642233
244,65,1,Month-to-month,Electronic check,4.547541073151455,6126.15,0,0.06996217035617623,0.0007423163117376256
245,13,1,Month-to-month,Electronic check,4.00369019395397,731.3,0,0.30797616876569,0.005474757546771462
246,4,1,Month-to-month,Electronic check,4.3221439250725044,273.4,0,1.0805359812681261,0.015808865856154004
247,41,1,One year,Mailed check,4.174387269895637,2531.8,0,0.10181432365599113,0.0016487823958826276
248,15,1,Month-to-month,Electronic check,4.309455941839047,1074.3,1,0.28729706278926975,0.0040114083047929315
249,1,1,Month-to-month,Mailed check,3.882594194737334,48.55,1,3.882594194737334,0.07997104417584622
250,42,1,One year,Electronic check,4.59511985013459,4298.45,0,0.109407615479395,0.0010690178669368238
251,51,1,One year,Electronic check,4.537961436294641,4619.55,0,0.08897963600577728,0.0009823384174420975
252,2,1,Month-to-month,Electronic check,4.254193263163997,147.15,1,2.1270966315819986,0.02891058962394833
253,1,0,Month-to-month,Electronic check,3.6938669956249757,40.2,1,3.6938669956249757,0.09188723869713869
254,32,1,One year,Credit card (automatic),4.4272389774954295,2633.3,0,0.13835121804673217,0.0016812512731156455
255,10,1,Month-to-month,Mailed check,2.9882040071331994,193.05,0,0.29882040071331994,0.015478912235862207
256,67,0,Two year,Electronic check,4.0868162958013095,4103.9,0,0.0609972581462882,0.0009958372026124685
257,61,1,Two year,Credit card (automatic),4.745801315727837,7008.15,0,0.0778000215693088,0.0006771831818279913
258,50,1,One year,Credit card (automatic),4.73926392046879,5791.1,0,0.09478527840937581,0.000818370244076046
259,2,1,Month-to-month,Credit card (automatic),3.7977338590260183,80.55,1,1.8988669295130092,0.04714753394197416
260,29,0,Month-to-month,Electronic check,3.8066624897703196,1228.65,0,0.13126422378518343,0.003098248068831904
261,3,0,Month-to-month,Electronic check,3.717223927123079,132.2,1,1.2390746423743597,0.028118184017572462
262,13,1,Month-to-month,Electronic check,4.671893818030999,1364.3,1,0.3593764475408461,0.003424388930609836
263,57,1,Month-to-month,Electronic check,4.498141613229568,4925.35,0,0.07891476514437838,0.0009132633443774691
