tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_to_MonthlyCharges_ratio,customerID
49,Yes,Month-to-month,Electronic check,84.5,3906.7,No,46.233136094674556,46
2,Yes,Month-to-month,Mailed check,49.25,97.0,No,1.9695431472081217,47
2,Yes,Month-to-month,Electronic check,80.65,144.15,Yes,1.78735275883447,48
52,Yes,Two year,Credit card (automatic),79.75,4217.8,No,52.88777429467085,49
69,Yes,Two year,Credit card (automatic),64.15,4254.1,No,66.3148869836321,50
43,Yes,Month-to-month,Electronic check,90.25,3838.75,No,42.53462603878116,51
15,Yes,Month-to-month,Credit card (automatic),99.1,1426.4,Yes,14.39354187689203,52
25,Yes,Month-to-month,Credit card (automatic),69.5,1752.65,No,25.21798561151079,53
8,Yes,Month-to-month,Credit card (automatic),80.65,633.3,Yes,7.852448853068815,54
60,Yes,One year,Credit card (automatic),74.85,4456.35,No,59.537074148296604,55
18,Yes,Month-to-month,Electronic check,95.45,1752.55,Yes,18.36092194866422,56
63,Yes,One year,Credit card (automatic),99.65,6311.2,No,63.333667837431,57
66,Yes,One year,Electronic check,108.45,7076.35,No,65.2498847395113,58
34,Yes,Two year,Credit card (automatic),24.95,894.3,No,35.8436873747495,59
72,Yes,Two year,Credit card (automatic),107.5,7853.7,No,73.05767441860465,60
47,Yes,Month-to-month,Electronic check,100.5,4707.1,No,46.83681592039802,61
60,Yes,Month-to-month,Bank transfer (automatic),89.9,5450.7,No,60.63070077864293,62
72,No,Two year,Bank transfer (automatic),42.1,2962.0,No,70.3562945368171,63
18,Yes,One year,Credit card (automatic),54.4,957.1,No,17.59375,64
9,Yes,Month-to-month,Electronic check,94.4,857.25,Yes,9.08103813559322,65
3,Yes,Month-to-month,Electronic check,75.3,244.1,No,3.2416998671978754,66
47,Yes,One year,Electronic check,78.9,3650.35,No,46.265525982256015,67
31,Yes,Two year,Mailed check,79.2,2497.2,No,31.530303030303028,68
50,Yes,Two year,Bank transfer (automatic),20.15,930.9,No,46.198511166253105,69
10,Yes,Month-to-month,Mailed check,79.85,887.35,No,11.112711333750784,70
1,Yes,Month-to-month,Mailed check,49.05,49.05,No,1.0,71
52,Yes,One year,Electronic check,20.4,1090.65,No,53.46323529411765,72
64,Yes,Two year,Bank transfer (automatic),111.6,7099.0,No,63.611111111111114,73
62,Yes,Two year,Bank transfer (automatic),24.25,1424.6,No,58.74639175257732,74
3,Yes,Month-to-month,Bank transfer (automatic),64.5,177.4,No,2.750387596899225,75
56,Yes,One year,Electronic check,110.5,6139.5,No,55.56108597285068,76
46,Yes,One year,Credit card (automatic),55.65,2688.85,No,48.31716082659479,77
8,Yes,Month-to-month,Mailed check,54.65,482.25,No,8.82433668801464,78
30,Yes,Month-to-month,Electronic check,74.75,2111.3,No,28.24481605351171,79
45,Yes,One year,Credit card (automatic),25.9,1216.6,No,46.972972972972975,80
1,Yes,Month-to-month,Electronic check,79.35,79.35,Yes,1.0,81
11,No,Month-to-month,Electronic check,50.55,565.35,No,11.183976261127597,82
7,Yes,Month-to-month,Bank transfer (automatic),75.15,496.9,Yes,6.612109115103126,83
42,Yes,Month-to-month,Bank transfer (automatic),103.8,4327.5,No,41.690751445086704,84
49,Yes,Two year,Bank transfer (automatic),20.15,973.35,No,48.30521091811415,85
9,Yes,Month-to-month,Credit card (automatic),99.3,918.75,No,9.25226586102719,86
35,Yes,One year,Bank transfer (automatic),62.15,2215.45,No,35.646822204344325,87
48,Yes,Two year,Bank transfer (automatic),20.65,1057.0,No,51.186440677966104,88
46,Yes,Two year,Mailed check,19.95,927.1,No,46.471177944862156,89
29,No,Month-to-month,Mailed check,33.75,1009.25,No,29.903703703703705,90
30,Yes,Month-to-month,Bank transfer (automatic),82.05,2570.2,No,31.32480195003047,91
1,Yes,Month-to-month,Electronic check,74.7,74.7,No,1.0,92
66,Yes,Two year,Mailed check,84.0,5714.25,No,68.02678571428571,93
65,Yes,Month-to-month,Credit card (automatic),111.05,7107.0,No,63.9981990094552,94
72,Yes,Two year,Bank transfer (automatic),100.9,7459.05,No,73.92517343904856,95
12,Yes,Month-to-month,Electronic check,78.95,927.35,Yes,11.746041798606713,96
71,Yes,One year,Credit card (automatic),66.85,4748.7,No,71.03515332834705,97
5,Yes,Month-to-month,Mailed check,21.05,113.85,Yes,5.40855106888361,98
52,Yes,Two year,Bank transfer (automatic),21.0,1107.2,No,52.72380952380953,99
25,Yes,Month-to-month,Electronic check,98.5,2514.5,Yes,25.527918781725887,100
1,Yes,Month-to-month,Mailed check,20.2,20.2,No,1.0,101
1,Yes,Month-to-month,Electronic check,19.45,19.45,No,1.0,102
38,Yes,One year,Bank transfer (automatic),95.0,3605.6,No,37.95368421052631,103
66,No,One year,Bank transfer (automatic),45.55,3027.25,No,66.45993413830955,104
68,Yes,Two year,Bank transfer (automatic),110.0,7611.85,Yes,69.19863636363637,105
5,No,Month-to-month,Mailed check,24.3,100.2,No,4.1234567901234565,106
72,Yes,One year,Electronic check,104.15,7303.05,No,70.12049927988478,107
32,No,One year,Mailed check,30.15,927.65,No,30.76782752902156,108
43,Yes,One year,Mailed check,94.35,3921.3,No,41.56120826709063,109
72,Yes,Two year,Credit card (automatic),19.4,1363.25,No,70.27061855670104,110
55,Yes,Month-to-month,Electronic check,96.75,5238.9,Yes,54.14883720930232,111
52,Yes,One year,Credit card (automatic),57.95,3042.25,No,52.49784296807592,112
43,Yes,Month-to-month,Electronic check,91.65,3954.1,No,43.14348063284233,113
37,Yes,Month-to-month,Electronic check,76.5,2868.15,Yes,37.4921568627451,114
64,No,Two year,Electronic check,54.6,3423.5,No,62.7014652014652,115
3,Yes,Month-to-month,Electronic check,89.85,248.4,No,2.7646076794657763,116
36,No,Two year,Bank transfer (automatic),31.05,1126.35,No,36.27536231884058,117
10,Yes,Month-to-month,Electronic check,100.25,1064.65,Yes,10.61995012468828,118
41,Yes,Two year,Mailed check,20.65,835.15,No,40.44309927360775,119
27,Yes,Month-to-month,Credit card (automatic),85.2,2151.6,No,25.25352112676056,120
56,Yes,One year,Credit card (automatic),99.8,5515.45,No,55.26503006012024,121
6,Yes,Month-to-month,Mailed check,20.7,112.75,No,5.446859903381642,122
3,Yes,Month-to-month,Electronic check,74.4,229.55,Yes,3.0853494623655915,123
7,Yes,Month-to-month,Mailed check,50.7,350.35,No,6.910256410256411,124
4,Yes,Month-to-month,Mailed check,20.85,62.9,No,3.016786570743405,125
33,Yes,Two year,Electronic check,88.95,3027.65,No,34.03766160764474,126
27,Yes,Month-to-month,Electronic check,78.05,2135.5,Yes,27.360666239590007,127
72,Yes,Two year,Bank transfer (automatic),23.55,1723.95,No,73.20382165605095,128
1,Yes,Month-to-month,Mailed check,19.75,19.75,No,1.0,129
71,No,One year,Electronic check,56.45,3985.35,No,70.59964570416297,130
13,Yes,Month-to-month,Electronic check,85.95,1215.65,No,14.14368819080861,131
25,No,Month-to-month,Credit card (automatic),58.6,1502.65,Yes,25.642491467576793,132
67,Yes,Two year,Bank transfer (automatic),50.55,3260.1,No,64.49258160237389,133
1,No,Month-to-month,Electronic check,35.45,35.45,Yes,1.0,134
2,Yes,Month-to-month,Electronic check,44.35,81.25,Yes,1.8320180383314544,135
43,Yes,Two year,Credit card (automatic),25.7,1188.2,No,46.23346303501946,136
23,Yes,Month-to-month,Bank transfer (automatic),75.0,1778.5,No,23.713333333333335,137
64,Yes,Two year,Mailed check,20.2,1277.75,No,63.254950495049506,138
57,Yes,Two year,Mailed check,19.6,1170.55,No,59.721938775510196,139
1,Yes,Month-to-month,Mailed check,70.45,70.45,Yes,1.0,140
72,Yes,Two year,Credit card (automatic),88.05,6425.65,No,72.97728563316298,141
8,Yes,Month-to-month,Electronic check,71.15,563.65,Yes,7.921995783555867,142
61,Yes,Two year,Bank transfer (automatic),101.05,5971.25,No,59.09203364670955,143
64,Yes,One year,Credit card (automatic),84.3,5289.05,No,62.74080664294188,144
71,Yes,Two year,Bank transfer (automatic),23.95,1756.2,No,73.32776617954072,145
65,Yes,Two year,Credit card (automatic),99.05,6416.7,No,64.78243311458858,146
3,Yes,One year,Mailed check,19.6,61.35,No,3.1301020408163263,147
1,Yes,Month-to-month,Electronic check,45.65,45.65,Yes,1.0,148
30,Yes,One year,Credit card (automatic),64.5,1929.95,No,29.92170542635659,149
15,Yes,Month-to-month,Mailed check,69.5,1071.4,No,15.415827338129498,150
8,Yes,Month-to-month,Electronic check,68.55,564.35,No,8.232676878191102,151
7,Yes,Month-to-month,Mailed check,95.0,655.5,Yes,6.9,152
70,Yes,One year,Credit card (automatic),108.15,7930.55,No,73.3291724456773,153
62,Yes,Two year,Electronic check,86.1,5215.25,No,60.57200929152149,154
6,Yes,Month-to-month,Mailed check,19.7,113.5,No,5.761421319796955,155
14,Yes,Month-to-month,Bank transfer (automatic),80.9,1152.8,No,14.249690976514213,156
22,Yes,Month-to-month,Bank transfer (automatic),84.15,1821.95,No,21.651218062982768,157
22,Yes,One year,Mailed check,20.15,419.9,No,20.838709677419356,158
16,Yes,Two year,Mailed check,64.25,1024.0,No,15.937743190661479,159
10,Yes,Two year,Bank transfer (automatic),25.7,251.6,No,9.789883268482491,160
13,Yes,Month-to-month,Electronic check,56.0,764.55,No,13.65267857142857,161
20,Yes,Month-to-month,Electronic check,82.4,1592.35,Yes,19.324635922330096,162
2,Yes,Month-to-month,Electronic check,69.7,135.2,No,1.9397417503586798,163
53,Yes,Two year,Bank transfer (automatic),73.9,3958.25,No,53.56224627875507,164
11,Yes,One year,Mailed check,20.6,233.9,No,11.354368932038835,165
69,Yes,Two year,Mailed check,19.9,1363.45,No,68.51507537688443,166
4,Yes,Month-to-month,Bank transfer (automatic),70.9,273.0,Yes,3.85049365303244,167
72,Yes,Two year,Bank transfer (automatic),89.05,6254.45,No,70.23526108927568,168
58,No,Month-to-month,Electronic check,45.3,2651.2,Yes,58.52538631346578,169
16,Yes,Month-to-month,Electronic check,20.4,321.4,No,15.754901960784315,170
43,Yes,One year,Bank transfer (automatic),84.25,3539.25,No,42.00890207715133,171
2,Yes,Month-to-month,Electronic check,104.4,242.8,Yes,2.3256704980842913,172
14,Yes,Two year,Mailed check,81.95,1181.75,No,14.420378279438681,173
53,Yes,One year,Bank transfer (automatic),94.85,5000.2,Yes,52.71692145492884,174
32,Yes,One year,Bank transfer (automatic),20.55,654.55,No,31.85158150851581,175
34,Yes,Month-to-month,Electronic check,24.7,780.2,No,31.587044534412957,176
15,Yes,Month-to-month,Mailed check,74.45,1145.7,Yes,15.38885157824043,177
7,Yes,Month-to-month,Bank transfer (automatic),76.45,503.6,Yes,6.587311968606933,178
15,Yes,Month-to-month,Bank transfer (automatic),105.35,1559.25,No,14.800664451827243,179
61,Yes,One year,Credit card (automatic),20.55,1252.0,No,60.92457420924574,180
1,No,Month-to-month,Bank transfer (automatic),29.95,29.95,Yes,1.0,181
1,Yes,Month-to-month,Mailed check,45.3,45.3,No,1.0,182
8,Yes,Month-to-month,Bank transfer (automatic),84.5,662.65,Yes,7.842011834319527,183
33,Yes,One year,Credit card (automatic),74.75,2453.3,No,32.82006688963211,184
13,Yes,Month-to-month,Electronic check,79.25,1111.65,Yes,14.027129337539433,185
1,No,Month-to-month,Electronic check,24.8,24.8,Yes,1.0,186
20,Yes,Month-to-month,Mailed check,51.8,1023.85,No,19.765444015444018,187
3,No,Month-to-month,Electronic check,30.4,82.15,No,2.702302631578948,188
13,Yes,One year,Electronic check,19.65,244.8,No,12.458015267175574,189
40,Yes,Month-to-month,Credit card (automatic),56.6,2379.1,No,42.033568904593636,190
43,Yes,One year,Credit card (automatic),71.9,3173.35,No,44.1356050069541,191
6,Yes,Month-to-month,Electronic check,91.0,531.0,Yes,5.835164835164835,192
69,Yes,Two year,Bank transfer (automatic),19.75,1375.4,No,69.64050632911393,193
72,Yes,Two year,Credit card (automatic),109.7,8129.3,No,74.10483135824977,194
59,Yes,Two year,Credit card (automatic),19.3,1192.7,No,61.7979274611399,195
20,Yes,Month-to-month,Electronic check,96.55,1901.65,No,19.696012428793374,196
24,Yes,Two year,Bank transfer (automatic),24.1,587.4,No,24.37344398340249,197
59,Yes,Month-to-month,Electronic check,111.35,6519.75,No,58.551863493489,198
72,Yes,Two year,Bank transfer (automatic),112.25,8041.65,No,71.64053452115813,199
1,Yes,Month-to-month,Mailed check,20.75,20.75,No,1.0,200
27,Yes,One year,Credit card (automatic),101.9,2681.15,No,26.311579980372915,201
14,Yes,Month-to-month,Credit card (automatic),80.05,1112.3,No,13.895065584009993,202
71,Yes,Two year,Electronic check,105.55,7405.5,No,70.1610611084794,203
13,Yes,Month-to-month,Credit card (automatic),78.3,1033.95,No,13.204980842911878,204
44,Yes,Month-to-month,Credit card (automatic),68.85,2958.95,No,42.976761074800294,205
33,Yes,One year,Bank transfer (automatic),79.95,2684.85,No,33.58161350844277,206
72,No,Two year,Credit card (automatic),55.45,4179.2,No,75.36880072137059,207
1,Yes,Month-to-month,Electronic check,79.9,79.9,Yes,1.0,208
19,Yes,Month-to-month,Electronic check,106.6,1934.45,Yes,18.146810506566606,209
64,Yes,One year,Credit card (automatic),102.45,6654.1,No,64.94973157637872,210
2,Yes,Month-to-month,Credit card (automatic),46.0,84.5,Yes,1.8369565217391304,211
1,No,Month-to-month,Electronic check,25.25,25.25,No,1.0,212
61,Yes,Two year,Mailed check,19.75,1124.2,No,56.92151898734178,213
29,Yes,One year,Electronic check,20.0,540.05,No,27.002499999999998,214
23,Yes,Month-to-month,Electronic check,86.8,1975.85,No,22.763248847926267,215
57,No,Month-to-month,Bank transfer (automatic),58.75,3437.45,No,58.50978723404255,216
72,No,Two year,Credit card (automatic),45.25,3139.8,No,69.38784530386741,217
66,No,Two year,Bank transfer (automatic),56.6,3789.2,No,66.94699646643109,218
65,Yes,Two year,Bank transfer (automatic),84.2,5324.5,No,63.23634204275534,219
8,Yes,Month-to-month,Bank transfer (automatic),80.0,624.6,No,7.8075,220
4,Yes,Month-to-month,Electronic check,70.15,268.35,Yes,3.8253741981468283,221
71,Yes,Two year,Bank transfer (automatic),24.75,1836.9,No,74.21818181818182,222
1,Yes,One year,Electronic check,20.2,20.2,No,1.0,223
4,Yes,Month-to-month,Mailed check,50.05,179.35,Yes,3.5834165834165836,224
12,Yes,One year,Bank transfer (automatic),19.35,219.35,No,11.335917312661497,225
24,No,One year,Mailed check,50.6,1288.75,No,25.469367588932805,226
31,Yes,One year,Mailed check,81.15,2545.75,No,31.37091805298829,227
1,Yes,Month-to-month,Mailed check,55.2,55.2,Yes,1.0,228
30,Yes,Month-to-month,Credit card (automatic),89.9,2723.15,No,30.2908787541713,229
47,Yes,Two year,Credit card (automatic),85.3,4107.25,No,48.15064478311841,230
54,Yes,Two year,Credit card (automatic),108.0,5760.65,No,53.33935185185185,231
50,Yes,Month-to-month,Credit card (automatic),93.5,4747.5,No,50.775401069518715,232
1,Yes,Month-to-month,Mailed check,84.6,84.6,Yes,1.0,233
72,Yes,Two year,Credit card (automatic),20.25,1566.9,No,77.37777777777778,234
29,Yes,Month-to-month,Electronic check,25.15,702.0,No,27.912524850894634,235
2,Yes,Month-to-month,Mailed check,54.4,114.1,Yes,2.097426470588235,236
10,No,Two year,Mailed check,29.6,299.05,No,10.10304054054054,237
18,Yes,Month-to-month,Electronic check,73.15,1305.95,No,17.853041695146956,238
11,Yes,Month-to-month,Electronic check,95.0,1120.3,Yes,11.792631578947368,239
16,Yes,Two year,Mailed check,19.75,284.35,No,14.39746835443038,240
72,Yes,Two year,Bank transfer (automatic),86.6,6350.5,No,73.33140877598153,241
72,Yes,Two year,Bank transfer (automatic),109.2,7878.3,No,72.1456043956044,242
41,Yes,One year,Credit card (automatic),74.7,3187.65,No,42.67269076305221,243
65,Yes,Month-to-month,Electronic check,94.4,6126.15,No,64.89565677966101,244
13,Yes,Month-to-month,Electronic check,54.8,731.3,No,13.344890510948906,245
4,Yes,Month-to-month,Electronic check,75.35,273.4,No,3.628400796284008,246
41,Yes,One year,Mailed check,65.0,2531.8,No,38.95076923076923,247
15,Yes,Month-to-month,Electronic check,74.4,1074.3,Yes,14.439516129032256,248
1,Yes,Month-to-month,Mailed check,48.55,48.55,Yes,1.0,249
42,Yes,One year,Electronic check,99.0,4298.45,No,43.41868686868687,250
51,Yes,One year,Electronic check,93.5,4619.55,No,49.40695187165775,251
2,Yes,Month-to-month,Electronic check,70.4,147.15,Yes,2.0901988636363638,252
1,No,Month-to-month,Electronic check,40.2,40.2,Yes,1.0,253
32,Yes,One year,Credit card (automatic),83.7,2633.3,No,31.461170848267624,254
10,Yes,Month-to-month,Mailed check,19.85,193.05,No,9.72544080604534,255
67,No,Two year,Electronic check,59.55,4103.9,No,68.91519731318219,256
61,Yes,Two year,Credit card (automatic),115.1,7008.15,No,60.88748913987837,257
50,Yes,One year,Credit card (automatic),114.35,5791.1,No,50.64363795365108,258
2,Yes,Month-to-month,Credit card (automatic),44.6,80.55,Yes,1.8060538116591927,259
29,No,Month-to-month,Electronic check,45.0,1228.65,No,27.303333333333335,260
3,No,Month-to-month,Electronic check,41.15,132.2,Yes,3.212636695018226,261
13,Yes,Month-to-month,Electronic check,106.9,1364.3,Yes,12.762394761459307,262
57,Yes,Month-to-month,Electronic check,89.85,4925.35,No,54.81747356705621,263
31,No,Two year,Bank transfer (automatic),49.85,1520.1,No,30.493480441323968,264
45,Yes,One year,Mailed check,113.3,5032.25,No,44.4152691968226,265
61,Yes,Two year,Mailed check,88.1,5526.75,No,62.73269012485812,266
50,Yes,Two year,Bank transfer (automatic),24.9,1195.25,No,48.002008032128515,267
19,Yes,Month-to-month,Mailed check,105.0,2007.25,No,19.116666666666667,268
59,Yes,Two year,Mailed check,19.35,1099.6,Yes,56.82687338501291,269
71,Yes,Two year,Credit card (automatic),24.25,1732.95,No,71.46185567010309,270
16,Yes,Month-to-month,Electronic check,94.45,1511.2,Yes,16.0,271
57,Yes,Two year,Electronic check,59.75,3450.15,No,57.743096234309625,272
1,No,Month-to-month,Bank transfer (automatic),24.8,24.8,Yes,1.0,273
20,Yes,Month-to-month,Electronic check,107.05,2172.05,No,20.290051377860816,274
1,Yes,Month-to-month,Mailed check,70.6,70.6,Yes,1.0,275
5,Yes,Month-to-month,Electronic check,85.4,401.1,Yes,4.69672131147541,276
52,Yes,Month-to-month,Electronic check,105.05,5624.85,Yes,53.54450261780105,277
21,Yes,Month-to-month,Bank transfer (automatic),64.95,1339.8,No,20.628175519630485,278
14,No,Month-to-month,Electronic check,55.0,771.95,No,14.035454545454547,279
5,Yes,Month-to-month,Bank transfer (automatic),50.55,244.75,No,4.841740850642928,280
6,Yes,Month-to-month,Mailed check,55.15,322.9,No,5.85494106980961,281
10,Yes,Month-to-month,Electronic check,51.2,498.25,No,9.7314453125,282
1,Yes,Month-to-month,Mailed check,25.4,25.4,No,1.0,283
68,Yes,Month-to-month,Mailed check,54.45,3687.75,No,67.72727272727272,284
18,Yes,Month-to-month,Mailed check,95.15,1779.95,Yes,18.706778770362586,285
22,Yes,One year,Credit card (automatic),76.0,1783.6,No,23.468421052631577,286
20,Yes,Month-to-month,Electronic check,44.35,927.15,No,20.90529875986471,287
1,Yes,Month-to-month,Electronic check,70.0,70.0,Yes,1.0,288
8,Yes,Month-to-month,Electronic check,74.5,606.55,Yes,8.141610738255032,289
10,Yes,Month-to-month,Credit card (automatic),44.85,435.4,Yes,9.707915273132663,290
24,Yes,Month-to-month,Electronic check,76.1,1712.7,Yes,22.505913272010513,291
35,Yes,One year,Mailed check,61.2,2021.2,No,33.02614379084967,292
23,Yes,One year,Mailed check,86.8,1940.8,No,22.359447004608295,293
6,Yes,Month-to-month,Electronic check,89.35,567.8,No,6.354784555120314,294
12,Yes,Month-to-month,Mailed check,19.7,220.35,No,11.185279187817258,295
1,Yes,Month-to-month,Mailed check,20.25,20.25,No,1.0,296
71,Yes,Two year,Electronic check,76.05,5436.45,No,71.48520710059172,297
35,Yes,Month-to-month,Electronic check,100.8,3437.5,No,34.10218253968254,298
40,Yes,Month-to-month,Electronic check,74.55,3015.75,No,40.45271629778672,299
1,Yes,Month-to-month,Mailed check,73.6,73.6,Yes,1.0,300
23,Yes,One year,Bank transfer (automatic),64.9,1509.8,No,23.26348228043143,301
4,Yes,Month-to-month,Electronic check,95.45,396.1,Yes,4.149816657936093,302
4,Yes,Month-to-month,Electronic check,90.4,356.65,No,3.945243362831858,303
68,No,Two year,Credit card (automatic),60.3,4109.0,No,68.14262023217248,304
38,Yes,Month-to-month,Mailed check,81.85,3141.7,No,38.383628588882104,305
52,Yes,Two year,Mailed check,24.8,1229.1,No,49.56048387096774,306
32,Yes,Month-to-month,Electronic check,74.9,2303.35,Yes,30.75233644859813,307
29,Yes,Two year,Mailed check,75.55,2054.4,No,27.192587690271345,308
38,Yes,Month-to-month,Electronic check,101.15,3741.85,No,36.99307958477508,309
48,Yes,One year,Credit card (automatic),78.75,3682.45,No,46.761269841269836,310
1,Yes,Month-to-month,Bank transfer (automatic),19.25,19.25,No,1.0,311
22,Yes,Month-to-month,Electronic check,89.05,1886.25,No,21.18192026951151,312
43,Yes,Two year,Credit card (automatic),115.05,4895.1,No,42.547588005215125,313
5,Yes,Month-to-month,Electronic check,69.35,341.6,No,4.925739005046864,314
5,Yes,Month-to-month,Electronic check,80.6,415.55,Yes,5.155707196029777,315
51,Yes,One year,Credit card (automatic),110.05,5686.4,No,51.67105860972285,316
71,Yes,Two year,Credit card (automatic),19.9,1355.1,No,68.09547738693468,317
38,Yes,One year,Credit card (automatic),80.3,3058.65,Yes,38.09028642590287,318
24,Yes,Month-to-month,Electronic check,93.15,2231.05,Yes,23.95115405260333,319
35,Yes,Month-to-month,Credit card (automatic),91.5,3236.35,No,35.369945355191255,320
54,Yes,One year,Bank transfer (automatic),82.45,4350.1,Yes,52.760460885385086,321
72,No,Two year,Electronic check,60.0,4264.0,No,71.06666666666666,322
1,Yes,Month-to-month,Electronic check,44.8,44.8,No,1.0,323
9,Yes,One year,Mailed check,48.6,422.3,No,8.689300411522634,324
69,No,Two year,Bank transfer (automatic),60.05,4176.7,No,69.55370524562865,325
52,Yes,Month-to-month,Credit card (automatic),102.7,5138.1,No,50.03018500486855,326
11,Yes,Month-to-month,Electronic check,82.9,880.05,No,10.61580217129071,327
2,Yes,Month-to-month,Electronic check,70.35,139.05,Yes,1.9765458422174844,328
28,No,Month-to-month,Electronic check,35.9,973.65,No,27.121169916434543,329
17,Yes,Month-to-month,Credit card (automatic),82.65,1470.05,No,17.786448880822746,330
35,Yes,Two year,Mailed check,19.85,739.35,No,37.24685138539043,331
8,Yes,One year,Mailed check,19.2,161.95,No,8.434895833333334,332
46,Yes,One year,Credit card (automatic),94.9,4422.95,No,46.60642781875658,333
7,Yes,Month-to-month,Electronic check,73.85,511.25,Yes,6.922816519972919,334
2,Yes,Month-to-month,Mailed check,80.6,155.8,Yes,1.9330024813895785,335
68,Yes,One year,Bank transfer (automatic),75.8,5293.95,Yes,69.8410290237467,336
43,Yes,Two year,Electronic check,104.6,4759.85,Yes,45.50525812619504,337
68,Yes,Two year,Electronic check,88.15,6148.45,No,69.74985819625637,338
36,Yes,Month-to-month,Credit card (automatic),94.8,3565.65,No,37.6123417721519,339
63,Yes,Month-to-month,Electronic check,103.4,6603.0,Yes,63.858800773694384,340
32,Yes,Month-to-month,Bank transfer (automatic),54.65,1830.1,No,33.48764867337603,341
71,Yes,Two year,Credit card (automatic),85.75,6223.8,No,72.58075801749271,342
66,Yes,Month-to-month,Bank transfer (automatic),67.45,4508.65,No,66.84432913269087,343
63,Yes,One year,Mailed check,20.5,1328.15,No,64.78780487804879,344
41,Yes,One year,Credit card (automatic),20.25,865.0,No,42.71604938271605,345
1,Yes,Month-to-month,Electronic check,72.1,72.1,No,1.0,346
2,Yes,Month-to-month,Electronic check,90.4,168.2,Yes,1.8606194690265485,347
70,Yes,Two year,Bank transfer (automatic),19.45,1303.5,No,67.01799485861183,348
23,No,Month-to-month,Electronic check,44.95,996.85,No,22.17686318131257,349
