customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_tenure_Ratio
32,2,1,0,Credit card (automatic),95.5,181.65,0,47.75
33,27,1,1,Mailed check,66.15,1874.45,0,2.45
34,1,1,0,Bank transfer (automatic),20.2,20.2,0,20.2
35,1,1,0,Bank transfer (automatic),45.25,45.25,0,45.25
36,72,1,3,Bank transfer (automatic),99.9,7251.7,0,1.3875000000000002
37,5,1,0,Electronic check,69.7,316.9,1,13.940000000000001
38,46,1,0,Credit card (automatic),74.8,3548.3,0,1.626086956521739
39,34,1,0,Electronic check,106.35,3549.25,1,3.1279411764705882
40,11,1,0,Bank transfer (automatic),97.85,1105.4,1,8.895454545454545
41,10,1,1,Mailed check,49.55,475.7,0,4.955
42,70,1,3,Credit card (automatic),69.2,4872.35,0,0.9885714285714287
43,17,1,1,Mailed check,20.75,418.25,0,1.2205882352941178
44,63,1,3,Credit card (automatic),79.85,4861.45,0,1.2674603174603174
45,13,1,0,Electronic check,76.2,981.45,0,5.861538461538462
46,49,1,0,Electronic check,84.5,3906.7,0,1.7244897959183674
47,2,1,0,Mailed check,49.25,97.0,0,24.625
48,2,1,0,Electronic check,80.65,144.15,1,40.325
49,52,1,3,Credit card (automatic),79.75,4217.8,0,1.5336538461538463
50,69,1,3,Credit card (automatic),64.15,4254.1,0,0.9297101449275363
51,43,1,0,Electronic check,90.25,3838.75,0,2.0988372093023258
52,15,1,0,Credit card (automatic),99.1,1426.4,1,6.6066666666666665
53,25,1,0,Credit card (automatic),69.5,1752.65,0,2.78
54,8,1,0,Credit card (automatic),80.65,633.3,1,10.08125
55,60,1,1,Credit card (automatic),74.85,4456.35,0,1.2474999999999998
56,18,1,0,Electronic check,95.45,1752.55,1,5.302777777777778
57,63,1,1,Credit card (automatic),99.65,6311.2,0,1.581746031746032
58,66,1,1,Electronic check,108.45,7076.35,0,1.6431818181818183
59,34,1,3,Credit card (automatic),24.95,894.3,0,0.7338235294117647
60,72,1,3,Credit card (automatic),107.5,7853.7,0,1.4930555555555556
61,47,1,0,Electronic check,100.5,4707.1,0,2.1382978723404253
62,60,1,0,Bank transfer (automatic),89.9,5450.7,0,1.4983333333333335
63,72,0,3,Bank transfer (automatic),42.1,2962.0,0,0.5847222222222223
64,18,1,1,Credit card (automatic),54.4,957.1,0,3.022222222222222
65,9,1,0,Electronic check,94.4,857.25,1,10.488888888888889
66,3,1,0,Electronic check,75.3,244.1,0,25.099999999999998
67,47,1,1,Electronic check,78.9,3650.35,0,1.6787234042553192
68,31,1,3,Mailed check,79.2,2497.2,0,2.5548387096774197
69,50,1,3,Bank transfer (automatic),20.15,930.9,0,0.40299999999999997
70,10,1,0,Mailed check,79.85,887.35,0,7.984999999999999
71,1,1,0,Mailed check,49.05,49.05,0,49.05
72,52,1,1,Electronic check,20.4,1090.65,0,0.3923076923076923
73,64,1,3,Bank transfer (automatic),111.6,7099.0,0,1.74375
74,62,1,3,Bank transfer (automatic),24.25,1424.6,0,0.3911290322580645
75,3,1,0,Bank transfer (automatic),64.5,177.4,0,21.5
76,56,1,1,Electronic check,110.5,6139.5,0,1.9732142857142858
77,46,1,1,Credit card (automatic),55.65,2688.85,0,1.2097826086956522
78,8,1,0,Mailed check,54.65,482.25,0,6.83125
79,30,1,0,Electronic check,74.75,2111.3,0,2.4916666666666667
80,45,1,1,Credit card (automatic),25.9,1216.6,0,0.5755555555555555
81,1,1,0,Electronic check,79.35,79.35,1,79.35
82,11,0,0,Electronic check,50.55,565.35,0,4.595454545454545
83,7,1,0,Bank transfer (automatic),75.15,496.9,1,10.735714285714286
84,42,1,0,Bank transfer (automatic),103.8,4327.5,0,2.4714285714285715
85,49,1,3,Bank transfer (automatic),20.15,973.35,0,0.41122448979591836
86,9,1,0,Credit card (automatic),99.3,918.75,0,11.033333333333333
87,35,1,1,Bank transfer (automatic),62.15,2215.45,0,1.7757142857142856
88,48,1,3,Bank transfer (automatic),20.65,1057.0,0,0.4302083333333333
89,46,1,3,Mailed check,19.95,927.1,0,0.43369565217391304
90,29,0,0,Mailed check,33.75,1009.25,0,1.1637931034482758
91,30,1,0,Bank transfer (automatic),82.05,2570.2,0,2.735
92,1,1,0,Electronic check,74.7,74.7,0,74.7
93,66,1,3,Mailed check,84.0,5714.25,0,1.2727272727272727
94,65,1,0,Credit card (automatic),111.05,7107.0,0,1.7084615384615385
95,72,1,3,Bank transfer (automatic),100.9,7459.05,0,1.401388888888889
96,12,1,0,Electronic check,78.95,927.35,1,6.579166666666667
97,71,1,1,Credit card (automatic),66.85,4748.7,0,0.9415492957746479
98,5,1,0,Mailed check,21.05,113.85,1,4.21
99,52,1,3,Bank transfer (automatic),21.0,1107.2,0,0.40384615384615385
100,25,1,0,Electronic check,98.5,2514.5,1,3.94
101,1,1,0,Mailed check,20.2,20.2,0,20.2
102,1,1,0,Electronic check,19.45,19.45,0,19.45
103,38,1,1,Bank transfer (automatic),95.0,3605.6,0,2.5
104,66,0,1,Bank transfer (automatic),45.55,3027.25,0,0.6901515151515151
105,68,1,3,Bank transfer (automatic),110.0,7611.85,1,1.6176470588235294
106,5,0,0,Mailed check,24.3,100.2,0,4.86
107,72,1,1,Electronic check,104.15,7303.05,0,1.4465277777777779
108,32,0,1,Mailed check,30.15,927.65,0,0.9421875
109,43,1,1,Mailed check,94.35,3921.3,0,2.1941860465116276
110,72,1,3,Credit card (automatic),19.4,1363.25,0,0.26944444444444443
111,55,1,0,Electronic check,96.75,5238.9,1,1.759090909090909
112,52,1,1,Credit card (automatic),57.95,3042.25,0,1.114423076923077
113,43,1,0,Electronic check,91.65,3954.1,0,2.1313953488372093
114,37,1,0,Electronic check,76.5,2868.15,1,2.0675675675675675
115,64,0,3,Electronic check,54.6,3423.5,0,0.853125
116,3,1,0,Electronic check,89.85,248.4,0,29.95
117,36,0,3,Bank transfer (automatic),31.05,1126.35,0,0.8625
118,10,1,0,Electronic check,100.25,1064.65,1,10.025
119,41,1,3,Mailed check,20.65,835.15,0,0.5036585365853659
120,27,1,0,Credit card (automatic),85.2,2151.6,0,3.1555555555555554
121,56,1,1,Credit card (automatic),99.8,5515.45,0,1.782142857142857
122,6,1,0,Mailed check,20.7,112.75,0,3.4499999999999997
123,3,1,0,Electronic check,74.4,229.55,1,24.8
124,7,1,0,Mailed check,50.7,350.35,0,7.242857142857143
125,4,1,0,Mailed check,20.85,62.9,0,5.2125
126,33,1,3,Electronic check,88.95,3027.65,0,2.6954545454545453
127,27,1,0,Electronic check,78.05,2135.5,1,2.890740740740741
128,72,1,3,Bank transfer (automatic),23.55,1723.95,0,0.32708333333333334
129,1,1,0,Mailed check,19.75,19.75,0,19.75
130,71,0,1,Electronic check,56.45,3985.35,0,0.7950704225352113
131,13,1,0,Electronic check,85.95,1215.65,0,6.611538461538462
132,25,0,0,Credit card (automatic),58.6,1502.65,1,2.344
133,67,1,3,Bank transfer (automatic),50.55,3260.1,0,0.7544776119402985
134,1,0,0,Electronic check,35.45,35.45,1,35.45
135,2,1,0,Electronic check,44.35,81.25,1,22.175
136,43,1,3,Credit card (automatic),25.7,1188.2,0,0.5976744186046511
137,23,1,0,Bank transfer (automatic),75.0,1778.5,0,3.260869565217391
138,64,1,3,Mailed check,20.2,1277.75,0,0.315625
139,57,1,3,Mailed check,19.6,1170.55,0,0.34385964912280703
140,1,1,0,Mailed check,70.45,70.45,1,70.45
141,72,1,3,Credit card (automatic),88.05,6425.65,0,1.2229166666666667
142,8,1,0,Electronic check,71.15,563.65,1,8.89375
143,61,1,3,Bank transfer (automatic),101.05,5971.25,0,1.6565573770491804
144,64,1,1,Credit card (automatic),84.3,5289.05,0,1.3171875
145,71,1,3,Bank transfer (automatic),23.95,1756.2,0,0.3373239436619718
146,65,1,3,Credit card (automatic),99.05,6416.7,0,1.5238461538461539
147,3,1,1,Mailed check,19.6,61.35,0,6.533333333333334
148,1,1,0,Electronic check,45.65,45.65,1,45.65
149,30,1,1,Credit card (automatic),64.5,1929.95,0,2.15
150,15,1,0,Mailed check,69.5,1071.4,0,4.633333333333334
151,8,1,0,Electronic check,68.55,564.35,0,8.56875
152,7,1,0,Mailed check,95.0,655.5,1,13.571428571428571
153,70,1,1,Credit card (automatic),108.15,7930.55,0,1.5450000000000002
154,62,1,3,Electronic check,86.1,5215.25,0,1.3887096774193548
155,6,1,0,Mailed check,19.7,113.5,0,3.283333333333333
156,14,1,0,Bank transfer (automatic),80.9,1152.8,0,5.778571428571429
157,22,1,0,Bank transfer (automatic),84.15,1821.95,0,3.825
158,22,1,1,Mailed check,20.15,419.9,0,0.9159090909090909
159,16,1,3,Mailed check,64.25,1024.0,0,4.015625
160,10,1,3,Bank transfer (automatic),25.7,251.6,0,2.57
161,13,1,0,Electronic check,56.0,764.55,0,4.3076923076923075
162,20,1,0,Electronic check,82.4,1592.35,1,4.12
163,2,1,0,Electronic check,69.7,135.2,0,34.85
164,53,1,3,Bank transfer (automatic),73.9,3958.25,0,1.3943396226415095
165,11,1,1,Mailed check,20.6,233.9,0,1.8727272727272728
166,69,1,3,Mailed check,19.9,1363.45,0,0.28840579710144926
167,4,1,0,Bank transfer (automatic),70.9,273.0,1,17.725
168,72,1,3,Bank transfer (automatic),89.05,6254.45,0,1.2368055555555555
169,58,0,0,Electronic check,45.3,2651.2,1,0.7810344827586206
170,16,1,0,Electronic check,20.4,321.4,0,1.275
171,43,1,1,Bank transfer (automatic),84.25,3539.25,0,1.9593023255813953
172,2,1,0,Electronic check,104.4,242.8,1,52.2
173,14,1,3,Mailed check,81.95,1181.75,0,5.853571428571429
174,53,1,1,Bank transfer (automatic),94.85,5000.2,1,1.7896226415094338
175,32,1,1,Bank transfer (automatic),20.55,654.55,0,0.6421875
176,34,1,0,Electronic check,24.7,780.2,0,0.7264705882352941
177,15,1,0,Mailed check,74.45,1145.7,1,4.963333333333334
178,7,1,0,Bank transfer (automatic),76.45,503.6,1,10.921428571428573
179,15,1,0,Bank transfer (automatic),105.35,1559.25,0,7.0233333333333325
180,61,1,1,Credit card (automatic),20.55,1252.0,0,0.3368852459016394
181,1,0,0,Bank transfer (automatic),29.95,29.95,1,29.95
182,1,1,0,Mailed check,45.3,45.3,0,45.3
183,8,1,0,Bank transfer (automatic),84.5,662.65,1,10.5625
184,33,1,1,Credit card (automatic),74.75,2453.3,0,2.265151515151515
185,13,1,0,Electronic check,79.25,1111.65,1,6.096153846153846
186,1,0,0,Electronic check,24.8,24.8,1,24.8
187,20,1,0,Mailed check,51.8,1023.85,0,2.59
188,3,0,0,Electronic check,30.4,82.15,0,10.133333333333333
189,13,1,1,Electronic check,19.65,244.8,0,1.5115384615384615
190,40,1,0,Credit card (automatic),56.6,2379.1,0,1.415
191,43,1,1,Credit card (automatic),71.9,3173.35,0,1.672093023255814
192,6,1,0,Electronic check,91.0,531.0,1,15.166666666666666
193,69,1,3,Bank transfer (automatic),19.75,1375.4,0,0.286231884057971
194,72,1,3,Credit card (automatic),109.7,8129.3,0,1.5236111111111112
195,59,1,3,Credit card (automatic),19.3,1192.7,0,0.3271186440677966
196,20,1,0,Electronic check,96.55,1901.65,0,4.8275
197,24,1,3,Bank transfer (automatic),24.1,587.4,0,1.0041666666666667
198,59,1,0,Electronic check,111.35,6519.75,0,1.8872881355932203
199,72,1,3,Bank transfer (automatic),112.25,8041.65,0,1.5590277777777777
200,1,1,0,Mailed check,20.75,20.75,0,20.75
201,27,1,1,Credit card (automatic),101.9,2681.15,0,3.774074074074074
202,14,1,0,Credit card (automatic),80.05,1112.3,0,5.7178571428571425
203,71,1,3,Electronic check,105.55,7405.5,0,1.486619718309859
204,13,1,0,Credit card (automatic),78.3,1033.95,0,6.023076923076923
205,44,1,0,Credit card (automatic),68.85,2958.95,0,1.5647727272727272
206,33,1,1,Bank transfer (automatic),79.95,2684.85,0,2.422727272727273
207,72,0,3,Credit card (automatic),55.45,4179.2,0,0.7701388888888889
208,1,1,0,Electronic check,79.9,79.9,1,79.9
209,19,1,0,Electronic check,106.6,1934.45,1,5.610526315789474
210,64,1,1,Credit card (automatic),102.45,6654.1,0,1.60078125
211,2,1,0,Credit card (automatic),46.0,84.5,1,23.0
212,1,0,0,Electronic check,25.25,25.25,0,25.25
213,61,1,3,Mailed check,19.75,1124.2,0,0.3237704918032787
214,29,1,1,Electronic check,20.0,540.05,0,0.6896551724137931
215,23,1,0,Electronic check,86.8,1975.85,0,3.773913043478261
216,57,0,0,Bank transfer (automatic),58.75,3437.45,0,1.030701754385965
217,72,0,3,Credit card (automatic),45.25,3139.8,0,0.6284722222222222
218,66,0,3,Bank transfer (automatic),56.6,3789.2,0,0.8575757575757575
219,65,1,3,Bank transfer (automatic),84.2,5324.5,0,1.2953846153846154
220,8,1,0,Bank transfer (automatic),80.0,624.6,0,10.0
221,4,1,0,Electronic check,70.15,268.35,1,17.5375
222,71,1,3,Bank transfer (automatic),24.75,1836.9,0,0.3485915492957746
223,1,1,1,Electronic check,20.2,20.2,0,20.2
224,4,1,0,Mailed check,50.05,179.35,1,12.5125
225,12,1,1,Bank transfer (automatic),19.35,219.35,0,1.6125
226,24,0,1,Mailed check,50.6,1288.75,0,2.1083333333333334
227,31,1,1,Mailed check,81.15,2545.75,0,2.6177419354838714
228,1,1,0,Mailed check,55.2,55.2,1,55.2
229,30,1,0,Credit card (automatic),89.9,2723.15,0,2.996666666666667
230,47,1,3,Credit card (automatic),85.3,4107.25,0,1.8148936170212766
231,54,1,3,Credit card (automatic),108.0,5760.65,0,2.0
232,50,1,0,Credit card (automatic),93.5,4747.5,0,1.87
233,1,1,0,Mailed check,84.6,84.6,1,84.6
234,72,1,3,Credit card (automatic),20.25,1566.9,0,0.28125
235,29,1,0,Electronic check,25.15,702.0,0,0.8672413793103447
236,2,1,0,Mailed check,54.4,114.1,1,27.2
237,10,0,3,Mailed check,29.6,299.05,0,2.96
238,18,1,0,Electronic check,73.15,1305.95,0,4.063888888888889
239,11,1,0,Electronic check,95.0,1120.3,1,8.636363636363637
240,16,1,3,Mailed check,19.75,284.35,0,1.234375
241,72,1,3,Bank transfer (automatic),86.6,6350.5,0,1.2027777777777777
242,72,1,3,Bank transfer (automatic),109.2,7878.3,0,1.5166666666666666
243,41,1,1,Credit card (automatic),74.7,3187.65,0,1.8219512195121952
244,65,1,0,Electronic check,94.4,6126.15,0,1.4523076923076923
245,13,1,0,Electronic check,54.8,731.3,0,4.2153846153846155
246,4,1,0,Electronic check,75.35,273.4,0,18.8375
247,41,1,1,Mailed check,65.0,2531.8,0,1.5853658536585367
248,15,1,0,Electronic check,74.4,1074.3,1,4.96
249,1,1,0,Mailed check,48.55,48.55,1,48.55
250,42,1,1,Electronic check,99.0,4298.45,0,2.357142857142857
251,51,1,1,Electronic check,93.5,4619.55,0,1.8333333333333333
252,2,1,0,Electronic check,70.4,147.15,1,35.2
253,1,0,0,Electronic check,40.2,40.2,1,40.2
254,32,1,1,Credit card (automatic),83.7,2633.3,0,2.615625
255,10,1,0,Mailed check,19.85,193.05,0,1.985
256,67,0,3,Electronic check,59.55,4103.9,0,0.8888059701492537
257,61,1,3,Credit card (automatic),115.1,7008.15,0,1.8868852459016392
258,50,1,1,Credit card (automatic),114.35,5791.1,0,2.287
259,2,1,0,Credit card (automatic),44.6,80.55,1,22.3
260,29,0,0,Electronic check,45.0,1228.65,0,1.5517241379310345
261,3,0,0,Electronic check,41.15,132.2,1,13.716666666666667
262,13,1,0,Electronic check,106.9,1364.3,1,8.223076923076924
263,57,1,0,Electronic check,89.85,4925.35,0,1.5763157894736841
264,31,0,3,Bank transfer (automatic),49.85,1520.1,0,1.6080645161290323
265,45,1,1,Mailed check,113.3,5032.25,0,2.517777777777778
266,61,1,3,Mailed check,88.1,5526.75,0,1.444262295081967
267,50,1,3,Bank transfer (automatic),24.9,1195.25,0,0.498
268,19,1,0,Mailed check,105.0,2007.25,0,5.526315789473684
269,59,1,3,Mailed check,19.35,1099.6,1,0.3279661016949153
270,71,1,3,Credit card (automatic),24.25,1732.95,0,0.3415492957746479
271,16,1,0,Electronic check,94.45,1511.2,1,5.903125
272,57,1,3,Electronic check,59.75,3450.15,0,1.0482456140350878
273,1,0,0,Bank transfer (automatic),24.8,24.8,1,24.8
274,20,1,0,Electronic check,107.05,2172.05,0,5.3525
275,1,1,0,Mailed check,70.6,70.6,1,70.6
276,5,1,0,Electronic check,85.4,401.1,1,17.080000000000002
277,52,1,0,Electronic check,105.05,5624.85,1,2.020192307692308
278,21,1,0,Bank transfer (automatic),64.95,1339.8,0,3.092857142857143
279,14,0,0,Electronic check,55.0,771.95,0,3.9285714285714284
280,5,1,0,Bank transfer (automatic),50.55,244.75,0,10.11
281,6,1,0,Mailed check,55.15,322.9,0,9.191666666666666
282,10,1,0,Electronic check,51.2,498.25,0,5.12
283,1,1,0,Mailed check,25.4,25.4,0,25.4
284,68,1,0,Mailed check,54.45,3687.75,0,0.8007352941176471
285,18,1,0,Mailed check,95.15,1779.95,1,5.286111111111111
286,22,1,1,Credit card (automatic),76.0,1783.6,0,3.4545454545454546
287,20,1,0,Electronic check,44.35,927.15,0,2.2175000000000002
288,1,1,0,Electronic check,70.0,70.0,1,70.0
289,8,1,0,Electronic check,74.5,606.55,1,9.3125
290,10,1,0,Credit card (automatic),44.85,435.4,1,4.485
291,24,1,0,Electronic check,76.1,1712.7,1,3.170833333333333
292,35,1,1,Mailed check,61.2,2021.2,0,1.7485714285714287
293,23,1,1,Mailed check,86.8,1940.8,0,3.773913043478261
294,6,1,0,Electronic check,89.35,567.8,0,14.891666666666666
295,12,1,0,Mailed check,19.7,220.35,0,1.6416666666666666
296,1,1,0,Mailed check,20.25,20.25,0,20.25
297,71,1,3,Electronic check,76.05,5436.45,0,1.0711267605633803
298,35,1,0,Electronic check,100.8,3437.5,0,2.88
299,40,1,0,Electronic check,74.55,3015.75,0,1.86375
300,1,1,0,Mailed check,73.6,73.6,1,73.6
301,23,1,1,Bank transfer (automatic),64.9,1509.8,0,2.821739130434783
302,4,1,0,Electronic check,95.45,396.1,1,23.8625
303,4,1,0,Electronic check,90.4,356.65,0,22.6
304,68,0,3,Credit card (automatic),60.3,4109.0,0,0.8867647058823529
305,38,1,0,Mailed check,81.85,3141.7,0,2.1539473684210524
306,52,1,3,Mailed check,24.8,1229.1,0,0.47692307692307695
307,32,1,0,Electronic check,74.9,2303.35,1,2.340625
308,29,1,3,Mailed check,75.55,2054.4,0,2.6051724137931034
309,38,1,0,Electronic check,101.15,3741.85,0,2.6618421052631582
310,48,1,1,Credit card (automatic),78.75,3682.45,0,1.640625
311,1,1,0,Bank transfer (automatic),19.25,19.25,0,19.25
312,22,1,0,Electronic check,89.05,1886.25,0,4.047727272727273
313,43,1,3,Credit card (automatic),115.05,4895.1,0,2.675581395348837
314,5,1,0,Electronic check,69.35,341.6,0,13.87
315,5,1,0,Electronic check,80.6,415.55,1,16.119999999999997
316,51,1,1,Credit card (automatic),110.05,5686.4,0,2.157843137254902
317,71,1,3,Credit card (automatic),19.9,1355.1,0,0.28028169014084503
318,38,1,1,Credit card (automatic),80.3,3058.65,1,2.113157894736842
319,24,1,0,Electronic check,93.15,2231.05,1,3.88125
320,35,1,0,Credit card (automatic),91.5,3236.35,0,2.6142857142857143
321,54,1,1,Bank transfer (automatic),82.45,4350.1,1,1.526851851851852
322,72,0,3,Electronic check,60.0,4264.0,0,0.8333333333333334
323,1,1,0,Electronic check,44.8,44.8,0,44.8
324,9,1,1,Mailed check,48.6,422.3,0,5.4
325,69,0,3,Bank transfer (automatic),60.05,4176.7,0,0.8702898550724637
326,52,1,0,Credit card (automatic),102.7,5138.1,0,1.975
327,11,1,0,Electronic check,82.9,880.05,0,7.536363636363637
328,2,1,0,Electronic check,70.35,139.05,1,35.175
329,28,0,0,Electronic check,35.9,973.65,0,1.282142857142857
330,17,1,0,Credit card (automatic),82.65,1470.05,0,4.861764705882353
331,35,1,3,Mailed check,19.85,739.35,0,0.5671428571428572
332,8,1,1,Mailed check,19.2,161.95,0,2.4
333,46,1,1,Credit card (automatic),94.9,4422.95,0,2.0630434782608695
334,7,1,0,Electronic check,73.85,511.25,1,10.549999999999999
335,2,1,0,Mailed check,80.6,155.8,1,40.3
336,68,1,1,Bank transfer (automatic),75.8,5293.95,1,1.1147058823529412
337,43,1,3,Electronic check,104.6,4759.85,1,2.4325581395348834
338,68,1,3,Electronic check,88.15,6148.45,0,1.2963235294117648
339,36,1,0,Credit card (automatic),94.8,3565.65,0,2.6333333333333333
340,63,1,0,Electronic check,103.4,6603.0,1,1.6412698412698414
341,32,1,0,Bank transfer (automatic),54.65,1830.1,0,1.7078125
342,71,1,3,Credit card (automatic),85.75,6223.8,0,1.2077464788732395
343,66,1,0,Bank transfer (automatic),67.45,4508.65,0,1.021969696969697
344,63,1,1,Mailed check,20.5,1328.15,0,0.3253968253968254
345,41,1,1,Credit card (automatic),20.25,865.0,0,0.49390243902439024
346,1,1,0,Electronic check,72.1,72.1,0,72.1
347,2,1,0,Electronic check,90.4,168.2,1,45.2
348,70,1,3,Bank transfer (automatic),19.45,1303.5,0,0.27785714285714286
349,23,0,0,Electronic check,44.95,996.85,0,1.9543478260869567
350,64,1,1,Bank transfer (automatic),97.0,6430.9,0,1.515625
351,37,1,3,Credit card (automatic),62.8,2278.75,0,1.6972972972972973
352,17,1,1,Mailed check,44.6,681.4,0,2.623529411764706
353,7,1,0,Electronic check,89.15,574.35,0,12.735714285714286
354,4,1,0,Bank transfer (automatic),84.8,371.9,1,21.2
355,21,0,0,Electronic check,41.9,840.1,1,1.9952380952380953
356,10,1,0,Bank transfer (automatic),80.25,846.0,1,8.025
357,16,1,0,Electronic check,54.1,889.0,0,3.38125
358,64,1,3,Electronic check,105.25,6823.4,0,1.64453125
359,27,0,0,Credit card (automatic),30.75,805.1,1,1.1388888888888888
360,42,1,1,Electronic check,97.1,4016.75,0,2.3119047619047617
361,5,1,0,Mailed check,20.2,83.75,0,4.04
362,41,1,3,Bank transfer (automatic),98.8,3959.15,0,2.4097560975609755
363,58,1,1,Credit card (automatic),50.3,2878.55,0,0.8672413793103447
364,47,1,3,Mailed check,20.55,945.7,0,0.4372340425531915
365,18,1,0,Bank transfer (automatic),75.9,1373.05,0,4.216666666666667
366,5,1,0,Bank transfer (automatic),96.5,492.55,1,19.3
367,23,1,0,Bank transfer (automatic),59.95,1406.0,0,2.606521739130435
368,1,1,0,Mailed check,19.15,19.15,0,19.15
369,71,1,1,Credit card (automatic),98.65,6962.85,0,1.38943661971831
370,72,1,3,Credit card (automatic),112.6,8126.65,0,1.5638888888888889
371,33,1,1,Mailed check,20.6,690.25,0,0.6242424242424243
372,2,1,0,Electronic check,85.65,181.5,1,42.825
373,24,0,3,Mailed check,35.75,830.8,0,1.4895833333333333
374,56,1,1,Credit card (automatic),99.75,5608.4,0,1.78125
375,37,1,0,Credit card (automatic),96.1,3646.8,0,2.597297297297297
376,43,1,1,Credit card (automatic),85.1,3662.25,0,1.9790697674418603
377,1,0,0,Mailed check,25.35,25.35,0,25.35
378,25,1,0,Bank transfer (automatic),104.95,2566.5,1,4.198
379,61,1,3,Electronic check,89.65,5308.7,0,1.4696721311475411
380,17,1,1,Electronic check,86.75,1410.25,0,5.102941176470588
381,41,1,1,Bank transfer (automatic),86.2,3339.05,0,2.102439024390244
382,1,1,0,Mailed check,50.65,50.65,1,50.65
383,72,0,3,Bank transfer (automatic),64.8,4732.35,0,0.8999999999999999
384,1,1,0,Credit card (automatic),90.85,90.85,1,90.85
385,48,1,3,Bank transfer (automatic),108.1,5067.45,0,2.252083333333333
386,11,1,0,Mailed check,19.95,214.75,1,1.8136363636363635
387,55,1,0,Electronic check,85.45,4874.7,1,1.5536363636363637
388,42,0,1,Electronic check,54.75,2348.45,0,1.3035714285714286
389,44,1,0,Mailed check,90.4,4063.0,0,2.0545454545454547
390,1,1,0,Electronic check,44.0,44.0,0,44.0
391,27,1,0,Bank transfer (automatic),95.6,2595.25,0,3.5407407407407407
392,27,1,0,Bank transfer (automatic),84.8,2309.55,0,3.140740740740741
393,2,1,0,Electronic check,44.3,89.3,0,22.15
394,19,1,0,Mailed check,19.9,367.55,0,1.0473684210526315
395,42,1,0,Electronic check,95.05,3944.5,0,2.263095238095238
396,66,1,3,Credit card (automatic),90.05,5965.95,0,1.3643939393939393
397,33,1,0,Bank transfer (automatic),109.9,3694.7,0,3.3303030303030305
398,34,1,0,Credit card (automatic),73.95,2524.45,1,2.1750000000000003
399,33,0,0,Electronic check,54.6,1803.7,0,1.6545454545454545
400,23,1,1,Mailed check,20.05,415.1,0,0.8717391304347827
401,32,1,1,Bank transfer (automatic),19.75,624.15,0,0.6171875
402,11,1,1,Credit card (automatic),20.05,237.7,0,1.8227272727272728
403,69,1,0,Credit card (automatic),99.45,7007.6,1,1.441304347826087
404,68,1,1,Bank transfer (automatic),55.9,3848.8,0,0.8220588235294117
405,20,1,3,Mailed check,19.7,419.4,0,0.985
406,72,1,3,Credit card (automatic),19.8,1468.75,0,0.275
407,60,1,1,Bank transfer (automatic),95.4,5812.0,0,1.59
408,32,1,0,Mailed check,93.95,2861.45,0,2.9359375
409,1,1,0,Mailed check,19.9,19.9,1,19.9
410,1,1,0,Mailed check,19.6,19.6,1,19.6
411,3,1,0,Electronic check,81.35,233.7,1,27.116666666666664
412,46,1,1,Bank transfer (automatic),24.45,1066.15,0,0.5315217391304348
413,29,1,0,Electronic check,74.95,2149.05,0,2.5844827586206898
414,51,1,0,Electronic check,87.35,4473.0,0,1.7127450980392156
