tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_TotalCharges_Ratio
72,1,Two year,Credit card (automatic),107.5,7853.7,0,0.013687815933891033
47,1,Month-to-month,Electronic check,100.5,4707.1,0,0.021350725499776933
60,1,Month-to-month,Bank transfer (automatic),89.9,5450.7,0,0.016493294439246336
72,0,Two year,Bank transfer (automatic),42.1,2962.0,0,0.014213369345037138
18,1,One year,Credit card (automatic),54.4,957.1,0,0.05683836589698046
9,1,Month-to-month,Electronic check,94.4,857.25,1,0.11011956838728493
3,1,Month-to-month,Electronic check,75.3,244.1,0,0.308480131093814
47,1,One year,Electronic check,78.9,3650.35,0,0.02161436574575041
31,1,Two year,Mailed check,79.2,2497.2,0,0.03171552138395003
50,1,Two year,Bank transfer (automatic),20.15,930.9,0,0.021645719196476527
10,1,Month-to-month,Mailed check,79.85,887.35,0,0.08998704006310924
1,1,Month-to-month,Mailed check,49.05,49.05,0,1.0
52,1,One year,Electronic check,20.4,1090.65,0,0.018704442305047447
64,1,Two year,Bank transfer (automatic),111.6,7099.0,0,0.01572052401746725
62,1,Two year,Bank transfer (automatic),24.25,1424.6,0,0.017022322055313774
3,1,Month-to-month,Bank transfer (automatic),64.5,177.4,0,0.36358511837655016
56,1,One year,Electronic check,110.5,6139.5,0,0.017998208323153353
46,1,One year,Credit card (automatic),55.65,2688.85,0,0.02069658032244268
8,1,Month-to-month,Mailed check,54.65,482.25,0,0.1133229652669777
30,1,Month-to-month,Electronic check,74.75,2111.3,0,0.03540472694548382
45,1,One year,Credit card (automatic),25.9,1216.6,0,0.021288837744533946
1,1,Month-to-month,Electronic check,79.35,79.35,1,1.0
11,0,Month-to-month,Electronic check,50.55,565.35,0,0.08941363756964711
7,1,Month-to-month,Bank transfer (automatic),75.15,496.9,1,0.1512376735761723
42,1,Month-to-month,Bank transfer (automatic),103.8,4327.5,0,0.023986135181975735
49,1,Two year,Bank transfer (automatic),20.15,973.35,0,0.020701700313350797
9,1,Month-to-month,Credit card (automatic),99.3,918.75,0,0.10808163265306123
35,1,One year,Bank transfer (automatic),62.15,2215.45,0,0.02805299149157056
48,1,Two year,Bank transfer (automatic),20.65,1057.0,0,0.0195364238410596
46,1,Two year,Mailed check,19.95,927.1,0,0.02151871427030525
29,0,Month-to-month,Mailed check,33.75,1009.25,0,0.03344067376764925
30,1,Month-to-month,Bank transfer (automatic),82.05,2570.2,0,0.03192358571317407
1,1,Month-to-month,Electronic check,74.7,74.7,0,1.0
66,1,Two year,Mailed check,84.0,5714.25,0,0.014700091875574223
65,1,Month-to-month,Credit card (automatic),111.05,7107.0,0,0.0156254397073308
72,1,Two year,Bank transfer (automatic),100.9,7459.05,0,0.013527191800564416
12,1,Month-to-month,Electronic check,78.95,927.35,1,0.08513506227422225
71,1,One year,Credit card (automatic),66.85,4748.7,0,0.014077537010129088
5,1,Month-to-month,Mailed check,21.05,113.85,1,0.18489240228370665
52,1,Two year,Bank transfer (automatic),21.0,1107.2,0,0.018966763005780346
25,1,Month-to-month,Electronic check,98.5,2514.5,1,0.03917279777291708
1,1,Month-to-month,Mailed check,20.2,20.2,0,1.0
1,1,Month-to-month,Electronic check,19.45,19.45,0,1.0
38,1,One year,Bank transfer (automatic),95.0,3605.6,0,0.02634790326159308
66,0,One year,Bank transfer (automatic),45.55,3027.25,0,0.015046659509455777
68,1,Two year,Bank transfer (automatic),110.0,7611.85,1,0.014451151822487305
5,0,Month-to-month,Mailed check,24.3,100.2,0,0.24251497005988024
72,1,One year,Electronic check,104.15,7303.05,0,0.014261164855779435
32,0,One year,Mailed check,30.15,927.65,0,0.03250148224006899
43,1,One year,Mailed check,94.35,3921.3,0,0.024060898171524746
72,1,Two year,Credit card (automatic),19.4,1363.25,0,0.014230698697964422
55,1,Month-to-month,Electronic check,96.75,5238.9,1,0.018467617247895553
52,1,One year,Credit card (automatic),57.95,3042.25,0,0.019048401676390832
43,1,Month-to-month,Electronic check,91.65,3954.1,0,0.023178472977415848
37,1,Month-to-month,Electronic check,76.5,2868.15,1,0.026672245175461535
64,0,Two year,Electronic check,54.6,3423.5,0,0.015948590623630788
3,1,Month-to-month,Electronic check,89.85,248.4,0,0.3617149758454106
36,0,Two year,Bank transfer (automatic),31.05,1126.35,0,0.027566919696364364
10,1,Month-to-month,Electronic check,100.25,1064.65,1,0.09416240078899168
41,1,Two year,Mailed check,20.65,835.15,0,0.024726097108303896
27,1,Month-to-month,Credit card (automatic),85.2,2151.6,0,0.03959843837144451
56,1,One year,Credit card (automatic),99.8,5515.45,0,0.018094625098586697
6,1,Month-to-month,Mailed check,20.7,112.75,0,0.1835920177383592
3,1,Month-to-month,Electronic check,74.4,229.55,1,0.3241123938139839
7,1,Month-to-month,Mailed check,50.7,350.35,0,0.14471243042671614
4,1,Month-to-month,Mailed check,20.85,62.9,0,0.33147853736089034
33,1,Two year,Electronic check,88.95,3027.65,0,0.02937922150843063
27,1,Month-to-month,Electronic check,78.05,2135.5,1,0.03654881760711777
72,1,Two year,Bank transfer (automatic),23.55,1723.95,0,0.01366048899330027
1,1,Month-to-month,Mailed check,19.75,19.75,0,1.0
71,0,One year,Electronic check,56.45,3985.35,0,0.014164377030875582
13,1,Month-to-month,Electronic check,85.95,1215.65,0,0.0707029161354008
25,0,Month-to-month,Credit card (automatic),58.6,1502.65,1,0.038997770605264034
67,1,Two year,Bank transfer (automatic),50.55,3260.1,0,0.015505659335603201
1,0,Month-to-month,Electronic check,35.45,35.45,1,1.0
2,1,Month-to-month,Electronic check,44.35,81.25,1,0.5458461538461539
43,1,Two year,Credit card (automatic),25.7,1188.2,0,0.02162935532738596
23,1,Month-to-month,Bank transfer (automatic),75.0,1778.5,0,0.04217036828788305
64,1,Two year,Mailed check,20.2,1277.75,0,0.01580903932694189
57,1,Two year,Mailed check,19.6,1170.55,0,0.01674426551621033
1,1,Month-to-month,Mailed check,70.45,70.45,1,1.0
72,1,Two year,Credit card (automatic),88.05,6425.65,0,0.013702893870659
8,1,Month-to-month,Electronic check,71.15,563.65,1,0.12623081699636302
61,1,Two year,Bank transfer (automatic),101.05,5971.25,0,0.01692275486707138
64,1,One year,Credit card (automatic),84.3,5289.05,0,0.015938590105973663
71,1,Two year,Bank transfer (automatic),23.95,1756.2,0,0.013637398929506888
65,1,Two year,Credit card (automatic),99.05,6416.7,0,0.015436283447878193
3,1,One year,Mailed check,19.6,61.35,0,0.319478402607987
1,1,Month-to-month,Electronic check,45.65,45.65,1,1.0
30,1,One year,Credit card (automatic),64.5,1929.95,0,0.03342055493665639
15,1,Month-to-month,Mailed check,69.5,1071.4,0,0.06486839649057308
8,1,Month-to-month,Electronic check,68.55,564.35,0,0.12146717462567555
7,1,Month-to-month,Mailed check,95.0,655.5,1,0.14492753623188406
70,1,One year,Credit card (automatic),108.15,7930.55,0,0.013637137399045464
62,1,Two year,Electronic check,86.1,5215.25,0,0.016509275681894444
6,1,Month-to-month,Mailed check,19.7,113.5,0,0.173568281938326
14,1,Month-to-month,Bank transfer (automatic),80.9,1152.8,0,0.07017696044413603
22,1,Month-to-month,Bank transfer (automatic),84.15,1821.95,0,0.046186777902796454
22,1,One year,Mailed check,20.15,419.9,0,0.047987616099071206
16,1,Two year,Mailed check,64.25,1024.0,0,0.062744140625
10,1,Two year,Bank transfer (automatic),25.7,251.6,0,0.10214626391096979
13,1,Month-to-month,Electronic check,56.0,764.55,0,0.07324570008501734
20,1,Month-to-month,Electronic check,82.4,1592.35,1,0.05174741733915283
2,1,Month-to-month,Electronic check,69.7,135.2,0,0.5155325443786983
53,1,Two year,Bank transfer (automatic),73.9,3958.25,0,0.01866986673403651
11,1,One year,Mailed check,20.6,233.9,0,0.08807182556648141
69,1,Two year,Mailed check,19.9,1363.45,0,0.014595328028163847
4,1,Month-to-month,Bank transfer (automatic),70.9,273.0,1,0.25970695970695973
72,1,Two year,Bank transfer (automatic),89.05,6254.45,0,0.01423786264179904
58,0,Month-to-month,Electronic check,45.3,2651.2,1,0.017086602293301147
16,1,Month-to-month,Electronic check,20.4,321.4,0,0.06347230864965775
43,1,One year,Bank transfer (automatic),84.25,3539.25,0,0.023804478349932896
2,1,Month-to-month,Electronic check,104.4,242.8,1,0.4299835255354201
14,1,Two year,Mailed check,81.95,1181.75,0,0.06934630844087158
53,1,One year,Bank transfer (automatic),94.85,5000.2,1,0.018969241230350785
32,1,One year,Bank transfer (automatic),20.55,654.55,0,0.03139561530822703
34,1,Month-to-month,Electronic check,24.7,780.2,0,0.03165854908997692
15,1,Month-to-month,Mailed check,74.45,1145.7,1,0.06498210700881557
7,1,Month-to-month,Bank transfer (automatic),76.45,503.6,1,0.15180698967434472
15,1,Month-to-month,Bank transfer (automatic),105.35,1559.25,0,0.06756453423120089
61,1,One year,Credit card (automatic),20.55,1252.0,0,0.01641373801916933
1,0,Month-to-month,Bank transfer (automatic),29.95,29.95,1,1.0
1,1,Month-to-month,Mailed check,45.3,45.3,0,1.0
8,1,Month-to-month,Bank transfer (automatic),84.5,662.65,1,0.12751829774390705
33,1,One year,Credit card (automatic),74.75,2453.3,0,0.03046916398320629
13,1,Month-to-month,Electronic check,79.25,1111.65,1,0.07129042414429002
1,0,Month-to-month,Electronic check,24.8,24.8,1,1.0
20,1,Month-to-month,Mailed check,51.8,1023.85,0,0.05059334863505396
3,0,Month-to-month,Electronic check,30.4,82.15,0,0.3700547778454047
13,1,One year,Electronic check,19.65,244.8,0,0.08026960784313725
40,1,Month-to-month,Credit card (automatic),56.6,2379.1,0,0.023790509016014462
43,1,One year,Credit card (automatic),71.9,3173.35,0,0.022657444026029278
6,1,Month-to-month,Electronic check,91.0,531.0,1,0.1713747645951036
69,1,Two year,Bank transfer (automatic),19.75,1375.4,0,0.014359459066453395
72,1,Two year,Credit card (automatic),109.7,8129.3,0,0.013494396811533589
59,1,Two year,Credit card (automatic),19.3,1192.7,0,0.016181772449065147
20,1,Month-to-month,Electronic check,96.55,1901.65,0,0.0507716982620356
24,1,Two year,Bank transfer (automatic),24.1,587.4,0,0.04102826012938373
59,1,Month-to-month,Electronic check,111.35,6519.75,0,0.017078875723762415
72,1,Two year,Bank transfer (automatic),112.25,8041.65,0,0.013958578152493581
1,1,Month-to-month,Mailed check,20.75,20.75,0,1.0
27,1,One year,Credit card (automatic),101.9,2681.15,0,0.0380060794808198
14,1,Month-to-month,Credit card (automatic),80.05,1112.3,0,0.07196799424615662
71,1,Two year,Electronic check,105.55,7405.5,0,0.014252920126932685
13,1,Month-to-month,Credit card (automatic),78.3,1033.95,0,0.07572900043522414
44,1,Month-to-month,Credit card (automatic),68.85,2958.95,0,0.023268389124520523
33,1,One year,Bank transfer (automatic),79.95,2684.85,0,0.029778199899435726
72,0,Two year,Credit card (automatic),55.45,4179.2,0,0.013268089586523738
1,1,Month-to-month,Electronic check,79.9,79.9,1,1.0
19,1,Month-to-month,Electronic check,106.6,1934.45,1,0.05510610250975729
64,1,One year,Credit card (automatic),102.45,6654.1,0,0.015396522444808464
2,1,Month-to-month,Credit card (automatic),46.0,84.5,1,0.5443786982248521
1,0,Month-to-month,Electronic check,25.25,25.25,0,1.0
61,1,Two year,Mailed check,19.75,1124.2,0,0.017568048389966198
29,1,One year,Electronic check,20.0,540.05,0,0.03703360799925933
23,1,Month-to-month,Electronic check,86.8,1975.85,0,0.04393046030822178
57,0,Month-to-month,Bank transfer (automatic),58.75,3437.45,0,0.017091157689566396
72,0,Two year,Credit card (automatic),45.25,3139.8,0,0.01441174597108096
66,0,Two year,Bank transfer (automatic),56.6,3789.2,0,0.014937189908160035
65,1,Two year,Bank transfer (automatic),84.2,5324.5,0,0.015813691426425018
8,1,Month-to-month,Bank transfer (automatic),80.0,624.6,0,0.1280819724623759
4,1,Month-to-month,Electronic check,70.15,268.35,1,0.26141233463760016
71,1,Two year,Bank transfer (automatic),24.75,1836.9,0,0.013473787359137677
1,1,One year,Electronic check,20.2,20.2,0,1.0
4,1,Month-to-month,Mailed check,50.05,179.35,1,0.27906328408140507
12,1,One year,Bank transfer (automatic),19.35,219.35,0,0.08821518121723274
24,0,One year,Mailed check,50.6,1288.75,0,0.03926285160038798
31,1,One year,Mailed check,81.15,2545.75,0,0.03187665717372091
1,1,Month-to-month,Mailed check,55.2,55.2,1,1.0
30,1,Month-to-month,Credit card (automatic),89.9,2723.15,0,0.033013238345298644
47,1,Two year,Credit card (automatic),85.3,4107.25,0,0.02076815387424676
54,1,Two year,Credit card (automatic),108.0,5760.65,0,0.018747884353328186
50,1,Month-to-month,Credit card (automatic),93.5,4747.5,0,0.01969457609268036
1,1,Month-to-month,Mailed check,84.6,84.6,1,1.0
72,1,Two year,Credit card (automatic),20.25,1566.9,0,0.01292360712234348
29,1,Month-to-month,Electronic check,25.15,702.0,0,0.035826210826210826
2,1,Month-to-month,Mailed check,54.4,114.1,1,0.476774758983348
10,0,Two year,Mailed check,29.6,299.05,0,0.09898010366159506
18,1,Month-to-month,Electronic check,73.15,1305.95,0,0.05601286419847621
11,1,Month-to-month,Electronic check,95.0,1120.3,1,0.08479871463000982
16,1,Two year,Mailed check,19.75,284.35,0,0.0694566555301565
72,1,Two year,Bank transfer (automatic),86.6,6350.5,0,0.013636721517990709
72,1,Two year,Bank transfer (automatic),109.2,7878.3,0,0.013860858306995164
41,1,One year,Credit card (automatic),74.7,3187.65,0,0.023434191332172605
65,1,Month-to-month,Electronic check,94.4,6126.15,0,0.015409351713555824
13,1,Month-to-month,Electronic check,54.8,731.3,0,0.07493504717626145
4,1,Month-to-month,Electronic check,75.35,273.4,0,0.27560351133869787
41,1,One year,Mailed check,65.0,2531.8,0,0.025673433920530845
15,1,Month-to-month,Electronic check,74.4,1074.3,1,0.06925439821278973
1,1,Month-to-month,Mailed check,48.55,48.55,1,1.0
42,1,One year,Electronic check,99.0,4298.45,0,0.02303155788714537
51,1,One year,Electronic check,93.5,4619.55,0,0.020240066673160806
2,1,Month-to-month,Electronic check,70.4,147.15,1,0.4784233775059463
1,0,Month-to-month,Electronic check,40.2,40.2,1,1.0
32,1,One year,Credit card (automatic),83.7,2633.3,0,0.03178521247104393
10,1,Month-to-month,Mailed check,19.85,193.05,0,0.10282310282310282
67,0,Two year,Electronic check,59.55,4103.9,0,0.014510587489948585
61,1,Two year,Credit card (automatic),115.1,7008.15,0,0.016423735222562304
50,1,One year,Credit card (automatic),114.35,5791.1,0,0.019745816856901105
2,1,Month-to-month,Credit card (automatic),44.6,80.55,1,0.553693358162632
29,0,Month-to-month,Electronic check,45.0,1228.65,0,0.036625564644121596
3,0,Month-to-month,Electronic check,41.15,132.2,1,0.3112708018154312
13,1,Month-to-month,Electronic check,106.9,1364.3,1,0.07835520046910505
57,1,Month-to-month,Electronic check,89.85,4925.35,0,0.018242358411077384
31,0,Two year,Bank transfer (automatic),49.85,1520.1,0,0.03279389513847773
45,1,One year,Mailed check,113.3,5032.25,0,0.02251477967112127
61,1,Two year,Mailed check,88.1,5526.75,0,0.015940652282082596
50,1,Two year,Bank transfer (automatic),24.9,1195.25,0,0.02083246182806944
19,1,Month-to-month,Mailed check,105.0,2007.25,0,0.05231037489102005
59,1,Two year,Mailed check,19.35,1099.6,1,0.017597308112040744
71,1,Two year,Credit card (automatic),24.25,1732.95,0,0.01399347932715889
16,1,Month-to-month,Electronic check,94.45,1511.2,1,0.0625
57,1,Two year,Electronic check,59.75,3450.15,0,0.017318087619378867
1,0,Month-to-month,Bank transfer (automatic),24.8,24.8,1,1.0
20,1,Month-to-month,Electronic check,107.05,2172.05,0,0.049285237448493356
1,1,Month-to-month,Mailed check,70.6,70.6,1,1.0
5,1,Month-to-month,Electronic check,85.4,401.1,1,0.21291448516579406
52,1,Month-to-month,Electronic check,105.05,5624.85,1,0.01867605358365112
21,1,Month-to-month,Bank transfer (automatic),64.95,1339.8,0,0.04847738468428124
14,0,Month-to-month,Electronic check,55.0,771.95,0,0.07124813783276118
5,1,Month-to-month,Bank transfer (automatic),50.55,244.75,0,0.2065372829417773
6,1,Month-to-month,Mailed check,55.15,322.9,0,0.1707959120470734
10,1,Month-to-month,Electronic check,51.2,498.25,0,0.10275965880582037
1,1,Month-to-month,Mailed check,25.4,25.4,0,1.0
68,1,Month-to-month,Mailed check,54.45,3687.75,0,0.014765100671140941
18,1,Month-to-month,Mailed check,95.15,1779.95,1,0.053456557768476645
22,1,One year,Credit card (automatic),76.0,1783.6,0,0.042610450773716085
20,1,Month-to-month,Electronic check,44.35,927.15,0,0.04783476244404897
1,1,Month-to-month,Electronic check,70.0,70.0,1,1.0
8,1,Month-to-month,Electronic check,74.5,606.55,1,0.1228258181518424
10,1,Month-to-month,Credit card (automatic),44.85,435.4,1,0.10300872760679836
24,1,Month-to-month,Electronic check,76.1,1712.7,1,0.04443276697611957
35,1,One year,Mailed check,61.2,2021.2,0,0.030279042153176332
23,1,One year,Mailed check,86.8,1940.8,0,0.04472382522671063
6,1,Month-to-month,Electronic check,89.35,567.8,0,0.1573617470940472
12,1,Month-to-month,Mailed check,19.7,220.35,0,0.08940322214658497
1,1,Month-to-month,Mailed check,20.25,20.25,0,1.0
71,1,Two year,Electronic check,76.05,5436.45,0,0.013988908202963331
35,1,Month-to-month,Electronic check,100.8,3437.5,0,0.029323636363636364
40,1,Month-to-month,Electronic check,74.55,3015.75,0,0.02472021885103208
1,1,Month-to-month,Mailed check,73.6,73.6,1,1.0
23,1,One year,Bank transfer (automatic),64.9,1509.8,0,0.04298582593721023
4,1,Month-to-month,Electronic check,95.45,396.1,1,0.24097450138853824
4,1,Month-to-month,Electronic check,90.4,356.65,0,0.2534697883078649
68,0,Two year,Credit card (automatic),60.3,4109.0,0,0.014675103431491846
38,1,Month-to-month,Mailed check,81.85,3141.7,0,0.026052773975872936
52,1,Two year,Mailed check,24.8,1229.1,0,0.020177365552029942
32,1,Month-to-month,Electronic check,74.9,2303.35,1,0.03251785442941803
29,1,Two year,Mailed check,75.55,2054.4,0,0.036774727414330216
38,1,Month-to-month,Electronic check,101.15,3741.85,0,0.027032083060518197
48,1,One year,Credit card (automatic),78.75,3682.45,0,0.021385219079688794
1,1,Month-to-month,Bank transfer (automatic),19.25,19.25,0,1.0
22,1,Month-to-month,Electronic check,89.05,1886.25,0,0.047210072895957585
43,1,Two year,Credit card (automatic),115.05,4895.1,0,0.023503094931666357
5,1,Month-to-month,Electronic check,69.35,341.6,0,0.20301522248243556
5,1,Month-to-month,Electronic check,80.6,415.55,1,0.19395981229695583
51,1,One year,Credit card (automatic),110.05,5686.4,0,0.019353193584693305
71,1,Two year,Credit card (automatic),19.9,1355.1,0,0.014685263080215482
38,1,One year,Credit card (automatic),80.3,3058.65,1,0.02625341245320648
24,1,Month-to-month,Electronic check,93.15,2231.05,1,0.041751641603729184
35,1,Month-to-month,Credit card (automatic),91.5,3236.35,0,0.028272591036198187
54,1,One year,Bank transfer (automatic),82.45,4350.1,1,0.018953587273855772
72,0,Two year,Electronic check,60.0,4264.0,0,0.014071294559099437
1,1,Month-to-month,Electronic check,44.8,44.8,0,1.0
9,1,One year,Mailed check,48.6,422.3,0,0.11508406346199385
69,0,Two year,Bank transfer (automatic),60.05,4176.7,0,0.014377379270716115
52,1,Month-to-month,Credit card (automatic),102.7,5138.1,0,0.01998793328273097
11,1,Month-to-month,Electronic check,82.9,880.05,0,0.09419919322765753
2,1,Month-to-month,Electronic check,70.35,139.05,1,0.5059331175836029
28,0,Month-to-month,Electronic check,35.9,973.65,0,0.03687156575771581
17,1,Month-to-month,Credit card (automatic),82.65,1470.05,0,0.05622257746335159
35,1,Two year,Mailed check,19.85,739.35,0,0.02684790694528978
8,1,One year,Mailed check,19.2,161.95,0,0.11855510960172894
46,1,One year,Credit card (automatic),94.9,4422.95,0,0.02145626787551295
7,1,Month-to-month,Electronic check,73.85,511.25,1,0.14444987775061124
2,1,Month-to-month,Mailed check,80.6,155.8,1,0.5173299101412066
68,1,One year,Bank transfer (automatic),75.8,5293.95,1,0.014318231188432078
43,1,Two year,Electronic check,104.6,4759.85,1,0.021975482420664515
68,1,Two year,Electronic check,88.15,6148.45,0,0.01433694671014646
36,1,Month-to-month,Credit card (automatic),94.8,3565.65,0,0.026587017794791973
63,1,Month-to-month,Electronic check,103.4,6603.0,1,0.0156595486899894
32,1,Month-to-month,Bank transfer (automatic),54.65,1830.1,0,0.02986175618818644
71,1,Two year,Credit card (automatic),85.75,6223.8,0,0.013777756354638645
66,1,Month-to-month,Bank transfer (automatic),67.45,4508.65,0,0.014960132190345227
63,1,One year,Mailed check,20.5,1328.15,0,0.015435003576403266
41,1,One year,Credit card (automatic),20.25,865.0,0,0.023410404624277455
1,1,Month-to-month,Electronic check,72.1,72.1,0,1.0
2,1,Month-to-month,Electronic check,90.4,168.2,1,0.5374554102259216
70,1,Two year,Bank transfer (automatic),19.45,1303.5,0,0.014921365554276946
23,0,Month-to-month,Electronic check,44.95,996.85,0,0.045092039925766166
64,1,One year,Bank transfer (automatic),97.0,6430.9,0,0.015083425337044582
37,1,Two year,Credit card (automatic),62.8,2278.75,0,0.027558968732857927
17,1,One year,Mailed check,44.6,681.4,0,0.06545347813325507
7,1,Month-to-month,Electronic check,89.15,574.35,0,0.15521894315312962
4,1,Month-to-month,Bank transfer (automatic),84.8,371.9,1,0.22801828448507663
21,0,Month-to-month,Electronic check,41.9,840.1,1,0.04987501487918105
10,1,Month-to-month,Bank transfer (automatic),80.25,846.0,1,0.09485815602836879
16,1,Month-to-month,Electronic check,54.1,889.0,0,0.06085489313835771
64,1,Two year,Electronic check,105.25,6823.4,0,0.01542486150599408
27,0,Month-to-month,Credit card (automatic),30.75,805.1,1,0.038194013166066326
42,1,One year,Electronic check,97.1,4016.75,0,0.024173772328374928
5,1,Month-to-month,Mailed check,20.2,83.75,0,0.24119402985074626
41,1,Two year,Bank transfer (automatic),98.8,3959.15,0,0.024954851420128057
58,1,One year,Credit card (automatic),50.3,2878.55,0,0.0174740754893957
47,1,Two year,Mailed check,20.55,945.7,0,0.02172993549751507
18,1,Month-to-month,Bank transfer (automatic),75.9,1373.05,0,0.05527839481446416
5,1,Month-to-month,Bank transfer (automatic),96.5,492.55,1,0.19591919602070856
23,1,Month-to-month,Bank transfer (automatic),59.95,1406.0,0,0.04263869132290185
1,1,Month-to-month,Mailed check,19.15,19.15,0,1.0
71,1,One year,Credit card (automatic),98.65,6962.85,0,0.014168049002922654
72,1,Two year,Credit card (automatic),112.6,8126.65,0,0.013855647776143922
33,1,One year,Mailed check,20.6,690.25,0,0.02984425932633104
2,1,Month-to-month,Electronic check,85.65,181.5,1,0.471900826446281
24,0,Two year,Mailed check,35.75,830.8,0,0.04303081367356765
56,1,One year,Credit card (automatic),99.75,5608.4,0,0.017785821268097853
37,1,Month-to-month,Credit card (automatic),96.1,3646.8,0,0.026351870132719092
43,1,One year,Credit card (automatic),85.1,3662.25,0,0.0232370810294218
1,0,Month-to-month,Mailed check,25.35,25.35,0,1.0
25,1,Month-to-month,Bank transfer (automatic),104.95,2566.5,1,0.04089226573154101
61,1,Two year,Electronic check,89.65,5308.7,0,0.016887373556614616
17,1,One year,Electronic check,86.75,1410.25,0,0.06151391597234533
41,1,One year,Bank transfer (automatic),86.2,3339.05,0,0.025815726029858793
1,1,Month-to-month,Mailed check,50.65,50.65,1,1.0
