tenure,PhoneService,Contract,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_tenure_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check
49,1,3,20.15,973.35,0,0.4112244897959183,1,0,1,0
9,1,0,99.3,918.75,0,11.033333333333331,0,1,1,0
35,1,1,62.15,2215.45,0,1.7757142857142856,1,0,1,0
48,1,3,20.65,1057.0,0,0.4302083333333333,1,0,1,0
46,1,3,19.95,927.1,0,0.433695652173913,0,0,1,1
29,0,0,33.75,1009.25,0,1.1637931034482758,0,0,1,1
30,1,0,82.05,2570.2,0,2.735,1,0,1,0
1,1,0,74.7,74.7,0,74.7,0,0,0,0
66,1,3,84.0,5714.25,0,1.2727272727272727,0,0,1,1
65,1,0,111.05,7107.0,0,1.7084615384615385,0,1,1,0
72,1,3,100.9,7459.05,0,1.401388888888889,1,0,1,0
12,1,0,78.95,927.35,1,6.579166666666667,0,0,0,0
71,1,1,66.85,4748.7,0,0.941549295774648,0,1,1,0
5,1,0,21.05,113.85,1,4.21,0,0,1,1
52,1,3,21.0,1107.2,0,0.4038461538461538,1,0,1,0
25,1,0,98.5,2514.5,1,3.94,0,0,0,0
1,1,0,20.2,20.2,0,20.2,0,0,1,1
1,1,0,19.45,19.45,0,19.45,0,0,0,0
38,1,1,95.0,3605.6,0,2.5,1,0,1,0
66,0,1,45.55,3027.25,0,0.6901515151515151,1,0,1,0
68,1,3,110.0,7611.85,1,1.6176470588235294,1,0,1,0
5,0,0,24.3,100.2,0,4.86,0,0,1,1
72,1,1,104.15,7303.05,0,1.446527777777778,0,0,0,0
32,0,1,30.15,927.65,0,0.9421875,0,0,1,1
43,1,1,94.35,3921.3,0,2.194186046511628,0,0,1,1
72,1,3,19.4,1363.25,0,0.2694444444444444,0,1,1,0
55,1,0,96.75,5238.9,1,1.759090909090909,0,0,0,0
52,1,1,57.95,3042.25,0,1.114423076923077,0,1,1,0
43,1,0,91.65,3954.1,0,2.1313953488372093,0,0,0,0
37,1,0,76.5,2868.15,1,2.0675675675675675,0,0,0,0
64,0,3,54.6,3423.5,0,0.853125,0,0,0,0
3,1,0,89.85,248.4,0,29.95,0,0,0,0
36,0,3,31.05,1126.35,0,0.8625,1,0,1,0
10,1,0,100.25,1064.65,1,10.025,0,0,0,0
41,1,3,20.65,835.15,0,0.5036585365853659,0,0,1,1
27,1,0,85.2,2151.6,0,3.1555555555555554,0,1,1,0
56,1,1,99.8,5515.45,0,1.782142857142857,0,1,1,0
6,1,0,20.7,112.75,0,3.45,0,0,1,1
3,1,0,74.4,229.55,1,24.8,0,0,0,0
7,1,0,50.7,350.35,0,7.242857142857143,0,0,1,1
4,1,0,20.85,62.9,0,5.2125,0,0,1,1
33,1,3,88.95,3027.65,0,2.6954545454545453,0,0,0,0
27,1,0,78.05,2135.5,1,2.890740740740741,0,0,0,0
72,1,3,23.55,1723.95,0,0.3270833333333333,1,0,1,0
1,1,0,19.75,19.75,0,19.75,0,0,1,1
71,0,1,56.45,3985.35,0,0.7950704225352113,0,0,0,0
13,1,0,85.95,1215.65,0,6.611538461538462,0,0,0,0
25,0,0,58.6,1502.65,1,2.344,0,1,1,0
67,1,3,50.55,3260.1,0,0.7544776119402985,1,0,1,0
1,0,0,35.45,35.45,1,35.45,0,0,0,0
2,1,0,44.35,81.25,1,22.175,0,0,0,0
43,1,3,25.7,1188.2,0,0.5976744186046511,0,1,1,0
23,1,0,75.0,1778.5,0,3.260869565217391,1,0,1,0
64,1,3,20.2,1277.75,0,0.315625,0,0,1,1
57,1,3,19.6,1170.55,0,0.343859649122807,0,0,1,1
1,1,0,70.45,70.45,1,70.45,0,0,1,1
72,1,3,88.05,6425.65,0,1.2229166666666669,0,1,1,0
8,1,0,71.15,563.65,1,8.89375,0,0,0,0
61,1,3,101.05,5971.25,0,1.6565573770491804,1,0,1,0
64,1,1,84.3,5289.05,0,1.3171875,0,1,1,0
71,1,3,23.95,1756.2,0,0.3373239436619718,1,0,1,0
65,1,3,99.05,6416.7,0,1.523846153846154,0,1,1,0
3,1,1,19.6,61.35,0,6.533333333333334,0,0,1,1
1,1,0,45.65,45.65,1,45.65,0,0,0,0
30,1,1,64.5,1929.95,0,2.15,0,1,1,0
15,1,0,69.5,1071.4,0,4.633333333333334,0,0,1,1
8,1,0,68.55,564.35,0,8.56875,0,0,0,0
7,1,0,95.0,655.5,1,13.571428571428571,0,0,1,1
70,1,1,108.15,7930.55,0,1.5450000000000002,0,1,1,0
62,1,3,86.1,5215.25,0,1.3887096774193548,0,0,0,0
6,1,0,19.7,113.5,0,3.283333333333333,0,0,1,1
14,1,0,80.9,1152.8,0,5.778571428571429,1,0,1,0
22,1,0,84.15,1821.95,0,3.825,1,0,1,0
22,1,1,20.15,419.9,0,0.9159090909090908,0,0,1,1
16,1,3,64.25,1024.0,0,4.015625,0,0,1,1
10,1,3,25.7,251.6,0,2.57,1,0,1,0
13,1,0,56.0,764.55,0,4.307692307692308,0,0,0,0
20,1,0,82.4,1592.35,1,4.12,0,0,0,0
2,1,0,69.7,135.2,0,34.85,0,0,0,0
53,1,3,73.9,3958.25,0,1.3943396226415097,1,0,1,0
11,1,1,20.6,233.9,0,1.8727272727272728,0,0,1,1
69,1,3,19.9,1363.45,0,0.2884057971014492,0,0,1,1
4,1,0,70.9,273.0,1,17.725,1,0,1,0
72,1,3,89.05,6254.45,0,1.2368055555555555,1,0,1,0
58,0,0,45.3,2651.2,1,0.7810344827586206,0,0,0,0
16,1,0,20.4,321.4,0,1.275,0,0,0,0
43,1,1,84.25,3539.25,0,1.9593023255813955,1,0,1,0
2,1,0,104.4,242.8,1,52.2,0,0,0,0
14,1,3,81.95,1181.75,0,5.853571428571429,0,0,1,1
53,1,1,94.85,5000.2,1,1.7896226415094338,1,0,1,0
32,1,1,20.55,654.55,0,0.6421875,1,0,1,0
34,1,0,24.7,780.2,0,0.7264705882352941,0,0,0,0
15,1,0,74.45,1145.7,1,4.963333333333334,0,0,1,1
7,1,0,76.45,503.6,1,10.921428571428573,1,0,1,0
15,1,0,105.35,1559.25,0,7.0233333333333325,1,0,1,0
61,1,1,20.55,1252.0,0,0.3368852459016394,0,1,1,0
1,0,0,29.95,29.95,1,29.95,1,0,1,0
1,1,0,45.3,45.3,0,45.3,0,0,1,1
8,1,0,84.5,662.65,1,10.5625,1,0,1,0
33,1,1,74.75,2453.3,0,2.265151515151515,0,1,1,0
13,1,0,79.25,1111.65,1,6.096153846153846,0,0,0,0
1,0,0,24.8,24.8,1,24.8,0,0,0,0
20,1,0,51.8,1023.85,0,2.59,0,0,1,1
3,0,0,30.4,82.15,0,10.133333333333333,0,0,0,0
13,1,1,19.65,244.8,0,1.5115384615384615,0,0,0,0
40,1,0,56.6,2379.1,0,1.415,0,1,1,0
43,1,1,71.9,3173.35,0,1.672093023255814,0,1,1,0
6,1,0,91.0,531.0,1,15.166666666666666,0,0,0,0
69,1,3,19.75,1375.4,0,0.286231884057971,1,0,1,0
72,1,3,109.7,8129.3,0,1.5236111111111112,0,1,1,0
59,1,3,19.3,1192.7,0,0.3271186440677966,0,1,1,0
20,1,0,96.55,1901.65,0,4.8275,0,0,0,0
24,1,3,24.1,587.4,0,1.0041666666666669,1,0,1,0
59,1,0,111.35,6519.75,0,1.8872881355932205,0,0,0,0
72,1,3,112.25,8041.65,0,1.5590277777777777,1,0,1,0
1,1,0,20.75,20.75,0,20.75,0,0,1,1
27,1,1,101.9,2681.15,0,3.774074074074074,0,1,1,0
14,1,0,80.05,1112.3,0,5.717857142857143,0,1,1,0
71,1,3,105.55,7405.5,0,1.486619718309859,0,0,0,0
13,1,0,78.3,1033.95,0,6.023076923076923,0,1,1,0
44,1,0,68.85,2958.95,0,1.5647727272727272,0,1,1,0
33,1,1,79.95,2684.85,0,2.422727272727273,1,0,1,0
72,0,3,55.45,4179.2,0,0.7701388888888889,0,1,1,0
1,1,0,79.9,79.9,1,79.9,0,0,0,0
19,1,0,106.6,1934.45,1,5.610526315789474,0,0,0,0
64,1,1,102.45,6654.1,0,1.60078125,0,1,1,0
2,1,0,46.0,84.5,1,23.0,0,1,1,0
1,0,0,25.25,25.25,0,25.25,0,0,0,0
61,1,3,19.75,1124.2,0,0.3237704918032787,0,0,1,1
29,1,1,20.0,540.05,0,0.6896551724137931,0,0,0,0
23,1,0,86.8,1975.85,0,3.773913043478261,0,0,0,0
57,0,0,58.75,3437.45,0,1.030701754385965,1,0,1,0
72,0,3,45.25,3139.8,0,0.6284722222222222,0,1,1,0
66,0,3,56.6,3789.2,0,0.8575757575757575,1,0,1,0
65,1,3,84.2,5324.5,0,1.2953846153846154,1,0,1,0
8,1,0,80.0,624.6,0,10.0,1,0,1,0
4,1,0,70.15,268.35,1,17.5375,0,0,0,0
71,1,3,24.75,1836.9,0,0.3485915492957746,1,0,1,0
1,1,1,20.2,20.2,0,20.2,0,0,0,0
4,1,0,50.05,179.35,1,12.5125,0,0,1,1
12,1,1,19.35,219.35,0,1.6125,1,0,1,0
24,0,1,50.6,1288.75,0,2.1083333333333334,0,0,1,1
31,1,1,81.15,2545.75,0,2.617741935483872,0,0,1,1
1,1,0,55.2,55.2,1,55.2,0,0,1,1
30,1,0,89.9,2723.15,0,2.996666666666667,0,1,1,0
47,1,3,85.3,4107.25,0,1.8148936170212768,0,1,1,0
54,1,3,108.0,5760.65,0,2.0,0,1,1,0
50,1,0,93.5,4747.5,0,1.87,0,1,1,0
1,1,0,84.6,84.6,1,84.6,0,0,1,1
72,1,3,20.25,1566.9,0,0.28125,0,1,1,0
29,1,0,25.15,702.0,0,0.8672413793103447,0,0,0,0
2,1,0,54.4,114.1,1,27.2,0,0,1,1
10,0,3,29.6,299.05,0,2.96,0,0,1,1
18,1,0,73.15,1305.95,0,4.063888888888889,0,0,0,0
11,1,0,95.0,1120.3,1,8.636363636363637,0,0,0,0
16,1,3,19.75,284.35,0,1.234375,0,0,1,1
72,1,3,86.6,6350.5,0,1.2027777777777775,1,0,1,0
72,1,3,109.2,7878.3,0,1.5166666666666666,1,0,1,0
41,1,1,74.7,3187.65,0,1.8219512195121952,0,1,1,0
65,1,0,94.4,6126.15,0,1.4523076923076923,0,0,0,0
13,1,0,54.8,731.3,0,4.215384615384616,0,0,0,0
4,1,0,75.35,273.4,0,18.8375,0,0,0,0
41,1,1,65.0,2531.8,0,1.5853658536585369,0,0,1,1
15,1,0,74.4,1074.3,1,4.96,0,0,0,0
1,1,0,48.55,48.55,1,48.55,0,0,1,1
42,1,1,99.0,4298.45,0,2.357142857142857,0,0,0,0
51,1,1,93.5,4619.55,0,1.8333333333333333,0,0,0,0
2,1,0,70.4,147.15,1,35.2,0,0,0,0
1,0,0,40.2,40.2,1,40.2,0,0,0,0
32,1,1,83.7,2633.3,0,2.615625,0,1,1,0
10,1,0,19.85,193.05,0,1.985,0,0,1,1
67,0,3,59.55,4103.9,0,0.8888059701492537,0,0,0,0
61,1,3,115.1,7008.15,0,1.8868852459016392,0,1,1,0
50,1,1,114.35,5791.1,0,2.287,0,1,1,0
2,1,0,44.6,80.55,1,22.3,0,1,1,0
29,0,0,45.0,1228.65,0,1.5517241379310345,0,0,0,0
3,0,0,41.15,132.2,1,13.716666666666669,0,0,0,0
13,1,0,106.9,1364.3,1,8.223076923076924,0,0,0,0
57,1,0,89.85,4925.35,0,1.576315789473684,0,0,0,0
31,0,3,49.85,1520.1,0,1.6080645161290323,1,0,1,0
45,1,1,113.3,5032.25,0,2.517777777777778,0,0,1,1
61,1,3,88.1,5526.75,0,1.444262295081967,0,0,1,1
50,1,3,24.9,1195.25,0,0.498,1,0,1,0
19,1,0,105.0,2007.25,0,5.526315789473684,0,0,1,1
59,1,3,19.35,1099.6,1,0.3279661016949153,0,0,1,1
71,1,3,24.25,1732.95,0,0.3415492957746479,0,1,1,0
16,1,0,94.45,1511.2,1,5.903125,0,0,0,0
57,1,3,59.75,3450.15,0,1.0482456140350878,0,0,0,0
1,0,0,24.8,24.8,1,24.8,1,0,1,0
20,1,0,107.05,2172.05,0,5.3525,0,0,0,0
1,1,0,70.6,70.6,1,70.6,0,0,1,1
5,1,0,85.4,401.1,1,17.080000000000002,0,0,0,0
52,1,0,105.05,5624.85,1,2.020192307692308,0,0,0,0
21,1,0,64.95,1339.8,0,3.092857142857143,1,0,1,0
14,0,0,55.0,771.95,0,3.928571428571429,0,0,0,0
5,1,0,50.55,244.75,0,10.11,1,0,1,0
6,1,0,55.15,322.9,0,9.191666666666666,0,0,1,1
10,1,0,51.2,498.25,0,5.12,0,0,0,0
1,1,0,25.4,25.4,0,25.4,0,0,1,1
68,1,0,54.45,3687.75,0,0.8007352941176471,0,0,1,1
18,1,0,95.15,1779.95,1,5.286111111111111,0,0,1,1
22,1,1,76.0,1783.6,0,3.4545454545454546,0,1,1,0
20,1,0,44.35,927.15,0,2.2175,0,0,0,0
1,1,0,70.0,70.0,1,70.0,0,0,0,0
8,1,0,74.5,606.55,1,9.3125,0,0,0,0
10,1,0,44.85,435.4,1,4.485,0,1,1,0
24,1,0,76.1,1712.7,1,3.170833333333333,0,0,0,0
35,1,1,61.2,2021.2,0,1.7485714285714289,0,0,1,1
23,1,1,86.8,1940.8,0,3.773913043478261,0,0,1,1
6,1,0,89.35,567.8,0,14.891666666666666,0,0,0,0
12,1,0,19.7,220.35,0,1.6416666666666666,0,0,1,1
1,1,0,20.25,20.25,0,20.25,0,0,1,1
71,1,3,76.05,5436.45,0,1.0711267605633803,0,0,0,0
35,1,0,100.8,3437.5,0,2.88,0,0,0,0
40,1,0,74.55,3015.75,0,1.86375,0,0,0,0
1,1,0,73.6,73.6,1,73.6,0,0,1,1
23,1,1,64.9,1509.8,0,2.821739130434783,1,0,1,0
4,1,0,95.45,396.1,1,23.8625,0,0,0,0
4,1,0,90.4,356.65,0,22.6,0,0,0,0
68,0,3,60.3,4109.0,0,0.8867647058823529,0,1,1,0
38,1,0,81.85,3141.7,0,2.1539473684210524,0,0,1,1
52,1,3,24.8,1229.1,0,0.4769230769230769,0,0,1,1
32,1,0,74.9,2303.35,1,2.340625,0,0,0,0
29,1,3,75.55,2054.4,0,2.6051724137931034,0,0,1,1
38,1,0,101.15,3741.85,0,2.6618421052631582,0,0,0,0
48,1,1,78.75,3682.45,0,1.640625,0,1,1,0
1,1,0,19.25,19.25,0,19.25,1,0,1,0
22,1,0,89.05,1886.25,0,4.047727272727273,0,0,0,0
43,1,3,115.05,4895.1,0,2.675581395348837,0,1,1,0
5,1,0,69.35,341.6,0,13.87,0,0,0,0
5,1,0,80.6,415.55,1,16.119999999999997,0,0,0,0
51,1,1,110.05,5686.4,0,2.157843137254902,0,1,1,0
71,1,3,19.9,1355.1,0,0.280281690140845,0,1,1,0
38,1,1,80.3,3058.65,1,2.113157894736842,0,1,1,0
24,1,0,93.15,2231.05,1,3.88125,0,0,0,0
35,1,0,91.5,3236.35,0,2.6142857142857143,0,1,1,0
54,1,1,82.45,4350.1,1,1.526851851851852,1,0,1,0
72,0,3,60.0,4264.0,0,0.8333333333333334,0,0,0,0
1,1,0,44.8,44.8,0,44.8,0,0,0,0
9,1,1,48.6,422.3,0,5.4,0,0,1,1
69,0,3,60.05,4176.7,0,0.8702898550724637,1,0,1,0
52,1,0,102.7,5138.1,0,1.975,0,1,1,0
11,1,0,82.9,880.05,0,7.536363636363637,0,0,0,0
2,1,0,70.35,139.05,1,35.175,0,0,0,0
28,0,0,35.9,973.65,0,1.282142857142857,0,0,0,0
17,1,0,82.65,1470.05,0,4.861764705882353,0,1,1,0
35,1,3,19.85,739.35,0,0.5671428571428572,0,0,1,1
8,1,1,19.2,161.95,0,2.4,0,0,1,1
46,1,1,94.9,4422.95,0,2.063043478260869,0,1,1,0
7,1,0,73.85,511.25,1,10.55,0,0,0,0
2,1,0,80.6,155.8,1,40.3,0,0,1,1
68,1,1,75.8,5293.95,1,1.1147058823529412,1,0,1,0
43,1,3,104.6,4759.85,1,2.4325581395348834,0,0,0,0
68,1,3,88.15,6148.45,0,1.2963235294117648,0,0,0,0
36,1,0,94.8,3565.65,0,2.6333333333333333,0,1,1,0
63,1,0,103.4,6603.0,1,1.6412698412698414,0,0,0,0
32,1,0,54.65,1830.1,0,1.7078125,1,0,1,0
71,1,3,85.75,6223.8,0,1.2077464788732395,0,1,1,0
66,1,0,67.45,4508.65,0,1.021969696969697,1,0,1,0
63,1,1,20.5,1328.15,0,0.3253968253968254,0,0,1,1
41,1,1,20.25,865.0,0,0.4939024390243902,0,1,1,0
1,1,0,72.1,72.1,0,72.1,0,0,0,0
2,1,0,90.4,168.2,1,45.2,0,0,0,0
70,1,3,19.45,1303.5,0,0.2778571428571428,1,0,1,0
23,0,0,44.95,996.85,0,1.954347826086957,0,0,0,0
64,1,1,97.0,6430.9,0,1.515625,1,0,1,0
37,1,3,62.8,2278.75,0,1.6972972972972973,0,1,1,0
17,1,1,44.6,681.4,0,2.623529411764706,0,0,1,1
7,1,0,89.15,574.35,0,12.735714285714286,0,0,0,0
4,1,0,84.8,371.9,1,21.2,1,0,1,0
21,0,0,41.9,840.1,1,1.9952380952380957,0,0,0,0
10,1,0,80.25,846.0,1,8.025,1,0,1,0
16,1,0,54.1,889.0,0,3.38125,0,0,0,0
64,1,3,105.25,6823.4,0,1.64453125,0,0,0,0
27,0,0,30.75,805.1,1,1.1388888888888888,0,1,1,0
42,1,1,97.1,4016.75,0,2.3119047619047617,0,0,0,0
5,1,0,20.2,83.75,0,4.04,0,0,1,1
41,1,3,98.8,3959.15,0,2.4097560975609755,1,0,1,0
58,1,1,50.3,2878.55,0,0.8672413793103447,0,1,1,0
47,1,3,20.55,945.7,0,0.4372340425531915,0,0,1,1
18,1,0,75.9,1373.05,0,4.216666666666667,1,0,1,0
5,1,0,96.5,492.55,1,19.3,1,0,1,0
23,1,0,59.95,1406.0,0,2.606521739130435,1,0,1,0
1,1,0,19.15,19.15,0,19.15,0,0,1,1
71,1,1,98.65,6962.85,0,1.38943661971831,0,1,1,0
72,1,3,112.6,8126.65,0,1.5638888888888889,0,1,1,0
33,1,1,20.6,690.25,0,0.6242424242424243,0,0,1,1
2,1,0,85.65,181.5,1,42.825,0,0,0,0
24,0,3,35.75,830.8,0,1.4895833333333333,0,0,1,1
56,1,1,99.75,5608.4,0,1.78125,0,1,1,0
37,1,0,96.1,3646.8,0,2.597297297297297,0,1,1,0
43,1,1,85.1,3662.25,0,1.9790697674418605,0,1,1,0
1,0,0,25.35,25.35,0,25.35,0,0,1,1
25,1,0,104.95,2566.5,1,4.198,1,0,1,0
61,1,3,89.65,5308.7,0,1.4696721311475411,0,0,0,0
17,1,1,86.75,1410.25,0,5.102941176470588,0,0,0,0
41,1,1,86.2,3339.05,0,2.102439024390244,1,0,1,0
1,1,0,50.65,50.65,1,50.65,0,0,1,1
72,0,3,64.8,4732.35,0,0.8999999999999999,1,0,1,0
1,1,0,90.85,90.85,1,90.85,0,1,1,0
48,1,3,108.1,5067.45,0,2.252083333333333,1,0,1,0
11,1,0,19.95,214.75,1,1.8136363636363635,0,0,1,1
55,1,0,85.45,4874.7,1,1.5536363636363637,0,0,0,0
42,0,1,54.75,2348.45,0,1.3035714285714286,0,0,0,0
44,1,0,90.4,4063.0,0,2.0545454545454547,0,0,1,1
1,1,0,44.0,44.0,0,44.0,0,0,0,0
27,1,0,95.6,2595.25,0,3.5407407407407407,1,0,1,0
27,1,0,84.8,2309.55,0,3.140740740740741,1,0,1,0
2,1,0,44.3,89.3,0,22.15,0,0,0,0
19,1,0,19.9,367.55,0,1.0473684210526315,0,0,1,1
42,1,0,95.05,3944.5,0,2.263095238095238,0,0,0,0
66,1,3,90.05,5965.95,0,1.3643939393939393,0,1,1,0
33,1,0,109.9,3694.7,0,3.3303030303030305,1,0,1,0
34,1,0,73.95,2524.45,1,2.1750000000000003,0,1,1,0
33,0,0,54.6,1803.7,0,1.6545454545454543,0,0,0,0
23,1,1,20.05,415.1,0,0.8717391304347827,0,0,1,1
32,1,1,19.75,624.15,0,0.6171875,1,0,1,0
11,1,1,20.05,237.7,0,1.8227272727272728,0,1,1,0
69,1,0,99.45,7007.6,1,1.441304347826087,0,1,1,0
68,1,1,55.9,3848.8,0,0.8220588235294117,1,0,1,0
20,1,3,19.7,419.4,0,0.985,0,0,1,1
72,1,3,19.8,1468.75,0,0.275,0,1,1,0
60,1,1,95.4,5812.0,0,1.59,1,0,1,0
32,1,0,93.95,2861.45,0,2.9359375,0,0,1,1
1,1,0,19.9,19.9,1,19.9,0,0,1,1
1,1,0,19.6,19.6,1,19.6,0,0,1,1
3,1,0,81.35,233.7,1,27.116666666666664,0,0,0,0
46,1,1,24.45,1066.15,0,0.5315217391304348,1,0,1,0
29,1,0,74.95,2149.05,0,2.5844827586206898,0,0,0,0
51,1,0,87.35,4473.0,0,1.7127450980392156,0,0,0,0
48,1,0,70.65,3545.05,0,1.471875,1,0,1,0
16,1,0,73.25,1195.75,0,4.578125,1,0,1,0
70,1,3,98.7,6858.9,0,1.41,1,0,1,0
40,1,3,24.8,1024.7,0,0.62,0,0,1,1
22,1,0,83.3,1845.9,1,3.786363636363636,0,0,0,0
1,1,0,75.3,75.3,1,75.3,1,0,1,0
5,1,0,24.3,132.25,0,4.86,0,0,1,1
7,1,0,69.85,515.45,0,9.978571428571428,1,0,1,0
29,1,1,100.55,2830.45,0,3.467241379310345,0,1,1,0
44,1,1,25.7,1110.5,0,0.5840909090909091,0,0,1,1
10,0,0,40.7,449.3,0,4.07,1,0,1,0
55,1,0,51.65,2838.55,0,0.9390909090909092,1,0,1,0
52,1,1,105.1,5376.4,0,2.021153846153846,1,0,1,0
10,1,0,85.95,858.6,0,8.595,0,0,0,0
18,1,0,75.6,1395.05,0,4.199999999999999,1,0,1,0
68,1,1,58.25,3975.7,0,0.8566176470588235,1,0,1,0
61,1,0,19.4,1182.55,1,0.3180327868852459,0,0,1,1
72,0,3,65.2,4784.45,0,0.9055555555555556,0,1,1,0
2,1,0,53.45,119.5,0,26.725,0,0,0,0
12,1,0,45.4,518.9,1,3.783333333333333,1,0,1,0
41,1,3,19.75,899.45,0,0.4817073170731707,0,0,0,0
26,0,0,44.45,1183.8,0,1.7096153846153848,0,1,1,0
36,1,1,20.85,720.05,0,0.5791666666666667,1,0,1,0
