tenure,PhoneService,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
27,1,66.15,1874.45,0,0.0352903518365387,0,0,1,1,1,1,0
1,1,20.2,20.2,0,1.0,1,0,1,0,0,0,0
1,1,45.25,45.25,0,1.0,1,0,1,0,0,0,0
72,1,99.9,7251.7,0,0.0137760800915647,1,0,1,0,1,0,1
5,1,69.7,316.9,1,0.2199431997475544,0,0,0,0,0,0,0
46,1,74.8,3548.3,0,0.0210805174308823,0,1,1,0,0,0,0
34,1,106.35,3549.25,1,0.0299640769176586,0,0,0,0,0,0,0
11,1,97.85,1105.4,1,0.0885199927628007,1,0,1,0,0,0,0
10,1,49.55,475.7,0,0.1041622871557704,0,0,1,1,1,1,0
70,1,69.2,4872.35,0,0.0142025921783123,0,1,1,0,1,0,1
17,1,20.75,418.25,0,0.049611476389719,0,0,1,1,1,1,0
63,1,79.85,4861.45,0,0.0164251406473377,0,1,1,0,1,0,1
13,1,76.2,981.45,0,0.0776402261959345,0,0,0,0,0,0,0
49,1,84.5,3906.7,0,0.021629508280646,0,0,0,0,0,0,0
2,1,49.25,97.0,0,0.5077319587628866,0,0,1,1,0,0,0
2,1,80.65,144.15,1,0.5594866458550122,0,0,0,0,0,0,0
52,1,79.75,4217.8,0,0.0189079614965147,0,1,1,0,1,0,1
69,1,64.15,4254.1,0,0.01507957029689,0,1,1,0,1,0,1
43,1,90.25,3838.75,0,0.023510257245197,0,0,0,0,0,0,0
15,1,99.1,1426.4,1,0.0694756029164329,0,1,1,0,0,0,0
25,1,69.5,1752.65,0,0.0396542378683707,0,1,1,0,0,0,0
8,1,80.65,633.3,1,0.1273488078319911,0,1,1,0,0,0,0
60,1,74.85,4456.35,0,0.0167962570264902,0,1,1,0,1,1,0
18,1,95.45,1752.55,1,0.0544634960486148,0,0,0,0,0,0,0
63,1,99.65,6311.2,0,0.0157893902902776,0,1,1,0,1,1,0
66,1,108.45,7076.35,0,0.0153256975700749,0,0,0,0,1,1,0
34,1,24.95,894.3,0,0.0278989153527898,0,1,1,0,1,0,1
72,1,107.5,7853.7,0,0.013687815933891,0,1,1,0,1,0,1
47,1,100.5,4707.1,0,0.0213507254997769,0,0,0,0,0,0,0
60,1,89.9,5450.7,0,0.0164932944392463,1,0,1,0,0,0,0
72,0,42.1,2962.0,0,0.0142133693450371,1,0,1,0,1,0,1
18,1,54.4,957.1,0,0.0568383658969804,0,1,1,0,1,1,0
9,1,94.4,857.25,1,0.1101195683872849,0,0,0,0,0,0,0
3,1,75.3,244.1,0,0.308480131093814,0,0,0,0,0,0,0
47,1,78.9,3650.35,0,0.0216143657457504,0,0,0,0,1,1,0
31,1,79.2,2497.2,0,0.03171552138395,0,0,1,1,1,0,1
50,1,20.15,930.9,0,0.0216457191964765,1,0,1,0,1,0,1
10,1,79.85,887.35,0,0.0899870400631092,0,0,1,1,0,0,0
1,1,49.05,49.05,0,1.0,0,0,1,1,0,0,0
52,1,20.4,1090.65,0,0.0187044423050474,0,0,0,0,1,1,0
64,1,111.6,7099.0,0,0.0157205240174672,1,0,1,0,1,0,1
62,1,24.25,1424.6,0,0.0170223220553137,1,0,1,0,1,0,1
3,1,64.5,177.4,0,0.3635851183765501,1,0,1,0,0,0,0
56,1,110.5,6139.5,0,0.0179982083231533,0,0,0,0,1,1,0
46,1,55.65,2688.85,0,0.0206965803224426,0,1,1,0,1,1,0
8,1,54.65,482.25,0,0.1133229652669777,0,0,1,1,0,0,0
30,1,74.75,2111.3,0,0.0354047269454838,0,0,0,0,0,0,0
45,1,25.9,1216.6,0,0.0212888377445339,0,1,1,0,1,1,0
1,1,79.35,79.35,1,1.0,0,0,0,0,0,0,0
11,0,50.55,565.35,0,0.0894136375696471,0,0,0,0,0,0,0
7,1,75.15,496.9,1,0.1512376735761723,1,0,1,0,0,0,0
42,1,103.8,4327.5,0,0.0239861351819757,1,0,1,0,0,0,0
49,1,20.15,973.35,0,0.0207017003133507,1,0,1,0,1,0,1
9,1,99.3,918.75,0,0.1080816326530612,0,1,1,0,0,0,0
35,1,62.15,2215.45,0,0.0280529914915705,1,0,1,0,1,1,0
48,1,20.65,1057.0,0,0.0195364238410596,1,0,1,0,1,0,1
46,1,19.95,927.1,0,0.0215187142703052,0,0,1,1,1,0,1
29,0,33.75,1009.25,0,0.0334406737676492,0,0,1,1,0,0,0
30,1,82.05,2570.2,0,0.031923585713174,1,0,1,0,0,0,0
1,1,74.7,74.7,0,1.0,0,0,0,0,0,0,0
66,1,84.0,5714.25,0,0.0147000918755742,0,0,1,1,1,0,1
65,1,111.05,7107.0,0,0.0156254397073308,0,1,1,0,0,0,0
72,1,100.9,7459.05,0,0.0135271918005644,1,0,1,0,1,0,1
12,1,78.95,927.35,1,0.0851350622742222,0,0,0,0,0,0,0
71,1,66.85,4748.7,0,0.014077537010129,0,1,1,0,1,1,0
5,1,21.05,113.85,1,0.1848924022837066,0,0,1,1,0,0,0
52,1,21.0,1107.2,0,0.0189667630057803,1,0,1,0,1,0,1
25,1,98.5,2514.5,1,0.039172797772917,0,0,0,0,0,0,0
1,1,20.2,20.2,0,1.0,0,0,1,1,0,0,0
1,1,19.45,19.45,0,1.0,0,0,0,0,0,0,0
38,1,95.0,3605.6,0,0.026347903261593,1,0,1,0,1,1,0
66,0,45.55,3027.25,0,0.0150466595094557,1,0,1,0,1,1,0
68,1,110.0,7611.85,1,0.0144511518224873,1,0,1,0,1,0,1
5,0,24.3,100.2,0,0.2425149700598802,0,0,1,1,0,0,0
72,1,104.15,7303.05,0,0.0142611648557794,0,0,0,0,1,1,0
32,0,30.15,927.65,0,0.0325014822400689,0,0,1,1,1,1,0
43,1,94.35,3921.3,0,0.0240608981715247,0,0,1,1,1,1,0
72,1,19.4,1363.25,0,0.0142306986979644,0,1,1,0,1,0,1
55,1,96.75,5238.9,1,0.0184676172478955,0,0,0,0,0,0,0
52,1,57.95,3042.25,0,0.0190484016763908,0,1,1,0,1,1,0
43,1,91.65,3954.1,0,0.0231784729774158,0,0,0,0,0,0,0
37,1,76.5,2868.15,1,0.0266722451754615,0,0,0,0,0,0,0
64,0,54.6,3423.5,0,0.0159485906236307,0,0,0,0,1,0,1
3,1,89.85,248.4,0,0.3617149758454106,0,0,0,0,0,0,0
36,0,31.05,1126.35,0,0.0275669196963643,1,0,1,0,1,0,1
10,1,100.25,1064.65,1,0.0941624007889916,0,0,0,0,0,0,0
41,1,20.65,835.15,0,0.0247260971083038,0,0,1,1,1,0,1
27,1,85.2,2151.6,0,0.0395984383714445,0,1,1,0,0,0,0
56,1,99.8,5515.45,0,0.0180946250985866,0,1,1,0,1,1,0
6,1,20.7,112.75,0,0.1835920177383592,0,0,1,1,0,0,0
3,1,74.4,229.55,1,0.3241123938139839,0,0,0,0,0,0,0
7,1,50.7,350.35,0,0.1447124304267161,0,0,1,1,0,0,0
4,1,20.85,62.9,0,0.3314785373608903,0,0,1,1,0,0,0
33,1,88.95,3027.65,0,0.0293792215084306,0,0,0,0,1,0,1
27,1,78.05,2135.5,1,0.0365488176071177,0,0,0,0,0,0,0
72,1,23.55,1723.95,0,0.0136604889933002,1,0,1,0,1,0,1
1,1,19.75,19.75,0,1.0,0,0,1,1,0,0,0
71,0,56.45,3985.35,0,0.0141643770308755,0,0,0,0,1,1,0
13,1,85.95,1215.65,0,0.0707029161354008,0,0,0,0,0,0,0
25,0,58.6,1502.65,1,0.038997770605264,0,1,1,0,0,0,0
67,1,50.55,3260.1,0,0.0155056593356032,1,0,1,0,1,0,1
1,0,35.45,35.45,1,1.0,0,0,0,0,0,0,0
2,1,44.35,81.25,1,0.5458461538461539,0,0,0,0,0,0,0
43,1,25.7,1188.2,0,0.0216293553273859,0,1,1,0,1,0,1
23,1,75.0,1778.5,0,0.042170368287883,1,0,1,0,0,0,0
64,1,20.2,1277.75,0,0.0158090393269418,0,0,1,1,1,0,1
57,1,19.6,1170.55,0,0.0167442655162103,0,0,1,1,1,0,1
1,1,70.45,70.45,1,1.0,0,0,1,1,0,0,0
72,1,88.05,6425.65,0,0.013702893870659,0,1,1,0,1,0,1
8,1,71.15,563.65,1,0.126230816996363,0,0,0,0,0,0,0
61,1,101.05,5971.25,0,0.0169227548670713,1,0,1,0,1,0,1
64,1,84.3,5289.05,0,0.0159385901059736,0,1,1,0,1,1,0
71,1,23.95,1756.2,0,0.0136373989295068,1,0,1,0,1,0,1
65,1,99.05,6416.7,0,0.0154362834478781,0,1,1,0,1,0,1
3,1,19.6,61.35,0,0.319478402607987,0,0,1,1,1,1,0
1,1,45.65,45.65,1,1.0,0,0,0,0,0,0,0
30,1,64.5,1929.95,0,0.0334205549366563,0,1,1,0,1,1,0
15,1,69.5,1071.4,0,0.064868396490573,0,0,1,1,0,0,0
8,1,68.55,564.35,0,0.1214671746256755,0,0,0,0,0,0,0
7,1,95.0,655.5,1,0.144927536231884,0,0,1,1,0,0,0
70,1,108.15,7930.55,0,0.0136371373990454,0,1,1,0,1,1,0
62,1,86.1,5215.25,0,0.0165092756818944,0,0,0,0,1,0,1
6,1,19.7,113.5,0,0.173568281938326,0,0,1,1,0,0,0
14,1,80.9,1152.8,0,0.070176960444136,1,0,1,0,0,0,0
22,1,84.15,1821.95,0,0.0461867779027964,1,0,1,0,0,0,0
22,1,20.15,419.9,0,0.0479876160990712,0,0,1,1,1,1,0
16,1,64.25,1024.0,0,0.062744140625,0,0,1,1,1,0,1
10,1,25.7,251.6,0,0.1021462639109697,1,0,1,0,1,0,1
13,1,56.0,764.55,0,0.0732457000850173,0,0,0,0,0,0,0
20,1,82.4,1592.35,1,0.0517474173391528,0,0,0,0,0,0,0
2,1,69.7,135.2,0,0.5155325443786983,0,0,0,0,0,0,0
53,1,73.9,3958.25,0,0.0186698667340365,1,0,1,0,1,0,1
11,1,20.6,233.9,0,0.0880718255664814,0,0,1,1,1,1,0
69,1,19.9,1363.45,0,0.0145953280281638,0,0,1,1,1,0,1
4,1,70.9,273.0,1,0.2597069597069597,1,0,1,0,0,0,0
72,1,89.05,6254.45,0,0.014237862641799,1,0,1,0,1,0,1
58,0,45.3,2651.2,1,0.0170866022933011,0,0,0,0,0,0,0
16,1,20.4,321.4,0,0.0634723086496577,0,0,0,0,0,0,0
43,1,84.25,3539.25,0,0.0238044783499328,1,0,1,0,1,1,0
2,1,104.4,242.8,1,0.4299835255354201,0,0,0,0,0,0,0
14,1,81.95,1181.75,0,0.0693463084408715,0,0,1,1,1,0,1
53,1,94.85,5000.2,1,0.0189692412303507,1,0,1,0,1,1,0
32,1,20.55,654.55,0,0.031395615308227,1,0,1,0,1,1,0
34,1,24.7,780.2,0,0.0316585490899769,0,0,0,0,0,0,0
15,1,74.45,1145.7,1,0.0649821070088155,0,0,1,1,0,0,0
7,1,76.45,503.6,1,0.1518069896743447,1,0,1,0,0,0,0
15,1,105.35,1559.25,0,0.0675645342312008,1,0,1,0,0,0,0
61,1,20.55,1252.0,0,0.0164137380191693,0,1,1,0,1,1,0
1,0,29.95,29.95,1,1.0,1,0,1,0,0,0,0
1,1,45.3,45.3,0,1.0,0,0,1,1,0,0,0
8,1,84.5,662.65,1,0.127518297743907,1,0,1,0,0,0,0
33,1,74.75,2453.3,0,0.0304691639832062,0,1,1,0,1,1,0
13,1,79.25,1111.65,1,0.07129042414429,0,0,0,0,0,0,0
1,0,24.8,24.8,1,1.0,0,0,0,0,0,0,0
20,1,51.8,1023.85,0,0.0505933486350539,0,0,1,1,0,0,0
3,0,30.4,82.15,0,0.3700547778454047,0,0,0,0,0,0,0
13,1,19.65,244.8,0,0.0802696078431372,0,0,0,0,1,1,0
40,1,56.6,2379.1,0,0.0237905090160144,0,1,1,0,0,0,0
43,1,71.9,3173.35,0,0.0226574440260292,0,1,1,0,1,1,0
6,1,91.0,531.0,1,0.1713747645951036,0,0,0,0,0,0,0
69,1,19.75,1375.4,0,0.0143594590664533,1,0,1,0,1,0,1
72,1,109.7,8129.3,0,0.0134943968115335,0,1,1,0,1,0,1
59,1,19.3,1192.7,0,0.0161817724490651,0,1,1,0,1,0,1
20,1,96.55,1901.65,0,0.0507716982620356,0,0,0,0,0,0,0
24,1,24.1,587.4,0,0.0410282601293837,1,0,1,0,1,0,1
59,1,111.35,6519.75,0,0.0170788757237624,0,0,0,0,0,0,0
72,1,112.25,8041.65,0,0.0139585781524935,1,0,1,0,1,0,1
1,1,20.75,20.75,0,1.0,0,0,1,1,0,0,0
27,1,101.9,2681.15,0,0.0380060794808198,0,1,1,0,1,1,0
14,1,80.05,1112.3,0,0.0719679942461566,0,1,1,0,0,0,0
71,1,105.55,7405.5,0,0.0142529201269326,0,0,0,0,1,0,1
13,1,78.3,1033.95,0,0.0757290004352241,0,1,1,0,0,0,0
44,1,68.85,2958.95,0,0.0232683891245205,0,1,1,0,0,0,0
33,1,79.95,2684.85,0,0.0297781998994357,1,0,1,0,1,1,0
72,0,55.45,4179.2,0,0.0132680895865237,0,1,1,0,1,0,1
1,1,79.9,79.9,1,1.0,0,0,0,0,0,0,0
19,1,106.6,1934.45,1,0.0551061025097572,0,0,0,0,0,0,0
64,1,102.45,6654.1,0,0.0153965224448084,0,1,1,0,1,1,0
2,1,46.0,84.5,1,0.5443786982248521,0,1,1,0,0,0,0
1,0,25.25,25.25,0,1.0,0,0,0,0,0,0,0
61,1,19.75,1124.2,0,0.0175680483899661,0,0,1,1,1,0,1
29,1,20.0,540.05,0,0.0370336079992593,0,0,0,0,1,1,0
23,1,86.8,1975.85,0,0.0439304603082217,0,0,0,0,0,0,0
57,0,58.75,3437.45,0,0.0170911576895663,1,0,1,0,0,0,0
72,0,45.25,3139.8,0,0.0144117459710809,0,1,1,0,1,0,1
66,0,56.6,3789.2,0,0.01493718990816,1,0,1,0,1,0,1
65,1,84.2,5324.5,0,0.015813691426425,1,0,1,0,1,0,1
8,1,80.0,624.6,0,0.1280819724623759,1,0,1,0,0,0,0
4,1,70.15,268.35,1,0.2614123346376001,0,0,0,0,0,0,0
71,1,24.75,1836.9,0,0.0134737873591376,1,0,1,0,1,0,1
1,1,20.2,20.2,0,1.0,0,0,0,0,1,1,0
4,1,50.05,179.35,1,0.279063284081405,0,0,1,1,0,0,0
12,1,19.35,219.35,0,0.0882151812172327,1,0,1,0,1,1,0
24,0,50.6,1288.75,0,0.0392628516003879,0,0,1,1,1,1,0
31,1,81.15,2545.75,0,0.0318766571737209,0,0,1,1,1,1,0
1,1,55.2,55.2,1,1.0,0,0,1,1,0,0,0
30,1,89.9,2723.15,0,0.0330132383452986,0,1,1,0,0,0,0
47,1,85.3,4107.25,0,0.0207681538742467,0,1,1,0,1,0,1
54,1,108.0,5760.65,0,0.0187478843533281,0,1,1,0,1,0,1
50,1,93.5,4747.5,0,0.0196945760926803,0,1,1,0,0,0,0
1,1,84.6,84.6,1,1.0,0,0,1,1,0,0,0
72,1,20.25,1566.9,0,0.0129236071223434,0,1,1,0,1,0,1
29,1,25.15,702.0,0,0.0358262108262108,0,0,0,0,0,0,0
2,1,54.4,114.1,1,0.476774758983348,0,0,1,1,0,0,0
10,0,29.6,299.05,0,0.098980103661595,0,0,1,1,1,0,1
18,1,73.15,1305.95,0,0.0560128641984762,0,0,0,0,0,0,0
11,1,95.0,1120.3,1,0.0847987146300098,0,0,0,0,0,0,0
16,1,19.75,284.35,0,0.0694566555301565,0,0,1,1,1,0,1
72,1,86.6,6350.5,0,0.0136367215179907,1,0,1,0,1,0,1
72,1,109.2,7878.3,0,0.0138608583069951,1,0,1,0,1,0,1
41,1,74.7,3187.65,0,0.0234341913321726,0,1,1,0,1,1,0
65,1,94.4,6126.15,0,0.0154093517135558,0,0,0,0,0,0,0
13,1,54.8,731.3,0,0.0749350471762614,0,0,0,0,0,0,0
4,1,75.35,273.4,0,0.2756035113386978,0,0,0,0,0,0,0
41,1,65.0,2531.8,0,0.0256734339205308,0,0,1,1,1,1,0
15,1,74.4,1074.3,1,0.0692543982127897,0,0,0,0,0,0,0
1,1,48.55,48.55,1,1.0,0,0,1,1,0,0,0
42,1,99.0,4298.45,0,0.0230315578871453,0,0,0,0,1,1,0
51,1,93.5,4619.55,0,0.0202400666731608,0,0,0,0,1,1,0
2,1,70.4,147.15,1,0.4784233775059463,0,0,0,0,0,0,0
1,0,40.2,40.2,1,1.0,0,0,0,0,0,0,0
32,1,83.7,2633.3,0,0.0317852124710439,0,1,1,0,1,1,0
10,1,19.85,193.05,0,0.1028231028231028,0,0,1,1,0,0,0
67,0,59.55,4103.9,0,0.0145105874899485,0,0,0,0,1,0,1
61,1,115.1,7008.15,0,0.0164237352225623,0,1,1,0,1,0,1
50,1,114.35,5791.1,0,0.0197458168569011,0,1,1,0,1,1,0
2,1,44.6,80.55,1,0.553693358162632,0,1,1,0,0,0,0
29,0,45.0,1228.65,0,0.0366255646441215,0,0,0,0,0,0,0
3,0,41.15,132.2,1,0.3112708018154312,0,0,0,0,0,0,0
13,1,106.9,1364.3,1,0.078355200469105,0,0,0,0,0,0,0
57,1,89.85,4925.35,0,0.0182423584110773,0,0,0,0,0,0,0
31,0,49.85,1520.1,0,0.0327938951384777,1,0,1,0,1,0,1
45,1,113.3,5032.25,0,0.0225147796711212,0,0,1,1,1,1,0
61,1,88.1,5526.75,0,0.0159406522820825,0,0,1,1,1,0,1
50,1,24.9,1195.25,0,0.0208324618280694,1,0,1,0,1,0,1
19,1,105.0,2007.25,0,0.05231037489102,0,0,1,1,0,0,0
59,1,19.35,1099.6,1,0.0175973081120407,0,0,1,1,1,0,1
71,1,24.25,1732.95,0,0.0139934793271588,0,1,1,0,1,0,1
16,1,94.45,1511.2,1,0.0625,0,0,0,0,0,0,0
57,1,59.75,3450.15,0,0.0173180876193788,0,0,0,0,1,0,1
1,0,24.8,24.8,1,1.0,1,0,1,0,0,0,0
20,1,107.05,2172.05,0,0.0492852374484933,0,0,0,0,0,0,0
1,1,70.6,70.6,1,1.0,0,0,1,1,0,0,0
5,1,85.4,401.1,1,0.212914485165794,0,0,0,0,0,0,0
52,1,105.05,5624.85,1,0.0186760535836511,0,0,0,0,0,0,0
21,1,64.95,1339.8,0,0.0484773846842812,1,0,1,0,0,0,0
14,0,55.0,771.95,0,0.0712481378327611,0,0,0,0,0,0,0
5,1,50.55,244.75,0,0.2065372829417773,1,0,1,0,0,0,0
6,1,55.15,322.9,0,0.1707959120470734,0,0,1,1,0,0,0
10,1,51.2,498.25,0,0.1027596588058203,0,0,0,0,0,0,0
1,1,25.4,25.4,0,1.0,0,0,1,1,0,0,0
68,1,54.45,3687.75,0,0.0147651006711409,0,0,1,1,0,0,0
18,1,95.15,1779.95,1,0.0534565577684766,0,0,1,1,0,0,0
22,1,76.0,1783.6,0,0.042610450773716,0,1,1,0,1,1,0
20,1,44.35,927.15,0,0.0478347624440489,0,0,0,0,0,0,0
1,1,70.0,70.0,1,1.0,0,0,0,0,0,0,0
8,1,74.5,606.55,1,0.1228258181518424,0,0,0,0,0,0,0
10,1,44.85,435.4,1,0.1030087276067983,0,1,1,0,0,0,0
24,1,76.1,1712.7,1,0.0444327669761195,0,0,0,0,0,0,0
35,1,61.2,2021.2,0,0.0302790421531763,0,0,1,1,1,1,0
23,1,86.8,1940.8,0,0.0447238252267106,0,0,1,1,1,1,0
6,1,89.35,567.8,0,0.1573617470940472,0,0,0,0,0,0,0
12,1,19.7,220.35,0,0.0894032221465849,0,0,1,1,0,0,0
1,1,20.25,20.25,0,1.0,0,0,1,1,0,0,0
71,1,76.05,5436.45,0,0.0139889082029633,0,0,0,0,1,0,1
35,1,100.8,3437.5,0,0.0293236363636363,0,0,0,0,0,0,0
40,1,74.55,3015.75,0,0.024720218851032,0,0,0,0,0,0,0
1,1,73.6,73.6,1,1.0,0,0,1,1,0,0,0
23,1,64.9,1509.8,0,0.0429858259372102,1,0,1,0,1,1,0
4,1,95.45,396.1,1,0.2409745013885382,0,0,0,0,0,0,0
4,1,90.4,356.65,0,0.2534697883078649,0,0,0,0,0,0,0
68,0,60.3,4109.0,0,0.0146751034314918,0,1,1,0,1,0,1
38,1,81.85,3141.7,0,0.0260527739758729,0,0,1,1,0,0,0
52,1,24.8,1229.1,0,0.0201773655520299,0,0,1,1,1,0,1
32,1,74.9,2303.35,1,0.032517854429418,0,0,0,0,0,0,0
29,1,75.55,2054.4,0,0.0367747274143302,0,0,1,1,1,0,1
38,1,101.15,3741.85,0,0.0270320830605181,0,0,0,0,0,0,0
48,1,78.75,3682.45,0,0.0213852190796887,0,1,1,0,1,1,0
1,1,19.25,19.25,0,1.0,1,0,1,0,0,0,0
22,1,89.05,1886.25,0,0.0472100728959575,0,0,0,0,0,0,0
43,1,115.05,4895.1,0,0.0235030949316663,0,1,1,0,1,0,1
5,1,69.35,341.6,0,0.2030152224824355,0,0,0,0,0,0,0
5,1,80.6,415.55,1,0.1939598122969558,0,0,0,0,0,0,0
51,1,110.05,5686.4,0,0.0193531935846933,0,1,1,0,1,1,0
71,1,19.9,1355.1,0,0.0146852630802154,0,1,1,0,1,0,1
38,1,80.3,3058.65,1,0.0262534124532064,0,1,1,0,1,1,0
24,1,93.15,2231.05,1,0.0417516416037291,0,0,0,0,0,0,0
35,1,91.5,3236.35,0,0.0282725910361981,0,1,1,0,0,0,0
54,1,82.45,4350.1,1,0.0189535872738557,1,0,1,0,1,1,0
72,0,60.0,4264.0,0,0.0140712945590994,0,0,0,0,1,0,1
1,1,44.8,44.8,0,1.0,0,0,0,0,0,0,0
9,1,48.6,422.3,0,0.1150840634619938,0,0,1,1,1,1,0
69,0,60.05,4176.7,0,0.0143773792707161,1,0,1,0,1,0,1
52,1,102.7,5138.1,0,0.0199879332827309,0,1,1,0,0,0,0
11,1,82.9,880.05,0,0.0941991932276575,0,0,0,0,0,0,0
2,1,70.35,139.05,1,0.5059331175836029,0,0,0,0,0,0,0
28,0,35.9,973.65,0,0.0368715657577158,0,0,0,0,0,0,0
17,1,82.65,1470.05,0,0.0562225774633515,0,1,1,0,0,0,0
35,1,19.85,739.35,0,0.0268479069452897,0,0,1,1,1,0,1
8,1,19.2,161.95,0,0.1185551096017289,0,0,1,1,1,1,0
46,1,94.9,4422.95,0,0.0214562678755129,0,1,1,0,1,1,0
7,1,73.85,511.25,1,0.1444498777506112,0,0,0,0,0,0,0
2,1,80.6,155.8,1,0.5173299101412066,0,0,1,1,0,0,0
68,1,75.8,5293.95,1,0.014318231188432,1,0,1,0,1,1,0
43,1,104.6,4759.85,1,0.0219754824206645,0,0,0,0,1,0,1
68,1,88.15,6148.45,0,0.0143369467101464,0,0,0,0,1,0,1
36,1,94.8,3565.65,0,0.0265870177947919,0,1,1,0,0,0,0
63,1,103.4,6603.0,1,0.0156595486899894,0,0,0,0,0,0,0
32,1,54.65,1830.1,0,0.0298617561881864,1,0,1,0,0,0,0
71,1,85.75,6223.8,0,0.0137777563546386,0,1,1,0,1,0,1
66,1,67.45,4508.65,0,0.0149601321903452,1,0,1,0,0,0,0
63,1,20.5,1328.15,0,0.0154350035764032,0,0,1,1,1,1,0
41,1,20.25,865.0,0,0.0234104046242774,0,1,1,0,1,1,0
1,1,72.1,72.1,0,1.0,0,0,0,0,0,0,0
2,1,90.4,168.2,1,0.5374554102259216,0,0,0,0,0,0,0
70,1,19.45,1303.5,0,0.0149213655542769,1,0,1,0,1,0,1
23,0,44.95,996.85,0,0.0450920399257661,0,0,0,0,0,0,0
64,1,97.0,6430.9,0,0.0150834253370445,1,0,1,0,1,1,0
37,1,62.8,2278.75,0,0.0275589687328579,0,1,1,0,1,0,1
17,1,44.6,681.4,0,0.065453478133255,0,0,1,1,1,1,0
7,1,89.15,574.35,0,0.1552189431531296,0,0,0,0,0,0,0
4,1,84.8,371.9,1,0.2280182844850766,1,0,1,0,0,0,0
21,0,41.9,840.1,1,0.049875014879181,0,0,0,0,0,0,0
10,1,80.25,846.0,1,0.0948581560283687,1,0,1,0,0,0,0
16,1,54.1,889.0,0,0.0608548931383577,0,0,0,0,0,0,0
64,1,105.25,6823.4,0,0.015424861505994,0,0,0,0,1,0,1
27,0,30.75,805.1,1,0.0381940131660663,0,1,1,0,0,0,0
42,1,97.1,4016.75,0,0.0241737723283749,0,0,0,0,1,1,0
5,1,20.2,83.75,0,0.2411940298507462,0,0,1,1,0,0,0
41,1,98.8,3959.15,0,0.024954851420128,1,0,1,0,1,0,1
58,1,50.3,2878.55,0,0.0174740754893957,0,1,1,0,1,1,0
47,1,20.55,945.7,0,0.021729935497515,0,0,1,1,1,0,1
18,1,75.9,1373.05,0,0.0552783948144641,1,0,1,0,0,0,0
5,1,96.5,492.55,1,0.1959191960207085,1,0,1,0,0,0,0
23,1,59.95,1406.0,0,0.0426386913229018,1,0,1,0,0,0,0
1,1,19.15,19.15,0,1.0,0,0,1,1,0,0,0
71,1,98.65,6962.85,0,0.0141680490029226,0,1,1,0,1,1,0
72,1,112.6,8126.65,0,0.0138556477761439,0,1,1,0,1,0,1
33,1,20.6,690.25,0,0.029844259326331,0,0,1,1,1,1,0
2,1,85.65,181.5,1,0.471900826446281,0,0,0,0,0,0,0
24,0,35.75,830.8,0,0.0430308136735676,0,0,1,1,1,0,1
